bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0_1	1520044	301	6217	46.88912672695383	57.74647887323944	0.0
Bin_0_10	1911713	186	20284	40.33012339111545	64.78873239436619	2.816901408450704
Bin_0_11	1505810	355	4920	40.15022254655924	40.84507042253521	0.0
Bin_0_12	1595220	145	19367	49.02521649805617	69.01408450704226	4.225352112676056
Bin_0_13	1368001	298	5978	51.277844014055574	80.28169014084507	8.450704225352112
Bin_0_14	850979	15	83079	46.25622508524644	73.2394366197183	0.0
Bin_0_3	2041158	34	137150	60.94703320011385	83.09859154929578	0.0
Bin_0_4	1585675	255	8446	55.11151587816712	80.28169014084507	0.0
Bin_0_5	1306069	205	8810	54.71367343516348	59.15492957746479	0.0
Bin_0_6	957694	80	16696	31.439020971748143	73.2394366197183	2.816901408450704
Bin_0_7	990726	77	17125	30.05113452412201	80.28169014084507	0.0
Bin_0_8	1074654	74	19222	32.90205700828933	60.563380281690144	1.408450704225352
Bin_0_9	1852555	257	14544	39.6302056636195	88.73239436619718	12.67605633802817
Bin_10_1	2161943	733	3159	48.41052109801654	60.563380281690144	5.633802816901408
Bin_10_2	2156087	554	4648	49.07241260932913	90.14084507042253	1.408450704225352
Bin_10_3	5783880	1565	4248	47.89656887288142	92.95774647887323	7.042253521126761
Bin_11_1	2374759	228	16874	46.68716409764197	85.91549295774648	4.225352112676056
Bin_11_10	3465493	160	37261	46.55241751736957	92.95774647887323	4.225352112676056
Bin_11_11	2946806	170	23439	53.510171565326814	71.83098591549296	1.408450704225352
Bin_11_12	2128354	214	16111	50.731787221366176	71.83098591549296	4.225352112676056
Bin_11_13	2507500	60	82246	42.890230082107465	98.59154929577464	4.225352112676056
Bin_11_14	3283472	252	19672	44.24773789996983	94.36619718309859	1.408450704225352
Bin_11_15	2966129	64	96940	51.140907780470314	88.73239436619718	0.0
Bin_11_16	4171902	173	45896	44.20652401885187	100.0	8.450704225352112
Bin_11_2	2999500	96	52356	48.46098346513216	94.36619718309859	1.408450704225352
Bin_11_3	2589272	94	40910	43.995258662567544	97.1830985915493	0.0
Bin_11_4	2157613	149	21502	47.844101459819335	88.73239436619718	5.633802816901408
Bin_11_5	2446136	82	57502	45.58922715140245	85.91549295774648	0.0
Bin_11_6	3051522	207	25935	47.19314900544232	78.87323943661971	5.633802816901408
Bin_11_7	2292819	103	34444	52.30862914713161	100.0	0.0
Bin_11_8	3935746	257	28145	46.788890658625554	95.77464788732394	7.042253521126761
Bin_11_9	3500598	254	26449	50.84477858598893	94.36619718309859	4.225352112676056
Bin_12_1	2407335	199	22408	42.20272555388098	80.28169014084507	0.0
Bin_12_10	2574096	143	37808	46.401544972599304	61.971830985915496	5.633802816901408
Bin_12_2	1723153	48	73626	48.73789652833623	67.6056338028169	1.408450704225352
Bin_12_3	2297161	95	41440	51.674497274027544	70.4225352112676	0.0
Bin_12_4	2928808	200	35988	39.266530097071076	87.32394366197182	7.042253521126761
Bin_12_5	1609279	106	21941	51.02528797935237	71.83098591549296	0.0
Bin_12_6	2264202	108	41866	53.824934408292016	81.69014084507042	0.0
Bin_12_7	2891727	150	29727	52.23530250941859	100.0	1.408450704225352
Bin_12_8	2462549	116	45779	50.40084083698838	83.09859154929578	2.816901408450704
Bin_12_9	2725596	255	17993	49.73058925809571	77.46478873239437	5.633802816901408
Bin_13_1	2810653	157	36158	61.04339416289023	80.28169014084507	1.408450704225352
Bin_13_10	2134703	369	7375	63.227333546031936	53.521126760563384	8.450704225352112
Bin_13_2	2497656	139	23383	49.00965185008325	56.33802816901409	2.816901408450704
Bin_13_3	2642185	160	30286	59.119572007422214	71.83098591549296	4.225352112676056
Bin_13_4	3815289	193	34430	61.40056545700412	91.54929577464789	19.718309859154928
Bin_13_5	3477471	138	47472	59.949410931349	91.54929577464789	32.394366197183096
Bin_13_6	1437789	362	4813	53.24437789137385	57.74647887323944	2.816901408450704
Bin_13_7	2304832	308	11889	64.07865451718942	77.46478873239437	7.042253521126761
Bin_13_8	3411116	296	19201	65.0475769656474	91.54929577464789	7.042253521126761
Bin_13_9	3526957	167	40137	59.79445076515278	92.95774647887323	47.88732394366197
Bin_14_1	4751955	76	119426	40.66581916589074	100.0	1.408450704225352
Bin_14_2	5904876	254	39082	48.41618704345436	98.59154929577464	0.0
Bin_14_3	6347987	197	54545	60.86619384030928	57.74647887323944	1.408450704225352
Bin_14_4	3580739	290	22366	44.86742446787204	76.05633802816901	1.408450704225352
Bin_14_5	2697726	118	27145	53.31947294147614	66.19718309859155	2.816901408450704
Bin_14_7	3596693	216	30122	47.68098175852607	66.19718309859155	1.408450704225352
Bin_14_8	5619161	68	168314	34.93198446418368	91.54929577464789	4.225352112676056
Bin_15_1	1509755	191	12113	54.6429165626861	60.563380281690144	1.408450704225352
Bin_15_2	3467010	255	19863	48.176760177119554	73.2394366197183	5.633802816901408
Bin_15_3	2240936	339	8859	46.52669946588635	74.64788732394366	1.408450704225352
Bin_15_4	2734753	127	34856	45.76194770352887	92.95774647887323	0.0
Bin_15_5	3483868	96	62684	46.43583094674977	92.95774647887323	5.633802816901408
Bin_15_6	2946512	466	8475	48.087600331896994	92.95774647887323	8.450704225352112
Bin_15_7	3034348	239	23694	48.766308266700264	61.971830985915496	1.408450704225352
Bin_15_8	2940624	157	43854	43.4453173608038	80.28169014084507	2.816901408450704
Bin_15_9	2288851	414	7545	41.827996903576526	95.77464788732394	5.633802816901408
Bin_16_1	2753978	372	10477	65.34288027710993	81.69014084507042	0.0
Bin_16_2	1393299	349	4631	56.878258051033846	70.4225352112676	2.816901408450704
Bin_16_3	1508213	360	5133	53.94201973921208	73.2394366197183	0.0
Bin_16_4	2331985	263	12461	62.14241244897274	92.95774647887323	2.816901408450704
Bin_16_5	2653485	416	8411	54.80629937225866	84.50704225352112	5.633802816901408
Bin_16_6	2810683	555	6698	59.33477347291127	87.32394366197182	8.450704225352112
Bin_17_1	2079661	196	18160	50.947897125304884	90.14084507042253	4.225352112676056
Bin_17_2	3006295	83	58873	50.96359298092501	98.59154929577464	2.816901408450704
Bin_17_3	2504373	91	68254	48.13332562745888	100.0	0.0
Bin_17_4	2614056	149	35385	56.24904059599726	80.28169014084507	5.633802816901408
Bin_17_5	2245254	107	43070	49.37143922394204	98.59154929577464	5.633802816901408
Bin_17_6	2545255	233	16845	48.90102872578498	87.32394366197182	1.408450704225352
Bin_17_7	2079824	265	10107	61.16907458805706	90.14084507042253	4.225352112676056
Bin_17_8	1388924	103	19231	60.58855640521092	63.38028169014085	2.816901408450704
Bin_18_1	2134758	179	18989	46.01036956233763	40.84507042253521	0.0
Bin_18_10	3367949	102	72158	52.293967829848796	98.59154929577464	0.0
Bin_18_11	3195801	70	90645	51.28974373266391	77.46478873239437	0.0
Bin_18_12	3732466	91	125805	40.78175572553704	98.59154929577464	4.225352112676056
Bin_18_2	2316905	114	34522	61.41370435495411	88.73239436619718	7.042253521126761
Bin_18_3	3256819	119	48469	49.26850718084512	90.14084507042253	7.042253521126761
Bin_18_4	3283755	234	22254	61.40605528356053	63.38028169014085	5.633802816901408
Bin_18_5	5502077	82	102221	35.222488174022274	100.0	2.816901408450704
Bin_18_6	2907645	91	80186	48.82962899330699	90.14084507042253	1.408450704225352
Bin_18_7	1798865	133	35310	57.574912364024655	42.25352112676056	1.408450704225352
Bin_18_8	2574301	94	53853	44.237456333230995	66.19718309859155	2.816901408450704
Bin_18_9	3605231	122	64698	48.78545488306866	83.09859154929578	1.408450704225352
Bin_19	19969331	3972	7533	39.37437096158266	94.36619718309859	505.63380281690144
Bin_1_1	6690843	859	10818	62.46829888507044	100.0	8.450704225352112
Bin_1_2	1901141	228	13115	64.13979394950191	52.11267605633803	4.225352112676056
Bin_2_1	4295454	1538	2882	60.9369579312643	0.0	0.0
Bin_3_1	996462	5	293956	44.920280846407955	88.73239436619718	0.0
Bin_4_1	1996793	81	40521	38.027347985570294	94.36619718309859	0.0
Bin_4_2	1854591	62	65601	38.361832023385105	91.54929577464789	1.408450704225352
Bin_4_3	1591896	116	23457	26.355915824806925	90.14084507042253	5.633802816901408
Bin_4_4	1669547	297	7440	27.337768983469257	56.33802816901409	7.042253521126761
Bin_4_5	1205518	310	4737	31.960304925550247	85.91549295774648	4.225352112676056
Bin_4_6	1619367	206	12633	37.00756269130911	92.95774647887323	8.450704225352112
Bin_4_7	954884	49	26857	34.714113930640444	81.69014084507042	0.0
Bin_5_1	3992946	42	191553	39.155057161276225	100.0	0.0
Bin_5_2	4685795	424	20509	51.03522461208267	100.0	0.0
