Bin_19	UNKNOWN	None
Bin_0_1	anvi-refine	#aa250d
Bin_0_3	anvi-refine	#094163
Bin_0_4	anvi-refine	#8e0821
Bin_0_5	anvi-refine	#048719
Bin_0_6	anvi-refine	#050860
Bin_0_7	anvi-refine	#d30476
Bin_0_8	anvi-refine	#630893
Bin_0_9	anvi-refine	#100184
Bin_0_10	anvi-refine	#02096b
Bin_0_11	anvi-refine	#0e8c5d
Bin_0_12	anvi-refine	#9b1706
Bin_0_13	anvi-refine	#9608ce
Bin_0_14	anvi-refine	#4c0c9b
Bin_4_1	anvi-refine	#db5715
Bin_4_2	anvi-refine	#0a1175
Bin_4_3	anvi-refine	#0c688c
Bin_4_4	anvi-refine	#032d70
Bin_4_5	anvi-refine	#002d63
Bin_4_6	anvi-refine	#0b667c
Bin_4_7	anvi-refine	#930a3f
Bin_11_1	anvi-refine	#c512cc
Bin_11_2	anvi-refine	#008c0e
Bin_11_3	anvi-refine	#078e10
Bin_11_4	anvi-refine	#87040a
Bin_11_5	anvi-refine	#024963
Bin_11_6	anvi-refine	#100368
Bin_11_7	anvi-refine	#bc7a07
Bin_11_8	anvi-refine	#821401
Bin_11_9	anvi-refine	#0c0187
Bin_11_10	anvi-refine	#017c13
Bin_11_11	anvi-refine	#0a6b02
Bin_11_12	anvi-refine	#32067a
Bin_11_13	anvi-refine	#039e1a
Bin_11_14	anvi-refine	#b20a4b
Bin_11_15	anvi-refine	#8fa50e
Bin_11_16	anvi-refine	#0b8274
Bin_17_1	anvi-refine	#28097c
Bin_17_2	anvi-refine	#931e04
Bin_17_3	anvi-refine	#bf0f67
Bin_17_4	anvi-refine	#005b5a
Bin_17_5	anvi-refine	#cca114
Bin_17_6	anvi-refine	#b103c1
Bin_17_7	anvi-refine	#075260
Bin_17_8	anvi-refine	#420c99
Bin_3_1	anvi-refine	#061063
Bin_13_1	anvi-refine	#160063
Bin_13_2	anvi-refine	#d1630a
Bin_13_3	anvi-refine	#093a6d
Bin_13_4	anvi-refine	#0b894a
Bin_13_5	anvi-refine	#098457
Bin_13_6	anvi-refine	#0e348e
Bin_13_7	anvi-refine	#e80974
Bin_13_8	anvi-refine	#2d0477
Bin_13_9	anvi-refine	#427f0c
Bin_13_10	anvi-refine	#ddac08
Bin_9_1	anvi-refine	#d8a011
Bin_9_2	anvi-refine	#6caa0f
Bin_9_3	anvi-refine	#e2a00f
Bin_9_4	anvi-refine	#01721f
Bin_9_5	anvi-refine	#93a80a
Bin_9_6	anvi-refine	#9b0441
Bin_9_7	anvi-refine	#0a0063
Bin_9_8	anvi-refine	#96000c
Bin_9_9	anvi-refine	#0a7f54
Bin_9_10	anvi-refine	#002063
Bin_9_11	anvi-refine	#d66604
Bin_9_12	anvi-refine	#d39906
Bin_9_13	anvi-refine	#db0465
Bin_9_14	anvi-refine	#06874d
