Bin_19	UNKNOWN	None
Bin_0_1	anvi-refine	#aa250d
Bin_0_3	anvi-refine	#094163
Bin_0_4	anvi-refine	#8e0821
Bin_0_5	anvi-refine	#048719
Bin_0_10	anvi-refine	#02096b
Bin_0_12	anvi-refine	#9b1706
Bin_0_14	anvi-refine	#4c0c9b
Bin_4_1	anvi-refine	#db5715
Bin_4_4	anvi-refine	#032d70
Bin_4_5	anvi-refine	#002d63
Bin_4_6	anvi-refine	#0b667c
Bin_11_2	anvi-refine	#008c0e
Bin_11_3	anvi-refine	#078e10
Bin_11_5	anvi-refine	#024963
Bin_11_6	anvi-refine	#100368
Bin_11_11	anvi-refine	#0a6b02
Bin_11_12	anvi-refine	#32067a
Bin_11_13	anvi-refine	#039e1a
Bin_11_14	anvi-refine	#b20a4b
Bin_11_15	anvi-refine	#8fa50e
Bin_17_3	anvi-refine	#bf0f67
Bin_17_7	anvi-refine	#075260
Bin_17_8	anvi-refine	#420c99
Bin_3_1	anvi-refine	#061063
Bin_13_1	anvi-refine	#160063
Bin_13_2	anvi-refine	#d1630a
Bin_13_6	anvi-refine	#0e348e
Bin_13_7	anvi-refine	#e80974
Bin_13_8	anvi-refine	#2d0477
Bin_13_10	anvi-refine	#ddac08
Bin_9_2	anvi-refine	#6caa0f
Bin_9_4	anvi-refine	#01721f
Bin_9_7	anvi-refine	#0a0063
Bin_9_8	anvi-refine	#96000c
Bin_9_9	anvi-refine	#0a7f54
Bin_9_12	anvi-refine	#d39906
Bin_9_14	anvi-refine	#06874d
Bin_9_15	anvi-refine	#4a0777
Bin_9_16	anvi-refine	#0a6893
Bin_9_17	anvi-refine	#0b7a7a
Bin_9_18	anvi-refine	#bf1332
Bin_9_19	anvi-refine	#c90fdd
Bin_9_20	anvi-refine	#7dad0d
Bin_15_1	anvi-refine	#2d0775
Bin_15_2	anvi-refine	#028737
Bin_15_3	anvi-refine	#b27101
Bin_15_4	anvi-refine	#841701
Bin_15_5	anvi-refine	#0c7f1c
Bin_15_6	anvi-refine	#912105
Bin_15_9	anvi-refine	#9b1801
Bin_6_1	anvi-refine	#dd0dc2
Bin_6_4	anvi-refine	#026e89
Bin_6_5	anvi-refine	#128407
Bin_6_6	anvi-refine	#04185e
Bin_6_7	anvi-refine	#0c7c7c
Bin_6_8	anvi-refine	#d916e0
Bin_6_11	anvi-refine	#41a00e
Bin_6_12	anvi-refine	#9b200d
Bin_6_13	anvi-refine	#026d02
Bin_6_14	anvi-refine	#08a38b
Bin_6_15	anvi-refine	#399909
Bin_6_18	anvi-refine	#cca406
Bin_6_22	anvi-refine	#c100a7
Bin_6_23	anvi-refine	#c68213
Bin_6_24	anvi-refine	#bd12c9
Bin_6_25	anvi-refine	#0e4a93
Bin_6_26	anvi-refine	#287a04
Bin_6_27	anvi-refine	#043a8c
