genome,score
chicken1_D43_maxbin.002.fasta.contigs.fa,89.01414116454745
chicken1_concoct_20_refined_2_Bin_3_1-contigs.fa,91.76414116454745
chicken1_D43_maxbin.045.fasta.contigs.fa,76.6722532539386
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,78.40149280093792
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,69.85425440382825
chicken1_D43_maxbin.043.fasta.contigs.fa,35.45189791635426
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,63.19975169236398
chicken1_D43_maxbin.028.fasta.contigs.fa,89.31028002561268
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,65.44681529008223
chicken1_concoct_20_refined_2_Bin_15_3-contigs.fa,90.50869235084237
chicken1_concoct_20_refined_2_Bin_6_20_1-contigs.fa,83.78182309324242
chicken1_D43_maxbin.107.fasta.contigs.fa,8.384610822651563
chicken1_concoct_20_refined_2_Bin_12_4_1-contigs.fa,79.84133842676574
chicken1_D43_maxbin.115.fasta.contigs.fa,57.241333862935306
chicken1_concoct_20_refined_2_Bin_0_1-contigs.fa,81.1363587936841
chicken1_concoct_20_refined_2_Bin_0_12-contigs.fa,73.7835311762772
chicken1_C-2_maxbin.002.fasta.contigs.fa,93.1884931670911
chicken1_C-3_maxbin.004.fasta.contigs.fa,94.17285636881249
chicken1_D12_maxbin.009.fasta.contigs.fa,92.48974406961865
chicken1_D13_maxbin.026.fasta.contigs.fa,96.75752675849232
chicken1_D19_maxbin.043.fasta.contigs.fa,89.19675837195386
chicken1_D20_maxbin.018.fasta.contigs.fa,98.17316402829785
chicken1_D25_maxbin.009.fasta.contigs.fa,47.460609406917264
chicken1_D27_maxbin.005.fasta.contigs.fa,90.2404175936174
chicken1_D32_maxbin.006.fasta.contigs.fa,92.51701049531711
chicken1_D33_maxbin.004.fasta.contigs.fa,92.33066036003044
chicken1_D34_maxbin.024.fasta.contigs.fa,99.62678750595448
chicken1_D37_maxbin.006.fasta.contigs.fa,92.85269877595161
chicken1_D38_maxbin.003.fasta.contigs.fa,95.69485353319318
chicken1_D39_maxbin.004.fasta.contigs.fa,93.25047294914432
chicken1_concoct_20_refined_2_Bin_7_9_1-contigs.fa,93.77146842358565
chicken1_D43_maxbin.057.fasta.contigs.fa,62.39733963777255
chicken1_concoct_20_refined_2_Bin_1_1-contigs.fa,91.13707348855301
chicken1_concoct_20_refined_2_Bin_9_10_1-contigs.fa,96.92259577030342
chicken1_D43_maxbin.153.fasta.contigs.fa,66.90561125774511
chicken1_concoct_20_refined_2_Bin_6_13-contigs.fa,95.59794450358903
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,98.406034835151
chicken1_D43_maxbin.033.fasta.contigs.fa,92.07253778895044
chicken1_concoct_20_refined_2_Bin_0_3-contigs.fa,76.62854010597027
chicken1_C-2_maxbin.012.fasta.contigs.fa,60.65800833936996
chicken1_C-6_maxbin.008.fasta.contigs.fa,84.0339339794576
chicken1_D22_metabat2.109.fa.contigs.fa,72.86215140812938
chicken1_D23_maxbin.034.fasta.contigs.fa,61.80596836532057
chicken1_D26_maxbin.009.fasta.contigs.fa,53.04983619279451
chicken1_concoct_20_refined_2_Bin_17_3-contigs.fa,101.0151640740617
chicken1_concoct_20_refined_2_Bin_6_21_1-contigs.fa,96.11266436570264
chicken1_C-1_maxbin.037.fasta.contigs.fa,51.842705981336486
chicken1_D11_maxbin.023.fasta.contigs.fa,78.56912577237809
chicken1_D12_maxbin.021.fasta.contigs.fa,83.94750787950964
chicken1_D16_maxbin.023.fasta.contigs.fa,10.173498197324902
chicken1_D17_maxbin.046.fasta.contigs.fa,-8.914856960502485
chicken1_D18_maxbin.002.fasta.contigs.fa,79.56698346306695
chicken1_D20_maxbin.030.fasta.contigs.fa,75.65101450458991
chicken1_D21_maxbin.019.fasta.contigs.fa,78.94304609151025
chicken1_D25_maxbin.004.fasta.contigs.fa,84.74571118855647
chicken1_D26_maxbin.004.fasta.contigs.fa,67.0156984117383
chicken1_D27_maxbin.064.fasta.contigs.fa,63.90513182805317
chicken1_D28_maxbin.040.fasta.contigs.fa,75.17313581538002
chicken1_D30_maxbin.029.fasta.contigs.fa,56.280161003095174
chicken1_D31_maxbin.015.fasta.contigs.fa,83.13578255901102
chicken1_D34_maxbin.025.fasta.contigs.fa,88.44589640354448
chicken1_D35_maxbin.015.fasta.contigs.fa,84.7798948032164
chicken1_D36_maxbin.015.fasta.contigs.fa,84.73741433213661
chicken1_D37_maxbin.015.fasta.contigs.fa,84.75545498059189
chicken1_D39_maxbin.005.fasta.contigs.fa,75.56571812302433
chicken1_D3_maxbin.002.fasta.contigs.fa,83.1527336482484
chicken1_D40_maxbin.019.fasta.contigs.fa,84.73739734440933
chicken1_D41_maxbin.054.fasta.contigs.fa,22.107709942575358
chicken1_concoct_20_refined_2_Bin_7_14-contigs.fa,83.92484914146928
chicken1_D43_maxbin.021.fasta.contigs.fa,95.51242359112682
chicken1_concoct_20_refined_2_Bin_0_4-contigs.fa,80.01332553854444
chicken1_C-2_maxbin.003.fasta.contigs.fa,97.21355368140873
chicken1_C-3_maxbin.003.fasta.contigs.fa,98.52434093465946
chicken1_D32_maxbin.004.fasta.contigs.fa,97.80250794407694
chicken1_D33_maxbin.002.fasta.contigs.fa,95.1559030484822
chicken1_D38_maxbin.001.fasta.contigs.fa,91.152472294358
chicken1_D39_maxbin.002.fasta.contigs.fa,98.61242939483257
chicken1_D43_maxbin.022.fasta.contigs.fa,89.68382386507562
chicken1_concoct_20_refined_2_Bin_7_11-contigs.fa,82.40402449417837
chicken1_D43_maxbin.048.fasta.contigs.fa,78.0512321579978
chicken1_D43_maxbin.032.fasta.contigs.fa,87.23316356445461
chicken1_concoct_20_refined_2_Bin_11_13-contigs.fa,92.87755739270207
chicken1_concoct_20_refined_2_Bin_6_22-contigs.fa,87.59451672610376
chicken1_D11_maxbin.026.fasta.contigs.fa,37.00278486813335
