genome,location,length
chicken1_DAS_maxbin_002_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_002_fasta_contigs-contigs.fa,3814813
chicken1_DAS_maxbin_007_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_007_fasta_contigs-contigs.fa,4867209
chicken1_DAS_maxbin_008_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_008_fasta_contigs-contigs.fa,2589054
chicken1_DAS_maxbin_010_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_010_fasta_contigs-contigs.fa,2169643
chicken1_DAS_maxbin_012_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_012_fasta_contigs-contigs.fa,1331068
chicken1_DAS_maxbin_013_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_013_fasta_contigs-contigs.fa,2932110
chicken1_DAS_maxbin_015_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_015_fasta_contigs-contigs.fa,2695346
chicken1_DAS_maxbin_016_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_016_fasta_contigs-contigs.fa,3419220
chicken1_DAS_maxbin_017_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_017_fasta_contigs-contigs.fa,2695461
chicken1_DAS_maxbin_018_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_018_fasta_contigs-contigs.fa,2606398
chicken1_DAS_maxbin_021_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_021_fasta_contigs-contigs.fa,2207543
chicken1_DAS_maxbin_023_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_023_fasta_contigs-contigs.fa,2455186
chicken1_DAS_maxbin_024_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_024_fasta_contigs-contigs.fa,2166808
chicken1_DAS_maxbin_026_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_026_fasta_contigs-contigs.fa,4229834
chicken1_DAS_maxbin_028_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_028_fasta_contigs-contigs.fa,3010924
chicken1_DAS_maxbin_029_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_029_fasta_contigs-contigs.fa,4132637
chicken1_DAS_maxbin_031_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_031_fasta_contigs-contigs.fa,2852769
chicken1_DAS_maxbin_033_fasta_contigs-contigs.fa,/datadrive05/Flo/NRP72/dRep_SS_coASS/chicken1/DAS/chicken1_DAS_maxbin_033_fasta_contigs-contigs.fa,3288583
