genome,cluster,score
chicken1_D12_maxbin.005.fasta.contigs.fa,1_1,97.75280930449266
chicken1_D43_maxbin.004.fasta.contigs.fa,2_0,19.216989208018674
chicken1_C-2_maxbin.004.fasta.contigs.fa,3_1,102.43999292816649
chicken1_D15_maxbin.006.fasta.contigs.fa,4_1,98.0663175442174
chicken1_D43_maxbin.043.fasta.contigs.fa,5_0,35.45189791635426
chicken1_D36_maxbin.017.fasta.contigs.fa,6_1,91.476793992937
chicken1_D2_maxbin.008.fasta.contigs.fa,7_1,75.301017469833
chicken1_D2_maxbin.006.fasta.contigs.fa,8_1,69.32414253379565
chicken1_D43_maxbin.026.fasta.contigs.fa,9_0,46.777667815419235
chicken1_D43_maxbin.038.fasta.contigs.fa,10_0,59.2438818542365
chicken1_D11_maxbin.022.fasta.contigs.fa,11_1,100.10540582991833
chicken1_D41_maxbin.037.fasta.contigs.fa,12_1,97.76328202091521
chicken1_C-2_maxbin.005.fasta.contigs.fa,13_1,101.52750583899132
chicken1_D2_maxbin.031.fasta.contigs.fa,14_1,100.29613394387455
chicken1_D12_maxbin.014.fasta.contigs.fa,15_1,96.95326377036712
chicken1_D27_maxbin.013.fasta.contigs.fa,16_1,74.6640695618127
chicken1_C-4_maxbin.010.fasta.contigs.fa,17_1,83.21262099656741
chicken1_D20_maxbin.029.fasta.contigs.fa,18_0,31.163564459703142
chicken1_D31_maxbin.056.fasta.contigs.fa,19_0,50.529490533329074
chicken1_D41_maxbin.015.fasta.contigs.fa,20_1,23.681793451375
chicken1_D9_maxbin.024.fasta.contigs.fa,21_1,100.0413242384007
chicken1_D21_maxbin.011.fasta.contigs.fa,22_1,96.63338884047657
chicken1_D15_maxbin.012.fasta.contigs.fa,23_1,99.98463449282768
chicken1_D16_maxbin.006.fasta_sub.contigs.fa,24_1,87.13961788859307
chicken1_D21_maxbin.016.fasta.contigs.fa,25_1,87.786072215839
chicken1_D41_maxbin.028.fasta.contigs.fa,26_1,85.89023331008661
chicken1_D22_maxbin.037.fasta.contigs.fa,27_0,12.334404819202
chicken1_C-1_metabat2.79.fa.contigs.fa,28_0,69.88256766880629
chicken1_D24_maxbin.018.fasta.contigs.fa,29_1,72.03311370262486
chicken1_D22_maxbin.024.fasta.contigs.fa,30_0,60.79681196622276
chicken1_D23_maxbin.030.fasta.contigs.fa,31_0,71.67910589701108
chicken1_D4_maxbin.025.fasta.contigs.fa,32_1,68.59825703963818
chicken1_D43_maxbin.041.fasta.contigs.fa,33_0,20.24723119727637
chicken1_D43_maxbin.009.fasta.contigs.fa,34_0,55.81972675325456
chicken1_D24_maxbin.021.fasta.contigs.fa,35_1,91.76632491832558
chicken1_D42_maxbin.009.fasta.contigs.fa,36_1,94.82897495417443
chicken1_D37_maxbin.027.fasta.contigs.fa,37_0,59.78909176711034
chicken1_D43_maxbin.025.fasta.contigs.fa,38_0,4.440771927478259
chicken1_D40_maxbin.040.fasta.contigs.fa,39_1,60.56107371391708
chicken1_D1_maxbin.012.fasta.contigs.fa,40_1,81.9328476617936
chicken1_D34_maxbin.026.fasta.contigs.fa,40_2,78.88444766885647
chicken1_D43_maxbin.062.fasta.contigs.fa,40_3,58.63386263420031
chicken1_D28_maxbin.018.fasta.contigs.fa,41_0,5.8695573507416885
chicken1_D31_maxbin.036.fasta.contigs.fa,42_1,81.88584650105058
chicken1_D4_maxbin.031.fasta.contigs.fa,43_0,61.21908911354391
chicken1_D29_maxbin.033.fasta.contigs.fa,44_1,86.26890046329683
chicken1_D41_maxbin.038.fasta.contigs.fa,44_2,34.62222441941011
chicken1_D23_maxbin.022.fasta.contigs.fa,45_0,76.0541099750278
chicken1_D13_maxbin.036.fasta_sub.contigs.fa,46_1,55.355216400436746
chicken1_D15_maxbin.040.fasta.contigs.fa,47_0,34.295887687614645
chicken1_D43_maxbin.047.fasta.contigs.fa,48_0,53.460271094719154
chicken1_D22_maxbin.025.fasta.contigs.fa,49_1,85.1677031344259
chicken1_D23_maxbin.029.fasta.contigs.fa,50_0,54.33439615808568
chicken1_D31_maxbin.046.fasta.contigs.fa,51_1,74.12516045303583
chicken1_D40_maxbin.012.fasta.contigs.fa,52_1,99.01488527717977
chicken1_D11_maxbin.011.fasta.contigs.fa,53_1,85.37331974966936
chicken1_D21_maxbin.027.fasta.contigs.fa,54_0,8.357670691824525
chicken1_D28_maxbin.041.fasta.contigs.fa,55_0,65.47023224474086
chicken1_D41_maxbin.017.fasta.contigs.fa,56_1,90.16666608956612
chicken1_D5_maxbin.020.fasta.contigs.fa,57_1,89.71716620842798
chicken1_D16_metabat2.39.fa_sub.contigs.fa,58_1,74.92957765305064
chicken1_D20_maxbin.007.fasta.contigs.fa,59_1,87.02134698659896
chicken1_D27_maxbin.029.fasta.contigs.fa,60_1,65.26991126970735
chicken1_D30_maxbin.026.fasta.contigs.fa,61_1,74.97330071508777
chicken1_D42_maxbin.028.fasta_sub.contigs.fa,62_1,69.25138259144855
chicken1_D43_maxbin.046.fasta.contigs.fa,63_0,65.59724118580694
chicken1_D16_maxbin.013.fasta.contigs.fa,64_1,79.97630656113778
chicken1_D43_maxbin.018.fasta.contigs.fa,65_0,49.90052823667988
chicken1_D34_maxbin.025.fasta.contigs.fa,66_1,88.44643838569759
chicken1_D30_maxbin.029.fasta.contigs.fa,66_2,56.28215282354972
chicken1_D39_maxbin.006.fasta.contigs.fa,67_1,82.63798610791885
chicken1_D18_maxbin.005.fasta.contigs.fa,68_1,92.20755541025301
chicken1_D21_maxbin.013.fasta.contigs.fa,69_1,94.84661754817985
chicken1_D3_maxbin.007.fasta.contigs.fa,70_0,76.85013279794532
chicken1_D39_maxbin.002.fasta.contigs.fa,71_1,98.61252217030876
chicken1_D43_maxbin.048.fasta.contigs.fa,72_0,78.0512321579978
chicken1_D43_maxbin.032.fasta.contigs.fa,73_0,87.23316356445461
chicken1_D23_maxbin.033.fasta.contigs.fa,74_0,41.80199314324504
chicken1_C-6_maxbin.008.fasta.contigs.fa,75_1,84.0339153084576
chicken1_D43_maxbin.033.fasta.contigs.fa,76_0,91.07259558895043
chicken1_D9_maxbin.010.fasta.contigs.fa,77_1,99.62856972862413
chicken1_D2_maxbin.027.fasta.contigs.fa,78_1,87.6666797728869
chicken1_D43_maxbin.021.fasta.contigs.fa,79_0,95.51242359112682
chicken1_D40_maxbin.033.fasta.contigs.fa,80_1,94.25685044358414
chicken1_D43_maxbin.107.fasta.contigs.fa,81_0,8.384610822651563
chicken1_D9_maxbin.006.fasta.contigs.fa,82_1,102.7140657836653
chicken1_D14_maxbin.003.fasta.contigs.fa,83_1,101.22746595660472
chicken1_D43_maxbin.153.fasta.contigs.fa,84_0,66.90561125774511
chicken1_D41_maxbin.026.fasta.contigs.fa,85_1,101.415349814054
chicken1_D34_maxbin.038.fasta.contigs.fa,86_1,55.00679944292647
chicken1_D21_maxbin.023.fasta.contigs.fa,87_0,60.77071496592663
chicken1_D9_maxbin.018.fasta.contigs.fa,88_1,95.93830353967384
chicken1_D22_maxbin.032.fasta.contigs.fa,89_0,5.582726413887647
chicken1_D43_maxbin.100.fasta.contigs.fa,90_0,51.746147165805716
chicken1_D21_maxbin.007.fasta.contigs.fa,91_1,97.1063294198885
chicken1_D6_maxbin.015.fasta.contigs.fa,92_1,85.48423724738842
chicken1_D34_maxbin.024.fasta.contigs.fa,93_1,99.62679479600943
chicken1_D9_maxbin.019.fasta.contigs.fa,94_1,89.9223209282682
chicken1_D34_maxbin.008.fasta.contigs.fa,94_2,67.47320231741506
chicken1_D30_maxbin.025.fasta.contigs.fa,95_0,89.99465125525334
chicken1_D43_maxbin.057.fasta.contigs.fa,96_0,62.39733963777255
chicken1_D22_maxbin.014.fasta.contigs.fa,97_1,94.07861986968615
chicken1_D8_metabat2.83.fa.contigs.fa,98_1,77.80921983066364
chicken1_D12_metabat2.53.fa.contigs.fa,99_1,73.3258951772235
chicken1_D17_maxbin.022.fasta.contigs.fa,100_1,84.69678524280924
chicken1_D16_maxbin.015.fasta.contigs.fa,101_1,50.32540850113875
chicken1_D21_maxbin.008.fasta.contigs.fa,102_1,98.48202356452529
chicken1_D9_maxbin.005.fasta.contigs.fa,103_1,76.3930757017638
chicken1_D15_maxbin.007.fasta.contigs.fa,104_1,52.41475642779597
chicken1_D35_maxbin.009.fasta.contigs.fa,105_1,72.54310821219273
chicken1_D28_maxbin.022.fasta.contigs.fa,105_2,49.79201653226066
chicken1_D42_maxbin.013.fasta.contigs.fa,105_3,12.124874490081616
chicken1_D20_maxbin.013.fasta.contigs.fa,106_0,44.07721982309898
chicken1_D43_maxbin.035.fasta.contigs.fa,107_0,67.50764108985693
chicken1_C-5_maxbin.019.fasta.contigs.fa,108_1,89.98899680252124
chicken1_D28_maxbin.004.fasta.contigs.fa,109_1,92.49137056660402
chicken1_D43_maxbin.005.fasta.contigs.fa,110_0,79.39120852471628
chicken1_D43_maxbin.053.fasta.contigs.fa,111_0,56.257456973409475
chicken1_D8_maxbin.039.fasta.contigs.fa,112_1,87.04307689643026
chicken1_D27_maxbin.006.fasta.contigs.fa,113_1,96.48182308294258
chicken1_D33_maxbin.007.fasta.contigs.fa,114_1,99.82036690941584
chicken1_D32_maxbin.010.fasta.contigs.fa,115_1,98.03326675084693
chicken1_D43_maxbin.115.fasta.contigs.fa,116_0,56.24180450293531
chicken1_D43_maxbin.045.fasta.contigs.fa,117_0,75.6743882939386
chicken1_D43_maxbin.011.fasta.contigs.fa,118_0,21.364223718994
chicken1_D43_maxbin.028.fasta.contigs.fa,119_0,89.31028002561268
chicken1_D43_maxbin.002.fasta.contigs.fa,120_0,88.01414116454745
