genome,cluster,score
human1_HC-18_maxbin.036.fasta.contigs.fa,1_1,70.44915146723075
human1_HC-24_maxbin.018.fasta.contigs.fa,2_1,100.3054065890437
human1_D-1_maxbin.003.fasta.contigs.fa,3_1,101.684265039783
human1_HC-19_maxbin.028.fasta.contigs.fa,4_1,73.29145639713316
human1_HV-4_maxbin.020.fasta.contigs.fa,5_1,99.56665214209673
human1_HC-17_maxbin.029.fasta.contigs.fa,6_0,32.24859927374029
human1_HV-23_maxbin.051.fasta.contigs.fa,7_0,56.91249319744087
human1_HC-24_maxbin.032.fasta.contigs.fa,8_1,77.34751467508617
human1_D-1_maxbin.068.fasta.contigs.fa,9_0,35.81845933304452
human1_HC-3_maxbin.028.fasta.contigs.fa,10_1,100.95700267046963
human1_HV-21_maxbin.004.fasta.contigs.fa,11_1,100.16928015134451
human1_HV-1_maxbin.011.fasta.contigs.fa,11_2,100.63332475311572
human1_HC-23_maxbin.038.fasta.contigs.fa,12_0,27.46929521261373
human1_HV-20_maxbin.005.fasta.contigs.fa,13_1,100.73332654336026
human1_HV-10_maxbin.002.fasta.contigs.fa,14_1,100.76733151028102
human1_HV-10_maxbin.006.fasta.contigs.fa,15_1,101.74977555334975
human1_HC-21_maxbin.017.fasta.contigs.fa,16_1,68.4696413440107
human1_HC-16_maxbin.018.fasta.contigs.fa,17_0,90.15053305853016
human1_HV-23_maxbin.040.fasta.contigs.fa,18_1,81.39907188682464
human1_HC-4_maxbin.029.fasta.contigs.fa,19_1,82.67321817363006
human1_HV-9_maxbin.002.fasta.contigs.fa,20_1,90.80576179920256
human1_HV-15_maxbin.007.fasta.contigs.fa,21_1,101.67738529738956
human1_HC-17_maxbin.023.fasta.contigs.fa,22_1,96.40219449992004
human1_HC-8_maxbin.002.fasta.contigs.fa,23_1,101.9530016429423
human1_HV-21_maxbin.005.fasta.contigs.fa,24_1,101.92443750721513
human1_HC-22_maxbin.008.fasta.contigs.fa,25_1,98.33401594218648
human1_D-1_maxbin.028.fasta.contigs.fa,26_1,88.64514615352849
human1_HV-3_maxbin.036.fasta.contigs.fa,27_1,82.59431280557403
human1_HV-11_maxbin.026.fasta.contigs.fa,28_1,96.11627800660443
human1_D-1_maxbin.044.fasta.contigs.fa,29_0,90.15683082523704
human1_HC-7_maxbin.014.fasta.contigs.fa,30_1,101.13520460318266
human1_HV-17_maxbin.018.fasta.contigs.fa,31_1,98.50878801431489
human1_HC-15_maxbin.026.fasta.contigs.fa,32_1,1.7148665546024802
human1_HV-11_maxbin.007.fasta.contigs.fa,33_1,102.58167274188631
human1_D-1_maxbin.051.fasta.contigs.fa,34_0,59.393198164636985
human1_HC-23_maxbin.004.fasta.contigs.fa,35_1,96.97675685241057
human1_D-1_maxbin.034.fasta.contigs.fa,36_1,93.18185104593069
human1_HC-10_maxbin.006.fasta.contigs.fa,37_1,94.17712426600131
human1_HV-19_maxbin.003.fasta.contigs.fa,38_1,97.56111641723696
human1_HV-10_maxbin.005.fasta.contigs.fa,39_1,95.10103321341899
human1_HC-14_maxbin.012.fasta.contigs.fa,40_1,75.88109524737926
human1_HC-21_maxbin.010.fasta.contigs.fa,40_2,70.36183832758513
human1_HC-6_maxbin.009.fasta.contigs.fa,41_1,98.94291592822518
human1_D-1_maxbin.002.fasta.contigs.fa,42_0,89.9567382151151
human1_HC-16_metabat2.35.fa.contigs.fa,43_1,85.19925826850596
human1_D-1_maxbin.037.fasta.contigs.fa,44_1,93.07116127015716
human1_HC-16_maxbin.022.fasta_sub.contigs.fa,45_0,-6.066470767999512
human1_HV-21_maxbin.006.fasta.contigs.fa,46_1,98.77397752747544
human1_HV-13_maxbin.008.fasta.contigs.fa,47_1,95.15315757582081
human1_HV-16_maxbin.007.fasta.contigs.fa,48_1,90.43654590477409
human1_HC-23_maxbin.021.fasta.contigs.fa,49_1,98.48432341522303
human1_HC-24_maxbin.028.fasta.contigs.fa,50_1,96.09220306594878
human1_HC-2_maxbin.027.fasta.contigs.fa,51_1,90.39169476584698
human1_HV-23_maxbin.024.fasta.contigs.fa,52_0,54.54779788922615
human1_D-1_maxbin.056.fasta.contigs.fa,53_0,64.22962393194942
human1_HC-4_maxbin.033.fasta.contigs.fa,54_1,70.77773118102873
human1_D-1_maxbin.017.fasta.contigs.fa,55_0,96.90354777020961
human1_HV-11_maxbin.014.fasta.contigs.fa,56_1,95.71035435691323
human1_HC-18_maxbin.014.fasta.contigs.fa,57_1,98.1321545739528
human1_HC-13_maxbin.018.fasta.contigs.fa,58_1,93.85316746123291
human1_HC-15_maxbin.016.fasta.contigs.fa,59_1,88.7969265027283
human1_HC-16_maxbin.012.fasta.contigs.fa,60_0,80.08562797914765
human1_HV-11_maxbin.015.fasta.contigs.fa,61_1,92.58427327117116
human1_HV-3_maxbin.016.fasta.contigs.fa,62_1,100.02808114628
human1_HV-6_maxbin.031.fasta.contigs.fa,63_1,87.50001732334253
human1_HV-6_maxbin.047.fasta.contigs.fa,64_0,63.30393156091474
human1_HV-12_maxbin.006.fasta.contigs.fa,65_1,87.50157196618109
human1_HC-21_maxbin.005.fasta.contigs.fa,66_1,92.65079523921662
human1_HV-6_maxbin.002.fasta.contigs.fa,66_2,81.31937782778374
human1_HC-17_maxbin.021.fasta.contigs.fa,67_1,83.98277603557264
human1_HC-3_maxbin.003.fasta.contigs.fa,68_1,90.43619745338893
human1_D-1_maxbin.012.fasta.contigs.fa,69_1,83.73056788164394
human1_HC-13_maxbin.020.fasta.contigs.fa,70_1,60.91041935355923
human1_HC-18_metabat2.32.fa.contigs.fa,71_1,38.24490022402448
human1_HV-5_maxbin.023.fasta_sub.contigs.fa,72_1,60.733700873540485
human1_HC-23_maxbin.034.fasta.contigs.fa,73_1,62.441890204205535
human1_HV-1_maxbin.037.fasta.contigs.fa,74_1,68.70994174559715
human1_HV-17_maxbin.015.fasta.contigs.fa,75_1,64.54457338143492
human1_HC-14_maxbin.023.fasta.contigs.fa,76_0,22.99642405254363
human1_HC-24_maxbin.037.fasta.contigs.fa,77_1,20.23529649129488
human1_HC-21_maxbin.012.fasta.contigs.fa,78_1,93.8912497383791
human1_HV-1_maxbin.033.fasta.contigs.fa,78_2,11.86006291539272
human1_HV-17_maxbin.030.fasta.contigs.fa,79_1,19.784152958395715
human1_HV-2_maxbin.009.fasta.contigs.fa,80_1,82.03798210457319
human1_HC-19_maxbin.016.fasta.contigs.fa,81_1,85.3690592277645
human1_D-1_maxbin.027.fasta.contigs.fa,82_0,18.76176953515986
human1_D-1_metabat2.153.fa.contigs.fa,83_0,74.05967435865679
