genome,completeness,contamination,strain_heterogeneity,length,N50
human1_D-1_maxbin.002.fasta.contigs.fa,95.15,1.4,27.27,4200180,64553
human1_D-1_maxbin.003.fasta.contigs.fa,99.23,0.0,0.0,2351211,74126
human1_D-1_maxbin.004.fasta.contigs.fa,97.99,1.01,0.0,2054820,191066
human1_D-1_maxbin.006.fasta.contigs.fa,66.91,0.89,50.0,1810849,17611
human1_D-1_maxbin.012.fasta.contigs.fa,85.91,1.02,75.0,2081113,19530
human1_D-1_maxbin.013.fasta.contigs.fa,90.58,16.29,3.28,3264148,64291
human1_D-1_maxbin.015.fasta.contigs.fa,56.46,0.92,16.67,3270198,32301
human1_D-1_maxbin.017.fasta.contigs.fa,96.98,0.34,0.0,1916913,161100
human1_D-1_maxbin.018.fasta.contigs.fa,78.2,12.53,28.21,3323385,14438
human1_D-1_maxbin.019.fasta.contigs.fa,80.63,20.13,24.1,4668894,39292
human1_D-1_maxbin.020.fasta.contigs.fa,13.32,0.0,0.0,2907250,12324
human1_D-1_maxbin.021.fasta.contigs.fa,91.81,7.95,11.11,3430796,51487
human1_D-1_maxbin.022.fasta.contigs.fa,93.19,18.79,14.29,3432122,22446
human1_D-1_maxbin.023.fasta.contigs.fa,90.33,6.5,2.86,4710355,106886
human1_D-1_maxbin.024.fasta.contigs.fa,86.22,17.23,35.62,4571616,55333
human1_D-1_maxbin.025.fasta.contigs.fa,90.4,3.22,57.14,2688832,28139
human1_D-1_maxbin.026.fasta.contigs.fa,92.62,14.03,6.52,4379205,23771
human1_D-1_maxbin.027.fasta.contigs.fa,87.93,14.81,24.0,2770381,41185
human1_D-1_maxbin.028.fasta.contigs.fa,94.59,1.7,0.0,2238627,117589
human1_D-1_maxbin.029.fasta.contigs.fa,80.64,8.05,11.63,4820538,116189
human1_D-1_maxbin.031.fasta.contigs.fa,64.91,28.39,40.91,3225622,15087
human1_D-1_maxbin.032.fasta.contigs.fa,93.55,1.17,20.0,2489011,124248
human1_D-1_maxbin.033.fasta.contigs.fa,81.97,17.65,8.89,2440739,13838
human1_D-1_maxbin.034.fasta.contigs.fa,97.32,1.34,0.0,2957651,121371
human1_D-1_maxbin.037.fasta.contigs.fa,94.42,0.77,0.0,4720738,91853
human1_D-1_maxbin.038.fasta.contigs.fa,25.22,1.27,0.0,1355180,7766
human1_D-1_maxbin.039.fasta.contigs.fa,94.83,5.17,33.33,3444487,231698
human1_D-1_maxbin.041.fasta.contigs.fa,75.44,28.07,0.0,2065447,61473
human1_D-1_maxbin.044.fasta.contigs.fa,95.97,1.61,60.0,3117497,31744
human1_D-1_maxbin.045.fasta_sub.contigs.fa,71.03,37.62,12.9,2570259,50738
human1_D-1_maxbin.046.fasta_sub.contigs.fa,43.31,6.3,0.0,2127768,17421
human1_D-1_maxbin.047.fasta.contigs.fa,54.31,5.75,94.44,1971682,209998
human1_D-1_maxbin.048.fasta.contigs.fa,35.82,0.0,0.0,1770441,259057
human1_D-1_maxbin.050.fasta.contigs.fa,97.18,7.06,0.0,3213425,66056
human1_D-1_maxbin.051.fasta.contigs.fa,83.12,5.45,41.18,2260255,32944
human1_D-1_maxbin.053.fasta.contigs.fa,97.78,18.07,6.67,3316090,42046
human1_D-1_maxbin.056.fasta.contigs.fa,86.06,4.64,0.0,2425609,50032
human1_D-1_maxbin.058.fasta.contigs.fa,53.92,19.31,21.88,1275809,7209
human1_D-1_maxbin.061.fasta_sub.contigs.fa,92.68,30.55,3.92,3962163,9093
human1_D-1_maxbin.062.fasta.contigs.fa,59.65,1.75,0.0,2620052,19784
human1_D-1_maxbin.064.fasta.contigs.fa,67.32,5.41,4.76,1754404,14042
human1_D-1_maxbin.065.fasta.contigs.fa,92.03,39.63,63.41,3529755,23990
human1_D-1_maxbin.066.fasta.contigs.fa,75.85,25.62,24.56,2408593,16967
human1_D-1_maxbin.067.fasta.contigs.fa,93.68,3.28,22.22,2461386,7023
human1_D-1_maxbin.068.fasta.contigs.fa,75.34,8.21,5.88,2397893,11257
human1_D-1_maxbin.069.fasta.contigs.fa,4.64,2.22,33.33,143763,5042
human1_D-1_maxbin.088.fasta.contigs.fa,14.97,4.36,16.0,477321,2300
human1_D-1_maxbin.104.fasta.contigs.fa,57.86,36.87,31.66,3008031,1639
human1_D-1_metabat2.109.fa.contigs.fa,75.86,0.34,0.0,1759214,38857
human1_D-1_metabat2.138.fa.contigs.fa,50.47,0.0,0.0,1184789,15684
human1_D-1_metabat2.139.fa.contigs.fa,11.24,0.0,0.0,290103,12611
human1_D-1_metabat2.142.fa.contigs.fa,54.79,0.0,0.0,1642043,13505
human1_D-1_metabat2.147.fa.contigs.fa,11.98,1.46,0.0,606238,36285
human1_D-1_metabat2.153.fa.contigs.fa,72.93,0.0,0.0,1357876,16571
human1_D-1_metabat2.191.fa.contigs.fa,6.76,0.0,0.0,469962,56864
human1_D-1_metabat2.79.fa.contigs.fa,6.76,0.0,0.0,383112,69488
human1_HC-10_maxbin.002.fasta.contigs.fa,12.66,0.63,0.0,665060,56392
human1_HC-10_maxbin.003.fasta.contigs.fa,16.37,0.0,0.0,1322121,115690
human1_HC-10_maxbin.004.fasta.contigs.fa,75.23,0.0,0.0,1005998,118376
human1_HC-10_maxbin.006.fasta.contigs.fa,91.44,0.0,0.0,2937606,272597
human1_HC-10_maxbin.007.fasta.contigs.fa,98.88,4.36,19.05,4649847,106465
human1_HC-10_maxbin.008.fasta.contigs.fa,67.44,5.01,22.73,2828393,11820
human1_HC-10_maxbin.009.fasta_sub.contigs.fa,67.29,3.0,7.14,2313131,65349
human1_HC-10_maxbin.010.fasta.contigs.fa,91.16,0.0,0.0,2682237,119331
human1_HC-10_maxbin.011.fasta.contigs.fa,97.58,0.0,0.0,2029267,208350
human1_HC-10_maxbin.014.fasta.contigs.fa,84.38,18.18,0.0,2654147,32091
human1_HC-10_maxbin.015.fasta.contigs.fa,92.24,15.78,8.45,5845033,117049
human1_HC-10_maxbin.016.fasta.contigs.fa,77.82,13.95,19.23,2704801,67022
human1_HC-10_maxbin.017.fasta.contigs.fa,98.47,49.45,0.0,4088875,94405
human1_HC-10_maxbin.018.fasta.contigs.fa,70.62,1.25,20.0,2453758,61912
human1_HC-10_maxbin.019.fasta.contigs.fa,37.29,2.6,0.0,2550225,19845
human1_HC-10_maxbin.020.fasta.contigs.fa,98.57,1.66,0.0,3449374,41120
human1_HC-10_maxbin.021.fasta.contigs.fa,22.66,3.06,0.0,3357531,3070
