CONTIG_NAME	CALL	CONTIG_LENGTH	MIN_MAX_SCORE	AVG_MAX_SCORE	SYNTENY	DIRECTION	CLADE_A	CLADE_B	LCA	MELDED_A	MELDED_B	TAXONOMY_A	TAXONOMY_B	LOCI	ANNOTATIONS:UNIREF50	ANNOTATIONS:UNIREF90
megahit_10004	lgt	15474	0.8721	0.8951	AB	A?B	s__Eubacterium_sp_14_2	s__Roseburia_intestinalis	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_14_2	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	14230:14446:-|15024:15474:-	UniRef50_S0IPF7|UniRef50_D4L0R1	UniRef90_S0IPF7|UniRef90_D4L0R1
megahit_10336	lgt	33844	0.8236	0.9662	AAAAAAAAAAAAAAAAAB	A?B	s__Clostridium_sp_KLE_1755	s__Clostridium_clostridioforme	g__Clostridium	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_KLE_1755	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme	381:2396:-|2504:3337:-|3540:4391:-|4404:5323:-|5451:6562:-|10800:11506:+|11566:12234:-|12332:13955:-|13998:14381:+|14415:15329:+|16581:17403:+|17478:17716:-|17724:18951:-|26590:27942:-|29603:30925:-|30943:32056:+|32075:32536:-|33403:33844:+	UniRef50_R6ZIR7|UniRef50_R5ACX4|UniRef50_C6CRB2|UniRef50_C6D6Y0|UniRef50_U2BJF1|UniRef50_N9XAT4|UniRef50_U2CSX2|UniRef50_U2CYJ0|UniRef50_R5T9V3|UniRef50_S6BZP2|UniRef50_H2JFY7|UniRef50_F7KFV7|UniRef50_F7KFW0|UniRef50_C4Z1Z8|UniRef50_O34645|UniRef50_U2CSU9|UniRef50_R5ULC4|UniRef50_N9ZAS7	UniRef90_U2B2J7|UniRef90_U2BKL9|UniRef90_U2CSY3|UniRef90_F7KFS5|UniRef90_U2BJF1|UniRef90_U2BKK3|UniRef90_U2CSX2|UniRef90_U2CYJ0|UniRef90_U2B2H9|UniRef90_U2BKJ9|UniRef90_U2CYH3|UniRef90_F7KFV7|UniRef90_U2CSV3|UniRef90_U2CYG8|UniRef90_U2BKI0|UniRef90_U2CSU9|UniRef90_F7KFW5|UniRef90_N9Y9J2
megahit_10919	lgt	1533	0.8012	0.8606	AB	A?B	s__Ruminococcus_torques	s__Coprococcus_comes	f__Lachnospiraceae	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	121:433:+|1334:1533:-	UniRef50_R5IV71|UniRef50_R5QC40	UniRef90_R6PGT4|UniRef90_R6LDY8
megahit_10966	lgt	4969	0.8153	0.9692	AABAAA	B>A	g__Eubacterium	g__Roseburia	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	1:1675:+|1728:2474:+|2492:3414:+|3456:3938:+|3935:4222:+|4469:4969:+	UniRef50_R6CV54|UniRef50_R6C867|UniRef50_C0FUA4|UniRef50_R6CCI5|UniRef50_D4KU10|UniRef50_R6C879	UniRef90_R6CV54|UniRef90_R6C867|UniRef90_C0FUA4|UniRef90_R6CCI5|UniRef90_D6E0H1|UniRef90_R6C879
megahit_11609	lgt	6499	0.8609	0.9411	AAB	A?B	s__Blautia_producta	s__Clostridium_hathewayi	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi	1:547:+|776:1093:+|2571:5206:-	UniRef50_R5UJ66|UniRef50_M1MR37|UniRef50_E3GQB7	UniRef90_unknown|UniRef90_UPI00037472AB|UniRef90_unknown
megahit_11923	lgt	2915	0.9146	0.9544	AB	A?B	s__Lachnospiraceae_bacterium_7_1_58FAA	g__Oscillibacter	o__Clostridiales	--	s__Oscillibacter_sp_KLE_1728; s__Oscillibacter_sp_KLE_1745	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	339:992:-|1545:2915:-	UniRef50_H1CF05|UniRef50_R6TP79	UniRef90_H1CMM4|UniRef90_unknown
megahit_12350	lgt	7578	0.8508	0.9782	ABBBBBBB	A?B	s__Clostridium_sp_L2_50	s__Eubacterium_hallii	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	371:619:-|953:2491:+|2629:3258:+|3357:4379:+|4398:5297:+|5509:6258:+|6260:7102:+|7358:7578:+	UniRef50_A7VC84|UniRef50_R6G327|UniRef50_R6RJH5|UniRef50_R6FZN8|UniRef50_D4JZE0|UniRef50_R6QFR8|UniRef50_R6ZVC9|UniRef50_R6G9Q8	UniRef90_A7VC84|UniRef90_R6G327|UniRef90_R6GAU6|UniRef90_R6FZN8|UniRef90_R6GXE5|UniRef90_R6GBR6|UniRef90_C0ET67|UniRef90_C0ET66
megahit_12515	lgt	1349	0.8415	0.9116	AB	A?B	s__Ruminococcus_sp_JC304	s__Ruminococcus_sp_5_1_39BFAA	g__Ruminococcus	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	1:929:-|1024:1349:-	UniRef50_R6L493|UniRef50_D4KWZ6	UniRef90_UPI0004745A37|UniRef90_R7CKP8
megahit_12631	lgt	3574	0.9416	0.9536	ABA	B>A	s__Blautia_sp_KLE_1732	s__Ruminococcus_obeum	g__Blautia	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_KLE_1732	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum	2143:2535:+|2661:3140:+|3151:3574:+	UniRef50_R5N294|UniRef50_R7DAR4|UniRef50_G2T0U1	UniRef90_R5N294|UniRef90_A5ZSF0|UniRef90_U2D527
megahit_12695	lgt	31745	0.8297	0.8492	AB	A?B	s__Blautia_sp_KLE_1732	s__Ruminococcus_gnavus	g__Blautia	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_KLE_1732	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus	25973:26511:-|28249:29049:-	UniRef50_K1S980|UniRef50_R6K4E3	UniRef90_U2ENV7|UniRef90_A7AY35
