genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
chicken1_concoct_20_refined_2_Bin_3_1-contigs.fa,91.76414116454744,89.01,0.0,0.0,996462,293956,1_1,NA,NA,2,100.00,100.00,substantial,none
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,78.40149280093792,83.33,1.42,0.0,1911713,20284,2_1,NA,NA,2,99.79,99.79,substantial,low
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,69.85425440382825,72.94,0.79,0.0,1460748,4881,3_0,NA,NA,1,NA,NA,substantial,low
chicken1_D43_maxbin.043.fasta.contigs.fa,35.45189791635426,77.25,8.73,7.69,1657151,20947,4_0,NA,NA,1,NA,NA,substantial,medium
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,63.19975169236398,86.63,5.06,20.0,1205518,4737,5_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D43_maxbin.028.fasta.contigs.fa,89.31028002561268,88.72,0.16,0.0,1223780,55025,6_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,65.44681529008223,75.56,2.25,0.0,981370,17125,7_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_15_3-contigs.fa,90.50869235084237,92.62,0.69,50.0,2240936,8859,8_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_6_20_1-contigs.fa,83.78182309324242,90.73,1.69,0.0,2959678,91970,9_0,NA,NA,1,NA,NA,near,low
chicken1_D43_maxbin.107.fasta.contigs.fa,8.384610822651563,80.22,14.79,8.0,2527365,6650,10_0,NA,NA,1,NA,NA,substantial,high
chicken1_concoct_20_refined_2_Bin_12_4_1-contigs.fa,79.84133842676574,85.23,1.34,0.0,2756749,38254,11_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_0_1-contigs.fa,81.1363587936841,84.29,1.17,66.67,1520044,6217,12_1,NA,NA,2,99.95,99.95,substantial,low
chicken1_concoct_20_refined_2_Bin_0_12-contigs.fa,73.7835311762772,86.87,2.85,0.0,1595220,19367,13_0,NA,NA,1,NA,NA,substantial,low
chicken1_D34_maxbin.024.fasta.contigs.fa,99.62678750595448,99.2,0.39,0.0,4610884,51827,14_1,NA,NA,15,99.96,99.94,near,low
chicken1_D43_maxbin.057.fasta.contigs.fa,62.39733963777255,79.99,3.96,25.0,2422481,24813,15_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_1_1-contigs.fa,91.137073488553,94.51,0.98,50.0,6690843,10818,16_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_9_10_1-contigs.fa,96.92259577030342,98.61,0.63,0.0,3756163,76770,17_0,NA,NA,1,NA,NA,near,low
chicken1_D43_maxbin.153.fasta.contigs.fa,66.90561125774511,74.95,1.89,33.33,1342369,3246,18_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_6_13-contigs.fa,95.59794450358903,94.34,0.0,0.0,1923162,29915,19_0,NA,NA,1,NA,NA,near,none
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,98.406034835151,98.21,0.34,100.0,2747622,118051,20_0,NA,NA,1,NA,NA,near,low
chicken1_D43_maxbin.033.fasta.contigs.fa,92.07253778895044,92.07,0.51,0.0,2443062,116196,21_1,NA,NA,2,99.99,99.99,near,low
