Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
chicken1_C-1_maxbin.001.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,80.98,0.35,0.0,2211107,18360,1946,1946,95937,390,334,325,3311,3127,36.5,5.52,-100.0,-1,-1,52,206,3,0,0,0
chicken1_C-1_maxbin.003.fasta.contigs.fa,c__Gammaproteobacteria (UID4442),899,312,185,100.0,0.0,0.0,4075197,54738,3817,3817,219639,372,306,292,4373,3966,36.0,7.03,-100.0,-1,-1,0,312,0,0,0,0
chicken1_C-1_maxbin.004.fasta.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,80.66,4.33,0.0,3447776,36702,3388,3388,10395,372,304,293,2589,2478,40.6,6.43,-100.0,-1,-1,62,277,15,0,0,0
chicken1_C-1_maxbin.005.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,83.43,8.73,25.0,4032942,48741,4068,4068,47917,366,295,283,2103,2005,40.1,6.58,-100.0,-1,-1,50,251,30,2,0,0
chicken1_C-1_maxbin.009.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,90.94,0.0,0.0,2206394,24487,2185,2185,41382,367,294,283,1839,1727,38.4,5.12,-100.0,-1,-1,18,245,0,0,0,0
chicken1_C-1_maxbin.013.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,77.34,0.89,0.0,1404088,28101,1407,1407,59713,368,295,275,1998,1855,38.5,8.04,-100.0,-1,-1,47,214,2,0,0,0
chicken1_C-1_maxbin.014.fasta.contigs.fa,f__Enterobacteriaceae (UID5162),88,1207,328,99.27,1.07,75.0,4560553,52931,4475,4475,30254,375,302,290,1803,1644,36.3,6.83,-100.0,-1,-1,7,1188,12,0,0,0
chicken1_C-1_maxbin.015.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,85.07,4.57,7.69,2599687,21752,2555,2555,25681,357,289,281,2307,2231,39.3,6.07,-100.0,-1,-1,32,212,13,0,0,0
chicken1_C-1_maxbin.016.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,89.93,1.34,0.0,2361466,23628,2265,2265,98482,361,298,287,3191,3031,39.4,5.75,-100.0,-1,-1,19,242,2,0,0,0
chicken1_C-1_maxbin.017.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,85.68,2.68,0.0,2675081,45336,2508,2508,69767,376,306,288,3009,2787,40.2,6.08,-100.0,-1,-1,35,219,9,0,0,0
chicken1_C-1_maxbin.018.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,93.12,12.12,2.86,3380542,49360,3303,3303,55712,377,302,287,2617,2441,39.5,5.95,-100.0,-1,-1,17,211,35,0,0,0
chicken1_C-1_maxbin.019.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,79.64,1.34,0.0,1885857,24724,1791,1791,117092,370,302,288,2584,2415,39.9,6.46,-100.0,-1,-1,49,212,2,0,0,0
chicken1_C-1_maxbin.020.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,76.22,2.24,0.0,2184273,39910,2386,2386,87666,345,267,251,3613,3346,38.2,5.51,-100.0,-1,-1,58,201,3,1,0,0
chicken1_C-1_maxbin.022.fasta.contigs.fa,k__Bacteria (UID2372),131,177,106,94.34,0.61,0.0,2465363,36706,2647,2647,40636,338,279,265,2733,2541,40.6,7.07,-100.0,-1,-1,8,167,2,0,0,0
chicken1_C-1_maxbin.023.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,69.39,0.7,50.0,1779801,15475,1683,1683,50818,369,309,300,1903,1836,37.4,5.54,-100.0,-1,-1,79,180,2,0,0,0
chicken1_C-1_maxbin.024.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,78.97,3.24,69.23,1829248,14303,1890,1890,13230,347,279,271,1508,1476,37.5,4.77,-100.0,-1,-1,82,169,4,1,1,0
chicken1_C-1_maxbin.025.fasta.contigs.fa,o__Lactobacillales (UID544),293,475,267,97.38,0.37,0.0,3054945,41184,3013,3013,143004,364,299,285,1974,1887,34.7,6.19,-100.0,-1,-1,8,466,1,0,0,0
chicken1_C-1_maxbin.026.fasta_sub.contigs.fa,o__Clostridiales (UID1226),155,278,158,75.95,20.66,13.33,2768478,30998,2735,2735,66114,375,308,297,1976,1911,41.7,4.71,-100.0,-1,-1,55,167,54,2,0,0
chicken1_C-1_maxbin.029.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,44.46,10.53,3.57,2270223,20564,2268,2268,40611,366,292,283,1982,1904,38.9,4.38,-100.0,-1,-1,122,109,25,1,0,0
chicken1_C-1_maxbin.030.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,99.37,57.28,0.95,5267886,63074,5030,5030,73371,384,312,300,4281,4113,41.5,4.19,-100.0,-1,-1,1,190,59,16,4,8
chicken1_C-1_maxbin.032.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,70.46,32.91,0.0,2954259,32995,2857,2857,39962,383,315,304,2204,2126,41.0,4.7,-100.0,-1,-1,78,124,69,7,0,0
chicken1_C-1_maxbin.033.fasta_sub.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,44.33,12.23,47.22,1643648,18173,1647,1647,16712,377,304,293,2023,1937,40.7,4.94,-100.0,-1,-1,177,120,36,0,0,0
chicken1_C-1_maxbin.035.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,89.6,0.75,0.0,2432309,23407,2432,2432,45628,369,299,290,3109,2947,38.6,5.49,-100.0,-1,-1,21,239,3,0,0,0
chicken1_C-1_maxbin.037.fasta.contigs.fa,c__Clostridia (UID1118),387,223,124,76.82,5.54,8.33,2841590,37048,2781,2781,30573,388,307,293,3932,3738,39.8,6.34,-100.0,-1,-1,48,163,12,0,0,0
chicken1_C-1_maxbin.038.fasta.contigs.fa,p__Actinobacteria (UID2112),31,211,124,94.19,10.6,36.84,3283398,22549,3145,3145,7868,375,293,286,6299,6046,36.4,4.8,-100.0,-1,-1,15,177,19,0,0,0
chicken1_C-1_maxbin.039.fasta_sub.contigs.fa,o__Clostridiales (UID1212),172,263,149,68.64,15.72,0.0,2118990,26353,2429,2430,7374,334,261,250,2196,2116,37.9,5.68,-100.0,-1,-1,82,143,36,2,0,0
chicken1_C-1_maxbin.041.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,56.1,14.42,8.51,1935991,22405,2147,2147,12622,330,272,262,1997,1932,41.1,4.44,-100.0,-1,-1,149,146,35,2,1,0
chicken1_C-1_maxbin.046.fasta.contigs.fa,k__Bacteria (UID2372),131,177,106,95.88,3.87,37.5,2755315,52916,3146,3146,4651,321,258,241,2228,2046,40.3,8.68,-100.0,-1,-1,13,160,2,2,0,0
chicken1_C-1_maxbin.049.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,92.24,29.47,19.51,3952289,48342,4462,4462,6923,321,263,252,1623,1497,34.3,7.57,-100.0,-1,-1,6,57,41,0,0,0
chicken1_C-1_maxbin.051.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,82.05,5.54,10.53,2130948,19368,2274,2274,4857,347,278,269,1750,1654,38.3,6.61,-100.0,-1,-1,72,176,13,2,0,0
chicken1_C-1_maxbin.054.fasta_sub.contigs.fa,k__Bacteria (UID203),5449,103,57,83.41,61.63,31.54,3500257,41153,3800,3800,3236,355,284,273,1702,1611,39.3,6.95,-100.0,-1,-1,17,41,27,10,2,6
chicken1_C-1_maxbin.055.fasta.contigs.fa,k__Bacteria (UID2372),131,177,106,35.75,10.51,0.0,4470115,67502,5919,5919,2401,275,212,201,2512,2307,38.4,6.48,-100.0,-1,-1,115,48,11,3,0,0
chicken1_C-1_maxbin.057.fasta.contigs.fa,f__Moraxellaceae (UID4680),86,689,365,48.96,1.77,2.27,1605884,20542,2074,2074,2124,300,235,226,1354,1278,35.3,7.12,-100.0,-1,-1,310,349,23,7,0,0
chicken1_C-1_metabat2.104.fa.contigs.fa,k__Bacteria (UID203),5449,103,57,38.6,0.0,0.0,1096867,11917,1080,1080,15829,364,309,298,1527,1472,42.0,6.43,-100.0,-1,-1,76,27,0,0,0,0
chicken1_C-1_metabat2.107.fa.contigs.fa,c__Clostridia (UID1118),387,223,124,33.55,0.0,0.0,647020,7222,630,630,43176,361,302,291,1137,1103,38.7,6.83,-100.0,-1,-1,131,92,0,0,0,0
chicken1_C-1_metabat2.18.fa_sub.contigs.fa,o__Clostridiales (UID1226),155,278,158,5.7,0.0,0.0,213930,2502,225,225,139346,343,290,279,1224,1196,42.1,3.56,-100.0,-1,-1,235,43,0,0,0,0
chicken1_C-1_metabat2.43.fa.contigs.fa,k__Bacteria (UID203),5449,103,57,39.47,0.0,0.0,1394517,15007,1425,1425,7750,354,291,280,1365,1302,41.4,4.71,-100.0,-1,-1,75,28,0,0,0,0
chicken1_C-1_metabat2.47.fa_sub.contigs.fa,o__Clostridiales (UID1226),155,278,158,5.7,0.0,0.0,504986,5685,455,455,32422,407,332,320,2220,2105,40.8,4.48,-100.0,-1,-1,237,41,0,0,0,0
chicken1_C-1_metabat2.52.fa_sub.contigs.fa,k__Bacteria (UID203),5449,98,58,18.65,0.0,0.0,575358,4786,549,549,30177,380,310,301,1257,1211,38.5,4.66,-100.0,-1,-1,74,24,0,0,0,0
chicken1_C-1_metabat2.77.fa.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,34.37,3.07,10.0,1073166,11909,1059,1059,64363,375,311,300,1466,1393,41.1,4.2,-100.0,-1,-1,207,116,10,0,0,0
chicken1_C-1_metabat2.79.fa.contigs.fa,o__Clostridiales (UID1226),155,278,158,75.91,1.42,0.0,2241441,23022,2210,2210,12739,363,303,292,2955,2849,40.3,4.88,-100.0,-1,-1,85,190,3,0,0,0
chicken1_C-2_maxbin.001.fasta.contigs.fa,c__Gammaproteobacteria (UID4442),899,312,185,97.84,0.0,0.0,4020842,54355,3765,3765,219801,372,307,293,4373,3966,36.0,7.2,-100.0,-1,-1,7,305,0,0,0,0
chicken1_C-2_maxbin.002.fasta.contigs.fa,f__Xanthomonadaceae (UID4214),55,659,290,98.28,1.5,0.0,4846580,38509,4502,4502,59991,396,320,312,4128,3980,34.6,5.47,-100.0,-1,-1,7,645,7,0,0,0
