ORF_ID	ORF	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description
0000000250	megahit_397_2-1306	PF01636.18	45	7.1e-12	APH	-	PFAM	Phosphotransferase enzyme family
0000000267	megahit_409_917-1549	PF00717.18	53	1.3e-14	Peptidase_S24	-	PFAM	Peptidase S24-like
0000000345	megahit_513_1584-2006	PF05105.7	123.7	1.9e-36	Phage_holin_4	-	PFAM	Holin family
0000000345	megahit_513_1584-2006	TIGR01593	82.3	1.5e-23	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000000558	megahit_717_1252-1569	PF08845.5	42.3	3.1e-11	SymE_toxin	-	PFAM	Toxin SymE, type I toxin-antitoxin system
0000000568	megahit_717_11990-12355	PF02742.10	46.1	1.9e-12	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000000568	megahit_717_11990-12355	PF01325.14	43.8	1.2e-11	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain
0000000717	megahit_931_11981-12394	TIGR01593	93.5	4.9e-27	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000000717	megahit_931_11981-12394	PF05105.7	143.6	1.3e-42	Phage_holin_4	-	PFAM	Holin family
0000000840	megahit_1042_700-1230	PF00881.19	105.7	1.4e-30	Nitroreductase	-	PFAM	Nitroreductase family
0000000957	megahit_1148_373-1848	PF13091.1	119.8	3.8e-35	PLDc_2	-	PFAM	PLD-like domain
0000001019	megahit_1171_406-735	PF07883.6	60.8	4.3e-17	Cupin_2	-	PFAM	Cupin domain
0000001028	megahit_1176_2858-3271	PF05105.7	150.9	6.9e-45	Phage_holin_4	-	PFAM	Holin family
0000001028	megahit_1176_2858-3271	TIGR01593	108.1	1.5e-31	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000001115	megahit_1246_10171-11421	PF05193.16	118	2.4e-34	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000001115	megahit_1246_10171-11421	PF00675.15	134.1	2e-39	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)
0000001116	megahit_1246_11732-12259	PF00881.19	87.3	6.1e-25	Nitroreductase	-	PFAM	Nitroreductase family
0000001150	megahit_1260_6446-6964	K06972_355	241.6	7.3e-72	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000001383	megahit_1449_1127-1414	K11060_3	46.5	1.1e-12	entB	-	KEGG	probable enterotoxin B
0000001432	megahit_1463_22652-23416	PF00881.19	58.3	5.1e-16	Nitroreductase	-	PFAM	Nitroreductase family
0000001477	megahit_1479_8942-9703	PF03372.18	90.9	8e-26	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000001588	megahit_1551_13704-14717	PF13950.1	114.1	1.3e-33	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000001652	megahit_1575_18542-20590	PF15637.1	41.1	8.6e-11	Tox-HNH-HHH	-	PFAM	HNH/Endo VII superfamily nuclease toxin with a HHH motif
0000001791	megahit_1649_5602-7107	PF15542.1	68.2	4.9e-19	Ntox50	-	PFAM	Putative toxin 64
0000001842	megahit_1686_11301-12398	PF00675.15	55.1	4.3e-15	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)
0000002119	megahit_1880_3129-3707	PF02452.12	73.9	7.2e-21	PemK	-	PFAM	PemK-like protein
0000002122	megahit_1886_512-1519	PF01636.18	42.9	2.9e-11	APH	-	PFAM	Phosphotransferase enzyme family
0000002207	megahit_1959_42306-43802	K10815_8	44.3	4e-12	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]
0000002208	megahit_1959_43792-45042	K10815_8	75.4	1.6e-21	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]
0000002254	megahit_1998_1083-1514	TIGR02116	85.7	9.9e-25	toxin_Txe_YoeB	-	TIGR	addiction module toxin, Txe/YoeB family
0000002255	megahit_1998_1507-1776	PF04221.7	45.7	2.6e-12	RelB	-	PFAM	RelB antitoxin
0000002369	megahit_2048_119-400	TIGR02385	96.8	4.2e-28	RelE_StbE	-	TIGR	addiction module toxin, RelE/StbE family
0000002369	megahit_2048_119-400	TIGR00053	77	6.6e-22	TIGR00053	-	TIGR	addiction module toxin component, YafQ family
0000002477	megahit_2120_230-763	PF00717.18	43.7	1e-11	Peptidase_S24	-	PFAM	Peptidase S24-like
0000002493	megahit_2140_3417-5927	PF13954.1	133.6	2.5e-39	PapC_N	-	PFAM	PapC N-terminal domain
0000002493	megahit_2140_3417-5927	PF13953.1	62.5	1.4e-17	PapC_C	-	PFAM	PapC C-terminal domain
0000002571	megahit_2194_6872-7792	PF00246.19	133.3	8e-39	Peptidase_M14	-	PFAM	Zinc carboxypeptidase
0000002612	megahit_2252_5011-5640	PF00881.19	88.8	2.2e-25	Nitroreductase	-	PFAM	Nitroreductase family
0000002643	megahit_2254_15456-16247	PF14058.1	99.9	8.4e-29	PcfK	-	PFAM	PcfK-like protein
0000002748	megahit_2285_206-784	K11068_1278_95_625	201.3	6.5e-60	hlyIII	-	KEGG	hemolysin III
0000002754	megahit_2285_7487-7849	PF01909.18	53.5	1.4e-14	NTP_transf_2	-	PFAM	Nucleotidyltransferase domain
0000002804	megahit_2311_130-1161	PF01636.18	49.9	2.3e-13	APH	-	PFAM	Phosphotransferase enzyme family
0000002835	megahit_2349_3-641	PF14057.1	442.6	4.2e-133	GGGtGRT	-	PFAM	GGGtGRT protein
0000002852	megahit_2360_3970-4725	PF03372.18	85	4.9e-24	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000002858	megahit_2360_9406-10329	PF00882.13	42.1	4.3e-11	Zn_dep_PLPC	-	PFAM	Zinc dependent phospholipase C
0000002951	megahit_2380_78034-78330	K03699_483	71.1	3.3e-20	tlyC	-	KEGG	putative hemolysin
0000002993	megahit_2418_4445-4642	PF07927.7	61.3	3.8e-17	YcfA	-	PFAM	YcfA-like protein
0000003051	megahit_2481_2-256	PF07883.6	59	1.5e-16	Cupin_2	-	PFAM	Cupin domain
0000003140	megahit_2538_6630-6827	PF08845.5	46	2.3e-12	SymE_toxin	-	PFAM	Toxin SymE, type I toxin-antitoxin system
0000003344	megahit_2638_3-956	K03699_483	272.4	2.7e-81	tlyC	-	KEGG	putative hemolysin
0000003464	megahit_2663_1859-3601	K10816_8	43.7	7.1e-12	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]
0000003483	megahit_2674_11120-11479	PF02742.10	52.1	2.4e-14	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000003485	megahit_2674_12004-12552	PF00881.19	84.8	3.8e-24	Nitroreductase	-	PFAM	Nitroreductase family
0000003584	megahit_2721_303-662	PF02452.12	104.3	2.5e-30	PemK	-	PFAM	PemK-like protein
0000003588	megahit_2727_2375-2770	PF02742.10	52.9	1.4e-14	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000003642	megahit_2786_2736-3401	PF00881.19	42.6	3.5e-11	Nitroreductase	-	PFAM	Nitroreductase family
0000003674	megahit_2808_6054-6569	PF07883.6	58.8	1.8e-16	Cupin_2	-	PFAM	Cupin domain
0000004005	megahit_3094_2509-2658	PF05105.7	55.4	2.8e-15	Phage_holin_4	-	PFAM	Holin family
0000004022	megahit_3096_13152-13334	PF07927.7	68.2	2.7e-19	YcfA	-	PFAM	YcfA-like protein
0000004047	megahit_3102_142-927	PF03837.9	99.8	7.8e-29	RecT	-	PFAM	RecT family
0000004203	megahit_3151_59709-60533	K10954_66	40.7	1.3e-10	zot	-	KEGG	zona occludens toxin
0000004226	megahit_3151_75493-76284	K10954_66	44.9	6.6e-12	zot	-	KEGG	zona occludens toxin
0000004291	megahit_3220_6336-6962	PF00881.19	83.6	8.6e-24	Nitroreductase	-	PFAM	Nitroreductase family
0000004351	megahit_3262_3771-4064	PF01909.18	42.4	4.2e-11	NTP_transf_2	-	PFAM	Nucleotidyltransferase domain
0000004397	megahit_3262_33445-33888	PF05105.7	119.3	4.4e-35	Phage_holin_4	-	PFAM	Holin family
0000004397	megahit_3262_33445-33888	TIGR01593	88.3	2e-25	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000004398	megahit_3262_33860-34495	K11062_2	50.3	6.7e-14	entD	-	KEGG	probable enterotoxin D
0000004426	megahit_3262_62864-63211	PF02452.12	106.8	4.3e-31	PemK	-	PFAM	PemK-like protein
0000004595	megahit_3320_3-1175	PF13091.1	70.1	9.2e-20	PLDc_2	-	PFAM	PLD-like domain
0000004613	megahit_3331_5749-6591	PF00881.19	52.8	2.5e-14	Nitroreductase	-	PFAM	Nitroreductase family
0000004695	megahit_3425_5338-5670	K11022_5	53.8	1.1e-14	rtxA1	-	KEGG	structural toxin protein (hemagglutinin\/hemolysin) RtxA
0000004880	megahit_3545_2938-3966	K01186_172	79.3	1.6e-22	NEU1	-	KEGG	Sialidase-1
0000004909	megahit_3558_3040-4662	PF07591.6	172.2	2.8e-51	PT-HINT	-	PFAM	Pretoxin HINT domain
0000004968	megahit_3612_7317-7988	PF00717.18	60.8	4.6e-17	Peptidase_S24	-	PFAM	Peptidase S24-like
0000005014	megahit_3637_14370-14705	PF07883.6	42.5	2.2e-11	Cupin_2	-	PFAM	Cupin domain
0000005052	megahit_3641_398-1186	PF00882.13	46.3	2.3e-12	Zn_dep_PLPC	-	PFAM	Zinc dependent phospholipase C
0000005073	megahit_3665_3534-4550	PF01636.18	101	5.4e-29	APH	-	PFAM	Phosphotransferase enzyme family
0000005089	megahit_3690_2088-3086	TIGR03605	126.1	5.3e-37	antibiot_sagB	-	TIGR	SagB-type dehydrogenase domain
0000005089	megahit_3690_2088-3086	PF00881.19	55	5.4e-15	Nitroreductase	-	PFAM	Nitroreductase family
0000005228	megahit_3786_8465-9052	PF00881.19	100.4	5.8e-29	Nitroreductase	-	PFAM	Nitroreductase family
0000005344	megahit_3910_3379-3720	PF04221.7	48.3	4e-13	RelB	-	PFAM	RelB antitoxin
0000005352	megahit_3921_4636-5019	PF00903.20	64.8	4.6e-18	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
0000005446	megahit_3983_17467-18027	PF10502.4	47.1	1.1e-12	Peptidase_S26	-	PFAM	Signal peptidase, peptidase S26
0000005446	megahit_3983_17467-18027	PF00717.18	68.6	1.7e-19	Peptidase_S24	-	PFAM	Peptidase S24-like
