genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
human1_DAS_maxbin_173_fasta_contigs-contigs.fa,1_1,0.020000000000000018,average,ANImf,1
human1_concoct_10_refined_2_Bin_9_11-contigs.fa,1_1,0.020000000000000018,average,ANImf,1
human1_DAS_maxbin_169_fasta_contigs-contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_concoct_10_refined_2_Bin_0_8_1-contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_DAS_maxbin_162_fasta_contigs-contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_concoct_10_refined_2_Bin_9_9_1-contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_DAS_maxbin_043_fasta_contigs-contigs.fa,4_1,0.020000000000000018,average,ANImf,4
human1_concoct_10_refined_2_Bin_6_5_1-contigs.fa,4_1,0.020000000000000018,average,ANImf,4
human1_DAS_maxbin_167_fasta_contigs-contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_concoct_10_refined_2_Bin_0_9_1-contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_DAS_maxbin_153_fasta_contigs-contigs.fa,6_1,0.020000000000000018,average,ANImf,6
human1_concoct_10_refined_2_Bin_9_2-contigs.fa,6_1,0.020000000000000018,average,ANImf,6
human1_DAS_maxbin_058_fasta_contigs-contigs.fa,7_1,0.020000000000000018,average,ANImf,7
human1_concoct_10_refined_2_Bin_3_9-contigs.fa,7_1,0.020000000000000018,average,ANImf,7
human1_DAS_maxbin_075_fasta_contigs-contigs.fa,8_1,0.020000000000000018,average,ANImf,8
human1_concoct_10_refined_2_Bin_3_10_1-contigs.fa,8_1,0.020000000000000018,average,ANImf,8
human1_DAS_maxbin_074_fasta_contigs-contigs.fa,9_1,0.020000000000000018,average,ANImf,9
human1_concoct_10_refined_2_Bin_3_5_1-contigs.fa,9_1,0.020000000000000018,average,ANImf,9
human1_DAS_maxbin_163_fasta_contigs-contigs.fa,10_1,0.020000000000000018,average,ANImf,10
human1_concoct_10_refined_2_Bin_3_6_1-contigs.fa,10_1,0.020000000000000018,average,ANImf,10
human1_DAS_maxbin_154_fasta_contigs-contigs.fa,11_1,0.020000000000000018,average,ANImf,11
human1_concoct_10_refined_2_Bin_0_7_1-contigs.fa,11_1,0.020000000000000018,average,ANImf,11
human1_DAS_maxbin_026_fasta_contigs-contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_concoct_10_refined_2_Bin_0_6_1-contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_DAS_maxbin_165_fasta_contigs-contigs.fa,13_1,0.020000000000000018,average,ANImf,13
human1_concoct_10_refined_2_Bin_0_2_1-contigs.fa,13_1,0.020000000000000018,average,ANImf,13
human1_DAS_maxbin_121_fasta_contigs-contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_concoct_10_refined_2_Bin_9_14_1-contigs.fa,14_1,0.020000000000000018,average,ANImf,14
human1_concoct_10_refined_2_Bin_9_13_1-contigs.fa,15_0,0.020000000000000018,average,ANImf,15
human1_DAS_maxbin_126_fasta_contigs-contigs.fa,16_1,0.020000000000000018,average,ANImf,16
human1_concoct_10_refined_2_Bin_9_19_1-contigs.fa,16_1,0.020000000000000018,average,ANImf,16
human1_concoct_10_refined_2_Bin_7_4_1-contigs.fa,17_0,0.020000000000000018,average,ANImf,17
human1_DAS_maxbin_155_fasta_contigs-contigs.fa,18_1,0.020000000000000018,average,ANImf,18
human1_concoct_10_refined_2_Bin_7_5_1-contigs.fa,18_1,0.020000000000000018,average,ANImf,18
human1_concoct_10_refined_2_Bin_9_6-contigs.fa,19_0,0.020000000000000018,average,ANImf,19
human1_concoct_10_refined_2_Bin_9_4_1-contigs.fa,20_0,0.020000000000000018,average,ANImf,20
human1_DAS_maxbin_166_fasta_contigs-contigs.fa,21_1,0.020000000000000018,average,ANImf,21
human1_concoct_10_refined_2_Bin_7_3-contigs.fa,21_1,0.020000000000000018,average,ANImf,21
human1_DAS_maxbin_171_fasta_contigs-contigs.fa,22_1,0.020000000000000018,average,ANImf,22
human1_concoct_10_refined_2_Bin_9_10_1-contigs.fa,22_1,0.020000000000000018,average,ANImf,22
human1_DAS_metabat2_285_fa_contigs-contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_concoct_10_refined_2_Bin_6_4-contigs.fa,23_1,0.020000000000000018,average,ANImf,23
human1_DAS_maxbin_033_fasta_contigs-contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_concoct_10_refined_2_Bin_6_6-contigs.fa,24_1,0.020000000000000018,average,ANImf,24
human1_DAS_maxbin_069_fasta_contigs-contigs.fa,25_1,0.020000000000000018,average,ANImf,25
human1_concoct_10_refined_2_Bin_6_1-contigs.fa,25_1,0.020000000000000018,average,ANImf,25
human1_DAS_maxbin_098_fasta_contigs-contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_concoct_10_refined_2_Bin_6_8-contigs.fa,26_1,0.020000000000000018,average,ANImf,26
human1_DAS_maxbin_144_fasta_contigs-contigs.fa,27_1,0.020000000000000018,average,ANImf,27
human1_concoct_10_refined_2_Bin_6_3-contigs.fa,27_1,0.020000000000000018,average,ANImf,27
human1_DAS_maxbin_010_fasta_contigs-contigs.fa,28_1,0.020000000000000018,average,ANImf,28
human1_concoct_10_refined_2_Bin_5_2-contigs.fa,28_1,0.020000000000000018,average,ANImf,28
human1_DAS_maxbin_028_fasta_contigs-contigs.fa,29_1,0.020000000000000018,average,ANImf,29
human1_concoct_10_refined_2_Bin_9_12_1-contigs.fa,29_1,0.020000000000000018,average,ANImf,29
human1_DAS_maxbin_035_fasta_contigs-contigs.fa,30_1,0.020000000000000018,average,ANImf,30
human1_concoct_10_refined_2_Bin_0_1_1-contigs.fa,30_1,0.020000000000000018,average,ANImf,30
human1_DAS_maxbin_002_fasta_contigs-contigs.fa,31_1,0.020000000000000018,average,ANImf,31
human1_concoct_10_refined_2_Bin_0_4_1-contigs.fa,31_1,0.020000000000000018,average,ANImf,31
human1_DAS_maxbin_017_fasta_contigs-contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_concoct_10_refined_2_Bin_6_15-contigs.fa,32_1,0.020000000000000018,average,ANImf,32
human1_DAS_maxbin_020_fasta_contigs-contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_concoct_10_refined_2_Bin_5_4-contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_DAS_maxbin_014_fasta_contigs-contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_concoct_10_refined_2_Bin_5_14-contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_DAS_maxbin_034_fasta_contigs-contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_concoct_10_refined_2_Bin_5_5-contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_DAS_maxbin_092_fasta_contigs-contigs.fa,36_1,0.020000000000000018,average,ANImf,36
human1_concoct_10_refined_2_Bin_7_2-contigs.fa,36_1,0.020000000000000018,average,ANImf,36
human1_concoct_10_refined_2_Bin_6_14-contigs.fa,37_0,0.020000000000000018,average,ANImf,37
human1_DAS_maxbin_133_fasta_contigs-contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_concoct_10_refined_2_Bin_9_16_1-contigs.fa,38_1,0.020000000000000018,average,ANImf,38
