genome,cluster,score
human1_concoct_10_refined_2_Bin_9_11-contigs.fa,1_1,101.77983423772474
human1_concoct_10_refined_2_Bin_0_8_1-contigs.fa,2_1,90.83394351388391
human1_concoct_10_refined_2_Bin_9_9_1-contigs.fa,3_1,102.08753638506798
human1_concoct_10_refined_2_Bin_6_5_1-contigs.fa,4_1,100.1061009098297
human1_concoct_10_refined_2_Bin_0_9_1-contigs.fa,5_1,100.1173972142142
human1_DAS_maxbin_153_fasta_contigs-contigs.fa,6_1,95.78354864483521
human1_concoct_10_refined_2_Bin_3_9-contigs.fa,7_1,101.58543568878252
human1_DAS_maxbin_075_fasta_contigs-contigs.fa,8_1,102.06047539520846
human1_concoct_10_refined_2_Bin_3_5_1-contigs.fa,9_1,101.90421766220167
human1_DAS_maxbin_163_fasta_contigs-contigs.fa,10_1,99.46023143561794
human1_concoct_10_refined_2_Bin_0_7_1-contigs.fa,11_1,101.51744582738957
human1_concoct_10_refined_2_Bin_0_6_1-contigs.fa,12_1,93.46515749370906
human1_concoct_10_refined_2_Bin_0_2_1-contigs.fa,13_1,101.57115829666772
human1_concoct_10_refined_2_Bin_9_14_1-contigs.fa,14_1,98.79884127271974
human1_concoct_10_refined_2_Bin_9_13_1-contigs.fa,15_0,86.85154015941418
human1_concoct_10_refined_2_Bin_9_19_1-contigs.fa,16_1,89.91336084122898
human1_concoct_10_refined_2_Bin_7_4_1-contigs.fa,17_0,78.56108903698701
human1_concoct_10_refined_2_Bin_7_5_1-contigs.fa,18_1,102.82400235491005
human1_concoct_10_refined_2_Bin_9_6-contigs.fa,19_0,91.00997900998742
human1_concoct_10_refined_2_Bin_9_4_1-contigs.fa,20_0,92.0530521724208
human1_concoct_10_refined_2_Bin_7_3-contigs.fa,21_1,93.29201716149801
human1_DAS_maxbin_171_fasta_contigs-contigs.fa,22_1,100.96278078978403
human1_concoct_10_refined_2_Bin_6_4-contigs.fa,23_1,99.66926663557022
human1_concoct_10_refined_2_Bin_6_6-contigs.fa,24_1,102.61731164483122
human1_DAS_maxbin_069_fasta_contigs-contigs.fa,25_1,102.38758108607432
human1_concoct_10_refined_2_Bin_6_8-contigs.fa,26_1,88.87130105623277
human1_concoct_10_refined_2_Bin_6_3-contigs.fa,27_1,101.59500187931707
human1_concoct_10_refined_2_Bin_5_2-contigs.fa,28_1,96.58752288332857
human1_concoct_10_refined_2_Bin_9_12_1-contigs.fa,29_1,99.67931751250468
human1_concoct_10_refined_2_Bin_0_1_1-contigs.fa,30_1,101.96006761578194
human1_DAS_maxbin_002_fasta_contigs-contigs.fa,31_1,91.04819912874422
human1_DAS_maxbin_017_fasta_contigs-contigs.fa,32_1,88.77067776939772
human1_concoct_10_refined_2_Bin_5_4-contigs.fa,33_1,83.03729818748852
human1_DAS_maxbin_014_fasta_contigs-contigs.fa,34_1,92.36477308433442
human1_concoct_10_refined_2_Bin_5_5-contigs.fa,35_1,93.87289439148951
human1_concoct_10_refined_2_Bin_7_2-contigs.fa,36_1,97.12941467795092
human1_concoct_10_refined_2_Bin_6_14-contigs.fa,37_0,95.09834012456393
human1_concoct_10_refined_2_Bin_9_16_1-contigs.fa,38_1,81.86208534943371
human1_concoct_10_refined_2_Bin_9_15_1-contigs.fa,39_1,83.37674527154697
human1_DAS_maxbin_139_fasta_contigs-contigs.fa,40_1,75.49101195326165
human1_concoct_10_refined_2_Bin_6_12-contigs.fa,41_1,89.57922749733368
human1_concoct_10_refined_2_Bin_1_1-contigs.fa,42_0,84.50818852899408
human1_concoct_10_refined_2_Bin_9_3_1-contigs.fa,43_1,99.07872273900114
human1_concoct_10_refined_2_Bin_9_7_1-contigs.fa,44_1,98.46073170118336
human1_DAS_maxbin_124_fasta_contigs-contigs.fa,45_1,92.75073187285706
human1_DAS_maxbin_056_fasta_contigs-contigs.fa,46_0,57.06240431367001
human1_concoct_10_refined_2_Bin_5_15_1-contigs.fa,47_0,74.06226897836423
human1_concoct_10_refined_2_Bin_7_1-contigs.fa,48_0,99.07872706398832
human1_concoct_10_refined_2_Bin_9_1_1-contigs.fa,49_1,88.88553258810347
human1_DAS_maxbin_011_fasta_contigs-contigs.fa,50_1,89.48766482940063
human1_DAS_maxbin_159_fasta_contigs-contigs.fa,51_1,94.8809291826685
human1_concoct_10_refined_2_Bin_9_20_1-contigs.fa,52_1,92.75736146722446
human1_concoct_10_refined_2_Bin_9_8_1-contigs.fa,53_1,93.95718513201746
human1_concoct_10_refined_2_Bin_9_23_1-contigs.fa,54_1,92.20758237431481
human1_DAS_maxbin_137_fasta_contigs-contigs.fa,55_1,97.511401757091
human1_concoct_10_refined_2_Bin_5_7_1-contigs.fa,56_0,86.8937084596591
human1_DAS_maxbin_136_fasta_contigs-contigs.fa,57_1,88.94532187825644
human1_DAS_metabat2_261_fa_contigs-contigs.fa,58_1,87.74240247850962
human1_concoct_10_refined_2_Bin_9_24_1-contigs.fa,59_1,71.65701623906645
human1_DAS_maxbin_054_fasta_contigs-contigs.fa,60_0,72.46352293621365
human1_DAS_metabat2_240_fa_contigs-contigs.fa,61_1,72.95939384301397
human1_concoct_10_refined_2_Bin_5_3-contigs.fa,62_1,66.15927357238354
human1_DAS_maxbin_045_fasta_contigs-contigs.fa,63_0,59.5383077737786
human1_concoct_10_refined_2_Bin_5_11_1-contigs.fa,64_1,64.32439927476416
human1_DAS_metabat2_144_fa_contigs-contigs.fa,65_1,82.59828497383025
human1_DAS_maxbin_012_fasta_contigs-contigs.fa,66_0,64.62759613368698
human1_concoct_10_refined_2_Bin_2_24_1-contigs.fa,67_0,89.7685966235896
human1_DAS_maxbin_084_fasta_contigs-contigs.fa,68_1,96.3377504919852
human1_DAS_maxbin_105_fasta_contigs-contigs.fa,69_1,92.9282771070186
human1_concoct_10_refined_2_Bin_2_2_1-contigs.fa,70_1,73.57077476748978
human1_concoct_10_refined_2_Bin_9_18_1-contigs.fa,71_1,101.80011893451564
human1_concoct_10_refined_2_Bin_6_7-contigs.fa,72_1,96.22998217432018
human1_concoct_10_refined_2_Bin_6_2-contigs.fa,73_0,98.57717546257636
human1_concoct_10_refined_2_Bin_8_1-contigs.fa,74_1,79.61382233966508
human1_concoct_10_refined_2_Bin_6_10-contigs.fa,75_1,76.28088474937138
human1_concoct_10_refined_2_Bin_6_16_1-contigs.fa,75_2,81.84009629064781
human1_concoct_10_refined_2_Bin_6_11-contigs.fa,76_1,93.86752709667209
human1_concoct_10_refined_2_Bin_8_6_1-contigs.fa,77_0,73.19192387711442
human1_concoct_10_refined_2_Bin_4_9_1-contigs.fa,78_1,90.56340175622931
human1_DAS_maxbin_071_fasta_contigs-contigs.fa,79_0,88.58524014550017
human1_concoct_10_refined_2_Bin_3_1_1-contigs.fa,80_1,78.88523094662308
human1_concoct_10_refined_2_Bin_4_11_1-contigs.fa,81_0,95.5105535157459
human1_concoct_10_refined_2_Bin_3_7-contigs.fa,82_1,86.99404641920128
human1_concoct_10_refined_2_Bin_3_8_1-contigs.fa,83_1,75.39695109623747
human1_concoct_10_refined_2_Bin_2_13-contigs.fa,84_1,79.6310926262322
human1_DAS_maxbin_025_fasta_contigs-contigs.fa,85_0,75.88253604048944
human1_concoct_10_refined_2_Bin_2_26-contigs.fa,86_1,66.05672714987448
human1_concoct_10_refined_2_Bin_2_6-contigs.fa,87_1,86.81506160513669
human1_DAS_maxbin_036_fasta_contigs-contigs.fa,88_0,70.93890926438584
