genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_C-1_maxbin.001.fasta.contigs.fa,80.98,0.35,0.0,2211107,95937,0.9985194603333335
chicken1_C-1_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4075197,219639,0.9998988976744186
chicken1_C-1_maxbin.004.fasta.contigs.fa,80.66,4.33,0.0,3447776,10395,0.9910667200000002
chicken1_C-1_maxbin.005.fasta.contigs.fa,83.43,8.73,25.0,4032942,47917,0.996359467894737
chicken1_C-1_maxbin.009.fasta.contigs.fa,90.94,0.0,0.0,2206394,41382,0.995692218095238
chicken1_C-1_maxbin.013.fasta.contigs.fa,77.34,0.89,0.0,1404088,59713,0.9998723638461537
chicken1_C-1_maxbin.014.fasta.contigs.fa,99.27,1.07,75.0,4560553,30254,0.9943104654838709
chicken1_C-1_maxbin.015.fasta.contigs.fa,85.07,4.57,7.69,2599687,25681,0.9965243857142857
chicken1_C-1_maxbin.016.fasta.contigs.fa,89.93,1.34,0.0,2361466,98482,0.9982523796153846
chicken1_C-1_maxbin.017.fasta.contigs.fa,85.68,2.68,0.0,2675081,69767,0.9998023363636364
chicken1_C-1_maxbin.018.fasta.contigs.fa,93.12,12.12,2.86,3380542,55712,0.9991179066666667
chicken1_C-1_maxbin.019.fasta.contigs.fa,79.64,1.34,0.0,1885857,117092,0.9994112950000001
chicken1_C-1_maxbin.020.fasta.contigs.fa,76.22,2.24,0.0,2184273,87666,0.9997666514285715
chicken1_C-1_maxbin.022.fasta.contigs.fa,94.34,0.61,0.0,2465363,40636,0.9971874005000002
chicken1_C-1_maxbin.023.fasta.contigs.fa,69.39,0.7,50.0,1779801,50818,0.0
chicken1_C-1_maxbin.024.fasta.contigs.fa,78.97,3.24,69.23,1829248,13230,0.9910010718181819
chicken1_C-1_maxbin.025.fasta.contigs.fa,97.38,0.37,0.0,3054945,143004,0.9997664642857143
chicken1_C-1_maxbin.026.fasta_sub.contigs.fa,75.95,20.66,13.33,2768478,66114,0.0
chicken1_C-1_maxbin.029.fasta.contigs.fa,44.46,10.53,3.57,2270223,40611,0.0
chicken1_C-1_maxbin.030.fasta.contigs.fa,99.37,57.28,0.95,5267886,73371,0.0
chicken1_C-1_maxbin.032.fasta.contigs.fa,70.46,32.91,0.0,2954259,39962,0.0
chicken1_C-1_maxbin.033.fasta_sub.contigs.fa,44.33,12.23,47.22,1643648,16712,0.0
chicken1_C-1_maxbin.035.fasta.contigs.fa,89.6,0.75,0.0,2432309,45628,0.9992057466666666
chicken1_C-1_maxbin.037.fasta.contigs.fa,76.82,5.54,8.33,2841590,30573,0.9990820489999999
chicken1_C-1_maxbin.038.fasta.contigs.fa,94.19,10.6,36.84,3283398,7868,0.9952692472222223
chicken1_C-1_maxbin.039.fasta_sub.contigs.fa,68.64,15.72,0.0,2118990,7374,0.0
chicken1_C-1_maxbin.041.fasta.contigs.fa,56.1,14.42,8.51,1935991,12622,0.0
chicken1_C-1_maxbin.046.fasta.contigs.fa,95.88,3.87,37.5,2755315,4651,0.9978265353333334
chicken1_C-1_maxbin.049.fasta.contigs.fa,92.24,29.47,19.51,3952289,6923,0.0
chicken1_C-1_maxbin.051.fasta.contigs.fa,82.05,5.54,10.53,2130948,4857,0.9991135589473684
chicken1_C-1_maxbin.054.fasta_sub.contigs.fa,83.41,61.63,31.54,3500257,3236,0.0
chicken1_C-1_maxbin.055.fasta.contigs.fa,35.75,10.51,0.0,4470115,2401,0.0
chicken1_C-1_maxbin.057.fasta.contigs.fa,48.96,1.77,2.27,1605884,2124,0.0
chicken1_C-1_metabat2.104.fa.contigs.fa,38.6,0.0,0.0,1096867,15829,0.0
chicken1_C-1_metabat2.107.fa.contigs.fa,33.55,0.0,0.0,647020,43176,0.0
chicken1_C-1_metabat2.18.fa_sub.contigs.fa,5.7,0.0,0.0,213930,139346,0.0
chicken1_C-1_metabat2.43.fa.contigs.fa,39.47,0.0,0.0,1394517,7750,0.0
chicken1_C-1_metabat2.47.fa_sub.contigs.fa,5.7,0.0,0.0,504986,32422,0.0
chicken1_C-1_metabat2.52.fa_sub.contigs.fa,18.65,0.0,0.0,575358,30177,0.0
chicken1_C-1_metabat2.77.fa.contigs.fa,34.37,3.07,10.0,1073166,64363,0.0
chicken1_C-1_metabat2.79.fa.contigs.fa,75.91,1.42,0.0,2241441,12739,0.9987376
chicken1_C-2_maxbin.001.fasta.contigs.fa,97.84,0.0,0.0,4020842,219801,0.9999218323255815
