CONTIG_NAME	CALL	CONTIG_LENGTH	MIN_MAX_SCORE	AVG_MAX_SCORE	SYNTENY	DIRECTION	CLADE_A	CLADE_B	LCA	MELDED_A	MELDED_B	TAXONOMY_A	TAXONOMY_B	LOCI	ANNOTATIONS:UNIREF50	ANNOTATIONS:UNIREF90
megahit_100015	lgt	35385	0.8001	0.8246	ABAA	B>A	f__Clostridiaceae	f__Clostridiales_noname	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	2321:3082:+|30029:30326:-|31103:31498:-|31530:31958:-	UniRef50_R6P854|UniRef50_A6NSN3|UniRef50_C5CDI2|UniRef50_B5XSS1	UniRef90_R8W6D9|UniRef90_A6NSN3|UniRef90_F7V8Z5|UniRef90_unknown
megahit_102413	lgt	19366	0.8002	0.9241	ABBBBBBBBB*	A?B	o__Clostridiales	o__Erysipelotrichales	p__Firmicutes	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2039:2901:-|8833:9186:-|9838:10180:+|10249:11064:+|11515:11856:+|11925:12740:+|13117:13434:-|13595:15277:-|17113:17601:+|17770:18546:+|18694:19362:-	UniRef50_C0B7F1|UniRef50_R6UG09|UniRef50_R7G5B5|UniRef50_A8MI01|UniRef50_R7G5B5|UniRef50_A8MI01|UniRef50_R6VQJ8|UniRef50_R6UWZ5|UniRef50_G9R2J9|UniRef50_G9R2J8|UniRef50_R7BJE4	UniRef90_D3MR18|UniRef90_R6UG09|UniRef90_B1BZ70|UniRef90_B1BZ69|UniRef90_B1BZ70|UniRef90_B1BZ69|UniRef90_R6VQJ8|UniRef90_R6UWZ5|UniRef90_G9R2J9|UniRef90_G9R2J8|UniRef90_R5QXE5
megahit_103133	lgt	3177	0.8240	0.8931	AB	A?B	s__Clostridium_spiroforme	s__Catenibacterium_mitsuokai	f__Erysipelotrichaceae	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_spiroforme	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai	208:1336:-|1654:2946:+	UniRef50_R5RFI2|UniRef50_I5AUY2	UniRef90_B1C3K3|UniRef90_E2NPE3
megahit_103687	lgt	2363	0.8801	0.8904	AAB	A?B	s__Clostridium_clostridioforme	f__Lachnospiraceae	o__Clostridiales	--	g__Blautia|s__Ruminococcus_obeum; g__Roseburia|s__Roseburia_inulinivorans	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1:516:-|518:1124:-|2128:2363:+	UniRef50_R6MRD3|UniRef50_R7PIP5|UniRef50_H8LCF1	UniRef90_R7PGH0|UniRef90_R7PIP5|UniRef90_A5ZS29
megahit_103827	lgt	2461	0.8832	0.9194	AB	A?B	s__Anaerotruncus_colihominis	s__Lachnospiraceae_bacterium_7_1_58FAA	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA	623:1924:+|1991:2457:-	UniRef50_D4JWE5|UniRef50_R6H0J8	UniRef90_B0PGN3|UniRef90_B0PGN2
megahit_104212	lgt	7479	0.9367	0.9659	AAAAABB	A?B	s__Faecalibacterium_prausnitzii	s__Butyricicoccus_pullicaecorum	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_pullicaecorum	500:1209:-|1260:1613:-|1626:2156:-|2260:3063:-|3078:3890:-|5113:5847:-|5840:7333:-	UniRef50_R6EE31|UniRef50_R6S8J7|UniRef50_U2R5X7|UniRef50_G2T3B6|UniRef50_G2T3B7|UniRef50_R8W499|UniRef50_R8W4Q5	UniRef90_E2ZLT9|UniRef90_E2ZLT8|UniRef90_E2ZLT7|UniRef90_E2ZLT6|UniRef90_E2ZLT5|UniRef90_R8W499|UniRef90_R8W4Q5
megahit_104713	lgt	890	0.8382	0.8454	AB	A?B	s__Pseudomonas_extremaustralis	s__Pseudomonas_veronii	g__Pseudomonas	--	--	r__Root|k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_extremaustralis	r__Root|k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_veronii	6:315:+|312:890:+	UniRef50_W8WUZ4|UniRef50_Q13GB8	UniRef90_A0A023C303|UniRef90_A0A023C330
megahit_105678	lgt	4093	0.8320	0.9179	AAAB	A?B	s__Holdemania_sp_AP2	g__Oscillibacter	p__Firmicutes	--	s__Oscillibacter_sp_KLE_1728; s__Oscillibacter_sp_KLE_1745	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_sp_AP2	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	166:426:-|727:1083:-|2488:2733:-|3343:4093:-	UniRef50_U2D1E4|UniRef50_D3R336|UniRef50_K1T9N6|UniRef50_R5G283	UniRef90_unknown|UniRef90_unknown|UniRef90_unknown|UniRef90_R6TKP5
megahit_106322	lgt	1320	0.8075	0.8879	AB	A?B	g__Enterococcus	g__Streptococcus	o__Lactobacillales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	r__Root|k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	570:821:+|880:1320:-	UniRef50_W5ZFW2|UniRef50_I6SVA4	UniRef90_W5ZFW2|UniRef90_E8JQU3
megahit_106476	lgt	12372	0.8281	0.9173	A*AAABBBBB	A?B	s__Pseudoflavonifractor_capillosus	s__Flavonifractor_plautii	f__Clostridiales_noname	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii	147:515:+|564:1298:-|1332:3302:-|3633:4379:+|4466:5180:-|5758:6330:+|6348:6725:+|7142:7699:+|7794:8417:-|8433:9981:-	UniRef50_R6H603|UniRef50_C7TGM8|UniRef50_A6P2X6|UniRef50_F4XD74|UniRef50_R6IH95|UniRef50_A3PQQ0|UniRef50_F4XBF1|UniRef50_C9RPH9|UniRef50_R6HE72|UniRef50_R5A5X8	UniRef90_A6P2X8|UniRef90_A6P2X7|UniRef90_A6P2X6|UniRef90_A6P2X4|UniRef90_A6P2X3|UniRef90_G9YT51|UniRef90_G9YT52|UniRef90_unknown|UniRef90_R5A8S4|UniRef90_G9YT57
megahit_111395	lgt	4368	0.8370	0.8980	AB	A?B	s__Faecalibacterium_prausnitzii	s__Roseburia_inulinivorans	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	307:672:-|881:1552:+	UniRef50_D4ML35|UniRef50_C2YYN8	UniRef90_E2ZLT0|UniRef90_C0FW11
megahit_112214	lgt	4055	0.8155	0.8491	AB	A?B	g__Clostridium	s__Coprobacillus_sp_D7	p__Firmicutes	s__Clostridium_citroniae; s__Clostridium_clostridioforme	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_D7	402:808:+|853:1257:+	UniRef50_R6JWH6|UniRef50_H8L7X4	UniRef90_N9YIK5|UniRef90_C3RPU7
megahit_113144	lgt	1570	0.8277	0.8707	ABB	A?B	s__Clostridium_citroniae	s__Clostridium_hathewayi	g__Clostridium	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi	6:346:-|625:1193:-|1264:1570:-	UniRef50_R5AGV1|UniRef50_D4MRX3|UniRef50_R5NNG3	UniRef90_G5IHT6|UniRef90_G5IHT9|UniRef90_G5IHU0
