bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
maxbin_002_fasta_contigs	3373122	99	65526	44.10077764312698	88.73239436619718	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius
maxbin_004_fasta_contigs	2078616	36	155262	40.779221272908764	91.54929577464789	4.225352112676056	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus	Ruminococcus bromii
maxbin_005_fasta_contigs	3887172	465	22282	57.84143397134521	80.28169014084507	22.535211267605632	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	
maxbin_006_fasta_contigs	2170300	288	13284	41.178526214432814	39.436619718309856	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	
maxbin_008_fasta_contigs	2596485	54	117427	40.733717504529054	64.78873239436619	11.267605633802816	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	RUG115	
maxbin_009_fasta_contigs	2676589	325	14386	37.0186970597009	95.77464788732394	8.450704225352112	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	
maxbin_010_fasta_contigs	6840287	270	59075	42.12605847396881	100.0	7.042253521126761	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
maxbin_011_fasta_contigs	2278970	65	108475	45.24018546417072	91.54929577464789	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	CAG-180 sp000432435
maxbin_012_fasta_contigs	3312280	189	41228	44.50665362370507	74.64788732394366	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	
maxbin_013_fasta_contigs	2792382	197	26004	53.96328494097096	87.32394366197182	7.042253521126761	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	
maxbin_014_fasta_contigs	4003023	169	47157	41.967536680529584	91.54929577464789	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola massiliensis
maxbin_015_fasta_contigs	1751379	168	73857	43.65167983303693	63.38028169014085	23.943661971830984	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella sp005845265
maxbin_017_fasta_contigs	4408022	97	103123	46.00526083977623	98.59154929577464	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
maxbin_018_fasta_contigs	4323842	459	21712	42.313192737626984	95.77464788732394	38.028169014084504	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp003478355
maxbin_019_fasta_contigs	3902312	518	11460	41.15275891476674	84.50704225352112	29.577464788732396	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
maxbin_020_fasta_contigs	4737411	520	14081	42.15193255824389	85.91549295774648	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	
maxbin_021_fasta_contigs	2782824	192	47864	40.84813313138161	84.50704225352112	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter faecis
maxbin_022_fasta_contigs	4147704	406	17884	48.20788211533921	97.1830985915493	36.61971830985915	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans
maxbin_023_fasta_contigs	2528319	430	9297	38.03452338537506	50.70422535211268	7.042253521126761	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	
maxbin_025_fasta_contigs	3179080	377	12855	37.628829576349965	92.95774647887323	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	
maxbin_026_fasta_contigs	2331683	32	117575	43.7422713792076	97.1830985915493	1.408450704225352	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	
maxbin_028_fasta_contigs	4785209	93	131412	45.20095111991399	100.0	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
maxbin_029_fasta_contigs	3051715	148	39411	43.61501855472048	95.77464788732394	19.718309859154928	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
maxbin_033_fasta_contigs	2491933	42	136340	62.84137108934169	91.54929577464789	0.0	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	
maxbin_034_fasta_contigs	2962683	59	111381	37.833551360417765	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Monoglobales	UBA1381	CAG-41	CAG-41 sp900066215
maxbin_035_fasta_contigs	5084709	122	95529	44.99034406986251	97.1830985915493	1.408450704225352	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			
maxbin_036_fasta_contigs	3482898	325	21768	36.869668759663604	88.73239436619718	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp900066545
maxbin_037_fasta_contigs	3182217	94	66268	42.565980128543735	90.14084507042253	2.816901408450704	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	
maxbin_039_fasta_contigs	518676	31	80602	37.467696802091034	49.29577464788732	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	Bariatricus comes
maxbin_040_fasta_contigs	2454300	98	57561	42.1022680825863	43.66197183098591	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	Bariatricus comes
maxbin_041_fasta_contigs	2651203	138	43494	41.25969416196357	85.91549295774648	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea formicigenerans
maxbin_042_fasta_contigs	2093348	83	35549	45.284081816691426	78.87323943661971	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1375	UMGS1375 sp900066615
maxbin_043_fasta_contigs	3581041	56	225010	41.827723527490015	100.0	4.225352112676056	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
maxbin_045_fasta_contigs	2140966	319	10390	57.34607657310059	47.88732394366197	4.225352112676056	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	
maxbin_052_fasta_contigs	3268057	230	22632	61.89172396213692	64.78873239436619	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
maxbin_053_fasta_contigs	3209009	294	19626	40.874013956411936	63.38028169014085	7.042253521126761	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	
maxbin_054_fasta_contigs	1902223	122	32140	59.15853691653439	66.19718309859155	2.816901408450704	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	
maxbin_055_fasta_sub_contigs	3187059	245	43140	51.415091970363605	45.070422535211264	11.267605633802816	Bacteria	Firmicutes	Clostridia				
maxbin_056_fasta_contigs	2980542	262	19808	46.55767012739797	85.91549295774648	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium sp003024715
maxbin_057_fasta_contigs	2748315	163	33718	58.44145125620845	87.32394366197182	9.859154929577464	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	
maxbin_058_fasta_contigs	2982363	233	25665	28.359541447664068	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	
maxbin_060_fasta_contigs	3432566	185	45850	46.30342540883949	63.38028169014085	7.042253521126761	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella sp900066775
maxbin_061_fasta_contigs	2601903	96	76650	42.90574859749878	78.87323943661971	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	
maxbin_062_fasta_contigs	1617318	217	11313	40.71892954194455	80.28169014084507	16.901408450704224	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
maxbin_064_fasta_contigs	3151075	269	25240	43.07103936550112	91.54929577464789	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
maxbin_065_fasta_contigs	4115760	257	31157	42.53878038051795	91.54929577464789	9.859154929577464	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
maxbin_066_fasta_contigs	7133105	755	21434	42.59369854949174	94.36619718309859	35.2112676056338	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium ramulus
