ASV	D1	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D2	D20	D21	D22	D23	D24	D25	D26	D27	D28	D29	D3	D30	D31	D32	D33	D34	D35	D36	D37	D38	D39	D4	D40	D41	D42	D43	D5	D6	D7	D8	D9	D_1	HC_1	HC_2	HC_3	HC_4	HC_5	HC_6	HC_7	HC_8	HC_9	HC_10	HC_11	HC_12	HC_13	HC_14	HC_15	HC_16	HC_17	HC_18	HC_19	HC_20	HC_21	HC_22	HC_23	HC_24	HV_1	HV_2	HV_3	HV_4	HV_5	HV_6	HV_7	HV_8	HV_9	HV_10	HV_11	HV_12	HV_13	HV_14	HV_15	HV_16	HV_17	HV_18	HV_19	HV_20	HV_21	HV_22	HV_23	HV_24	Best_Hit_ARO	Model_type	Drug_Class	Resistance_Mechanism	AMR_Gene.Family	Best_Identities	Percentage_Length.of.Reference.Sequence	Note	Length_AA	Gene_name	Contig_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	KEGG_ID	KEGGFUN	KEGGPATH	COG_ID	COGFUN	COGPATH	PFAM	Drug_Class_multi	Resistance_Mechanism_multi	Strain
human_megahit_1512_86-616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.291	0.862	0.351	1.964	0.657	0	0.622	0.557	0.222	0	0.633	0.065	1.548	0.058	0.308	0.205	0.659	0.436	0.545	0.111	0.23	0	0	4.001	1.043	7.947	1.233	0.322	0	0	0.145	6.314	1.501	1.338	0.075	0	0	21.372	29.461	1.526	4.015	0	0	3.219	0.334	14.408	41.503	0	0.997	emrR	protein homolog model	fluoroquinolone	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	100.00	NA	 177	emrR, mprA	megahit_1512	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K15974*	MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	COG1846*	Transcriptional regulators	Transcription	PF01047 [MarR family]	fluoroquinolone	antibiotic efflux	Escherichia coli
human_megahit_1512_743-1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.326	0.883	0.723	1.128	1.071	0.035	0.895	0.183	0.084	0	0.51	0.074	2.034	0.039	0.31	0.062	0.323	0.426	0.32	0.1	0.294	0.027	0	4.805	0.816	6.38	1.793	0.496	0	0.056	0.118	5.334	1.289	1.332	0.034	0	0.096	21.997	27.038	1.13	3.444	0	0	2.93	0.235	10.777	46.105	0	0.902	emrA	protein homolog model	fluoroquinolone	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	 99.74	100.00	NA	 391	emrA	megahit_1512	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K03543*	membrane fusion protein, multidrug efflux system	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG1566*	Multidrug resistance efflux pump	NA	PF00529 [HlyD membrane-fusion protein of T1SS];PF13437 [HlyD family secretion protein];PF16576 [Barrel-sandwich domain of CusB or HlyD membrane-fusion]	fluoroquinolone	antibiotic efflux	Escherichia coli
human_megahit_1512_1932-3470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196	0.75	0.254	0.704	0.589	0	0.442	0.201	0.128	0.026	0.17	0.09	1.355	0.04	0.118	0.047	0.606	0.162	0.343	0.048	0.132	0.063	0	3.183	1.003	5.872	0.784	0.344	0	0.022	0.04	4.94	0.85	1.464	0.142	0	0	16.443	21.772	1.627	2.661	0	0	1.42	0.09	16.914	34.887	0	0.798	emrB	protein homolog model	fluoroquinolone	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	100.00	NA	 513	emrB	megahit_1512	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K03446*	MFS transporter, DHA2 family, multidrug resistance protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	ENOG410XNN3*	drug resistance transporter emrb qaca subfamily	Inorganic ion transport and metabolism	PF07690 [Major Facilitator Superfamily]	fluoroquinolone	antibiotic efflux	Escherichia coli
human_megahit_1935_13232-13930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256	0.461	0.086	0.075	0.203	0.306	0.634	0.197	4.777	0	0.198	0.258	1.209	0.052	2.722	1.584	0.459	0.536	0.798	0.233	1.698	0.729	0	0.408	0.142	0.099	0.294	0.136	0.213	0.066	0.084	0.672	0	0.826	0.304	0.135	0	0	0.132	0.054	0.389	0.141	0	0	0	0	0.549	0.243	vanRD	protein homolog model	glycopeptide	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	 96.12	100.00	NA	 233	vanRC, vanRE, vanRG	megahit_1935	Bacteria	Terrabacteria group	Firmicutes	NA	NA	NA	NA	K18349*	two-component system, OmpR family, response regulator VanR	Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	COG0745*	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	Transcription|Signal transduction mechanisms	PF00072 [Response regulator receiver domain];PF00486 [Transcriptional regulatory protein, C terminal]	glycopeptide	antibiotic target alteration	unknown Firmicutes (Class)
human_megahit_4077_533-1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583	0	0.139	0	0.395	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CTX-M-1	protein homolog model	cephalosporin	antibiotic inactivation	CTX-M beta-lactamase	100.00	100.00	NA	 292	blaCTX-M	megahit_4077	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K18767*	beta-lactamase class A CTX-M [EC:3.5.2.6]	Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	COG2367*	Beta-lactamase class A	NA	PF00144 [Beta-lactamase];PF13354 [Beta-lactamase enzyme family]	cephalosporin	antibiotic inactivation	Escherichia coli
human_megahit_4631_5392-6930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148	0	0.033	0.026	0.102	0.184	0.215	0	0	0	0.024	0.18	0	0	0	0	0	0.579	0	0	0	0	0	0.673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165	0	0	0	0	0	0.026	0	0	0	0	emrB	protein homolog model	fluoroquinolone	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	 95.51	100.00	NA	 513	emrB	megahit_4631	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	NA	K03446*	MFS transporter, DHA2 family, multidrug resistance protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	ENOG410XNN3*	drug resistance transporter emrb qaca subfamily	Inorganic ion transport and metabolism	PF07690 [Major Facilitator Superfamily]	fluoroquinolone	antibiotic efflux	unknown Citrobacter (Genus)
human_megahit_5670_55-1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0	0.036	0.171	0.05	0	0	0	0	0	0.027	0.025	0.043	0	0.026	0	0.021	0.025	0	0.021	0.014	0	0	0.125	0.024	0.128	0.025	0	0	0	0	0.389	0.073	0	0.028	0	0	0.889	2.551	0	0.107	0	0	0.113	0	0	14.329	0	0	baeS	protein homolog model	aminoglycoside; aminocoumarin	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	 96.57	100.00	NA	 468	baeS, smeS	megahit_5670	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K07642*	two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	COG0642*	Signal transduction histidine kinase	Signal transduction mechanisms	PF00512 [His Kinase A (phospho-acceptor) domain];PF00672 [HAMP domain];PF02518 [Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase]	multi-drug	antibiotic efflux	Escherichia coli
human_megahit_6030_35385-35933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175	0	0	0	0	0	0	0	0	0	178.091	0	14.197	0	0.176	0	135.632	0.058	36.787	0	0	0	20.769	0	22.093	0	0	0	AAC(6')-Ii	protein homolog model	aminoglycoside	antibiotic inactivation	AAC(6')	 98.90	100.00	NA	 183	aac6-I	megahit_6030	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	K18815*	aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]	Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	ENOG4111TEY*	Aminoglycoside N6-acetyltransferase	Function unknown	PF00583 [Acetyltransferase (GNAT) family]	aminoglycoside	antibiotic inactivation	Enterococcus
human_megahit_6942_20924-22129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.91	36.35	50.818	55.326	39.197	84.335	30.623	45.617	46.828	43.684	71.195	81.15	38.151	73.206	39.218	24.878	34.425	34.239	52.637	55.994	33.188	31.069	17.122	35.992	42.773	33.602	46.991	64.058	52.616	19.909	38.282	8.178	11.639	24.353	31.339	28.65	54.673	0.624	0.46	0.198	0.248	40.937	66.225	0	0	0	0.059	19.592	10.797	Mef(En2)	protein homolog model	macrolide	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	 99.50	100.00	NA	 402	mef	megahit_6942	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	NA	K08217*	MFS transporter, DHA3 family, macrolide efflux protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	ENOG410XNYE*	Major facilitator superfamily MFS_1	Carbohydrate transport and metabolism	PF05977 [Transmembrane secretion effector];PF07690 [Major Facilitator Superfamily]	macrolide	antibiotic efflux	unknown Bacteroidales (Genus)
human_megahit_7781_5471-6166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092	0	0	0	0	0	0	0	0	0	385.556	0	31.117	0	0.805	0	427.781	0	81.947	0	0.084	0	49.933	0	78.397	0	0.023	0	vanRA	protein homolog model	glycopeptide	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	100.00	100.00	NA	 232	vanRC, vanRE, vanRG	megahit_7781	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	K18349*	two-component system, OmpR family, response regulator VanR	Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	COG0745*	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	Transcription|Signal transduction mechanisms	PF00072 [Response regulator receiver domain];PF00486 [Transcriptional regulatory protein, C terminal]	glycopeptide	antibiotic target alteration	Enterococcus
