genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
human1_D-1_metabat2.153.fa.contigs.fa,1_0,0.020000000000000018,average,ANImf,1
human1_DAS_metabat2_185_fa_contigs-contigs.fa,2_0,0.020000000000000018,average,ANImf,2
human1_DAS_maxbin_122_fasta_contigs-contigs.fa,3_0,0.020000000000000018,average,ANImf,3
human1_DAS_maxbin_133_fasta_contigs-contigs.fa,4_0,0.020000000000000018,average,ANImf,4
human1_DAS_maxbin_139_fasta_contigs-contigs.fa,5_0,0.020000000000000018,average,ANImf,5
human1_DAS_metabat2_197_fa_contigs-contigs.fa,6_1,0.020000000000000018,average,ANImf,6
human1_HC-19_maxbin.038.fasta.contigs.fa,6_1,0.020000000000000018,average,ANImf,6
human1_HC-24_maxbin.032.fasta.contigs.fa,6_1,0.020000000000000018,average,ANImf,6
human1_D-1_maxbin.068.fasta.contigs.fa,7_0,0.020000000000000018,average,ANImf,7
human1_DAS_metabat2_116_fa_contigs-contigs.fa,8_1,0.020000000000000018,average,ANImf,8
human1_HC-19_maxbin.044.fasta.contigs.fa,8_1,0.020000000000000018,average,ANImf,8
human1_DAS_maxbin_105_fasta_contigs-contigs.fa,9_1,0.020000000000000018,average,ANImf,9
human1_HC-17_maxbin.029.fasta.contigs.fa,9_1,0.020000000000000018,average,ANImf,9
human1_DAS_maxbin_094_fasta_contigs-contigs.fa,10_1,0.020000000000000018,average,ANImf,10
human1_HV-23_maxbin.051.fasta.contigs.fa,10_1,0.020000000000000018,average,ANImf,10
human1_HC-18_maxbin.036.fasta.contigs.fa,11_1,0.020000000000000018,average,ANImf,11
human1_HC-24_maxbin.045.fasta.contigs.fa,11_1,0.020000000000000018,average,ANImf,11
human1_DAS_maxbin_171_fasta_contigs-contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_HC-10_maxbin.011.fasta.contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_HC-12_maxbin.038.fasta.contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_HC-13_maxbin.035.fasta.contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_HC-14_maxbin.018.fasta.contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_HC-16_maxbin.029.fasta.contigs.fa,12_1,0.020000000000000018,average,ANImf,12
human1_HC-18_maxbin.025.fasta.contigs.fa,12_1,0.020000000000000018,average,ANImf,12
