user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
maxbin_002_fasta_contigs-contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	GCF_000160755.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	99.09	0.93	GCF_000160755.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	99.09	0.93	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009914335.1, s__Proteus sp003144505, 95.0, 84.3, 0.77; GCF_002777965.1, s__Proteus columbae, 95.0, 84.1, 0.74; GCF_011045815.1, s__Proteus vulgaris_B, 95.0, 84.04, 0.75; GCF_003144535.1, s__Proteus penneri, 95.0, 84.02, 0.72; GCF_011046025.1, s__Proteus sp011046025, 95.836, 83.99, 0.75; GCF_003144495.1, s__Proteus cibarius, 96.5898, 83.92, 0.73; GCF_003144375.1, s__Proteus sp003144375, 95.0, 83.91, 0.72; GCF_001722135.1, s__Proteus sp001722135, 95.0, 83.89, 0.73; GCF_002607735.1, s__Proteus alimentorum, 95.0, 83.89, 0.73; GCF_002206145.2, s__Proteus mirabilis_B, 95.1837, 83.88, 0.74; GCF_008808075.1, s__Proteus sp008808075, 95.0, 83.8, 0.74; GCF_901472505.1, s__Proteus vulgaris, 95.0, 83.79, 0.75; GCF_003144405.1, s__Proteus sp003144405, 95.0, 83.77, 0.72; GCF_014250535.1, s__Proteus sp003144395, 95.0, 83.77, 0.71; GCF_003144325.1, s__Proteus terrae, 96.5898, 83.74, 0.74; GCF_001654965.1, s__Proteus hauseri, 95.0, 83.04, 0.71; GCF_001654855.1, s__Proteus myxofaciens, 95.0, 82.32, 0.63	89.34	11	N/A	N/A
maxbin_003_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	N/A	N/A	N/A	N/A	N/A	GCA_900548355.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900548355	80.54	0.31	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002306375.1, s__Gemmiger sp002306375, 95.0, 82.23, 0.31; GCA_004561545.1, s__Gemmiger sp004561545, 95.0, 80.91, 0.22; GCF_000157955.1, s__Gemmiger variabilis, 95.0, 80.75, 0.32; GCA_900545545.1, s__Gemmiger sp900545545, 95.0, 80.46, 0.27; GCA_003343905.1, s__Gemmiger variabilis_C, 95.0, 80.43, 0.33; GCA_900540595.1, s__Gemmiger sp900540595, 95.0, 79.52, 0.27; GCA_900539695.1, s__Gemmiger sp900539695, 95.0, 79.48, 0.25; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 79.37, 0.27; GCA_900540775.1, s__Gemmiger sp900540775, 95.0, 79.36, 0.25; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 79.3, 0.29; GCF_003324125.1, s__Gemmiger qucibialis, 95.0, 79.04, 0.28; GCA_900772715.1, s__Gemmiger sp900772715, 95.0, 78.99, 0.18; GCA_004552305.1, s__Gemmiger variabilis_A, 95.0, 78.75, 0.2; GCA_900554145.1, s__Gemmiger sp900554145, 95.0, 78.71, 0.21; GCA_900556255.1, s__Gemmiger sp900556255, 95.0, 78.6, 0.16; GCA_004555405.1, s__Gemmiger sp004555405, 95.0, 77.23, 0.11	45.15	11	0.983045686248004	N/A
maxbin_004_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_900232885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Marseille-P4683;s__Marseille-P4683 sp900232885	80.72	0.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	25.79	11	0.8431848780892467	Genome has more than 16.7% of markers with multiple hits
maxbin_006_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_002159505.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp002159505	82.08	0.47	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900553885.1, s__Mediterraneibacter sp900553885, 95.0, 79.99, 0.3; GCF_002161355.1, s__Mediterraneibacter sp002161355, 95.0, 79.64, 0.3; GCA_900555215.1, s__Mediterraneibacter sp900555215, 95.0, 79.44, 0.39; GCF_900761655.1, s__Mediterraneibacter sp900761655, 95.0, 79.37, 0.33; GCF_900751785.1, s__Mediterraneibacter sp900751785, 95.0, 79.23, 0.31; GCF_002160525.1, s__Mediterraneibacter sp002160525, 95.0, 79.16, 0.27; GCF_900120155.1, s__Mediterraneibacter sp900120155, 95.0, 78.7, 0.27; GCA_002314255.1, s__Mediterraneibacter sp002314255, 95.0, 78.69, 0.37; GCF_000155205.1, s__Mediterraneibacter lactaris, 95.0, 78.07, 0.19; GCF_001312505.1, s__Mediterraneibacter faecis, 95.0, 78.02, 0.14; GCF_900752395.1, s__Mediterraneibacter sp900752395, 95.0, 77.97, 0.26; GCF_000153925.1, s__Mediterraneibacter torques, 95.0, 77.78, 0.2; GCA_900541505.1, s__Mediterraneibacter sp900541505, 95.0, 77.69, 0.14; GCF_001487105.1, s__Mediterraneibacter massiliensis, 95.0, 77.43, 0.12; GCF_014287475.1, s__Mediterraneibacter sp014287475, 95.0, 77.09, 0.1	61.64	11	0.9845537962115211	Genome has more than 25.8% of markers with multiple hits
maxbin_007_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	N/A	N/A	N/A	N/A	N/A	GCA_900544445.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900544445	92.05	0.58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900243045.1, s__Eisenbergiella massiliensis, 95.0, 77.65, 0.21; GCA_900555195.1, s__Eisenbergiella sp900555195, 95.0, 77.42, 0.22; GCA_003343625.1, s__Eisenbergiella sp003343625, 95.0, 77.37, 0.12; GCA_900548905.1, s__Eisenbergiella sp900548905, 95.0, 77.37, 0.17; GCF_001881565.1, s__Eisenbergiella tayi, 95.0, 77.36, 0.17; GCF_003478085.1, s__Eisenbergiella sp003478085, 95.0, 77.33, 0.18; GCF_003481005.1, s__Eisenbergiella sp900066775, 95.0, 77.03, 0.08; GCA_900539715.1, s__Eisenbergiella sp900539715, 95.0, 76.8, 0.07; GCA_900550285.1, s__Eisenbergiella sp900550285, 95.0, 76.37, 0.11; GCA_002361095.1, s__Eisenbergiella sp002361095, 95.0, 75.58, 0.05	68.83	11	0.9977908373114226	N/A
maxbin_008_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp002161215	GCF_002161215.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp002161215	95.92	0.75	GCF_002161215.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp002161215	95.92	0.75	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000239295.1, s__Flavonifractor plautii, 95.0, 85.19, 0.63; GCF_000508885.1, s__Flavonifractor sp000508885, 95.0, 84.08, 0.42; GCF_900626285.1, s__Flavonifractor massiliensis_A, 95.0, 83.75, 0.56; GCF_002159455.1, s__Flavonifractor sp002159455, 95.0, 83.71, 0.56; GCF_002159265.1, s__Flavonifractor sp002159265, 95.0, 83.57, 0.58; GCF_002161085.1, s__Flavonifractor sp002161085, 95.0, 82.6, 0.51; GCF_014281125.1, s__Flavonifractor gabonensis, 95.0, 80.28, 0.41; GCF_014287895.1, s__Flavonifractor sp900549795, 95.0, 80.25, 0.5	61.03	11	N/A	N/A
maxbin_009_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	ANI	N/A	GCA_000435395.1, s__Acutalibacter sp000435395, 95.0, 82.83, 0.5; GCA_900543555.1, s__Acutalibacter sp900543555, 95.0, 82.19, 0.45; GCA_900548545.1, s__Acutalibacter sp900548545, 95.0, 80.47, 0.36; GCA_900543305.1, s__Acutalibacter sp900543305, 95.0, 79.58, 0.26; GCA_000432995.1, s__Acutalibacter sp000432995, 95.0, 79.47, 0.37; GCF_900755895.1, s__Acutalibacter sp900755895, 95.0, 79.22, 0.3; GCF_003612555.1, s__Acutalibacter sp003612555, 95.0, 79.04, 0.29; GCF_900759575.1, s__Acutalibacter sp900759575, 95.0, 78.35, 0.21; GCF_009936055.1, s__Acutalibacter sp009936055, 95.0, 78.25, 0.29; GCF_009936035.1, s__Acutalibacter sp009936035, 95.0, 78.17, 0.29; GCF_002201475.1, s__Acutalibacter muris, 95.0, 78.05, 0.25; GCF_009917305.1, s__Acutalibacter muris_A, 95.0, 78.01, 0.21; GCF_009917525.1, s__Acutalibacter sp009917525, 95.0, 77.46, 0.22; GCF_900048895.1, s__Acutalibacter timonensis, 95.0, 77.31, 0.16	56.16	11	0.9283023177664159	N/A
maxbin_010_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	GCF_900142265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	98.03	0.92	GCF_900142265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	98.03	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001304995.1, s__Anaerotignum sp001304995, 95.0, 92.91, 0.91; GCA_004557645.1, s__Anaerotignum sp004557645, 95.0, 79.86, 0.34; GCF_003865035.1, s__Anaerotignum faecicola, 95.0, 78.94, 0.26; GCA_002380805.1, s__Anaerotignum sp002380805, 95.0, 78.42, 0.14; GCF_001561955.1, s__Anaerotignum propionicum, 95.0, 77.77, 0.14; GCA_002299545.1, s__Anaerotignum sp002299545, 95.0, 77.54, 0.12; GCF_001571775.1, s__Anaerotignum neopropionicum, 95.0, 77.54, 0.12; GCA_002316675.1, s__Anaerotignum sp002316675, 95.0, 77.52, 0.11; GCA_009929735.1, s__Anaerotignum sp009929735, 95.0, 77.49, 0.15	93.03	11	N/A	N/A
maxbin_012_fasta_contigs-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp900752335	GCF_900752335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp900752335	98.56	0.81	GCF_900752335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp900752335	98.56	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902406115.1, s__CAG-273 sp902406115, 95.0, 78.54, 0.39; GCA_000435755.1, s__CAG-273 sp000435755, 95.0, 78.41, 0.33; GCA_000438355.1, s__CAG-273 sp000438355, 95.0, 78.37, 0.34; GCA_000437855.1, s__CAG-273 sp000437855, 95.0, 77.93, 0.3; GCA_003507395.1, s__CAG-273 sp003507395, 95.0, 77.84, 0.29; GCA_003534295.1, s__CAG-273 sp003534295, 95.0, 77.83, 0.28; GCF_900752095.1, s__CAG-273 sp900752095, 95.0, 77.67, 0.27	82.47	11	N/A	N/A
maxbin_013_fasta_contigs-contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	GCF_002950215.1	97.0028	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	98.33	0.92	GCF_002949675.1	97.0028	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia dysenteriae	97.4	0.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_000026325.1, s__Escherichia coli_D, 96.9551, 97.54, 0.95; GCF_003697165.2, s__Escherichia coli, 96.8144, 97.12, 0.93; GCA_003018335.1, s__Escherichia coli_C, 96.1333, 96.36, 0.95; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.84, 0.83; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.54, 0.9; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 93.4, 0.9; GCF_000208585.1, s__Escherichia sp000208585, 95.0, 93.35, 0.9; GCF_011881725.1, s__Escherichia coli_E, 95.0, 92.86, 0.86; GCF_001660175.1, s__Escherichia sp001660175, 95.0, 92.4, 0.91; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 91.58, 0.81; GCF_002900365.1, s__Escherichia marmotae, 95.0, 91.55, 0.88; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.85, 0.8	79.95	11	N/A	N/A
