CONTIG_NAME	CALL	CONTIG_LENGTH	MIN_MAX_SCORE	AVG_MAX_SCORE	SYNTENY	DIRECTION	CLADE_A	CLADE_B	LCA	MELDED_A	MELDED_B	TAXONOMY_A	TAXONOMY_B	LOCI	ANNOTATIONS:UNIREF50	ANNOTATIONS:UNIREF90
megahit_100588	lgt	6804	0.8067	0.8142	AB	A?B	g__Clostridium	g__Blautia	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	2425:3936:-|4074:4408:-	UniRef50_UPI00047EF54F|UniRef50_L0F7S3	UniRef90_UPI00047A6881|UniRef90_UPI000423334B
megahit_101259	lgt	2256	0.8487	0.9154	AB	A?B	s__Ruminococcus_sp_5_1_39BFAA	s__Ruminococcus_obeum	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum	574:963:-|1074:1967:-	UniRef50_R5I7N4|UniRef50_R6L8H3	UniRef90_R7D9D4|UniRef90_D4LUM6
megahit_101501	lgt	2769	0.8006	0.9098	AAB	A?B	s__Holdemania_filiformis	s__Eubacterium_hallii	p__Firmicutes	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	1:663:-|679:1599:-|2486:2767:-	UniRef50_R6UBB0|UniRef50_R6TJM8|UniRef50_R6N3P1	UniRef90_B9Y8B6|UniRef90_B9Y8B5|UniRef90_R6FZA4
megahit_101753	lgt	1817	0.8013	0.8784	AB	A?B	s__Roseburia_inulinivorans	s__Roseburia_intestinalis	g__Roseburia	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	1:1170:+|1174:1817:+	UniRef50_R7I675|UniRef50_C4Z0B1	UniRef90_R5HH91|UniRef90_R5HLR7
megahit_102116	lgt	4593	0.8386	0.9107	ABA	B>A	s__Roseburia_inulinivorans	s__Oribacterium_sinus	f__Lachnospiraceae	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sinus	1:396:-|726:2134:-|4145:4593:-	UniRef50_D6E3G0|UniRef50_D4K2B2|UniRef50_C4Z767	UniRef90_D6E3G0|UniRef90_C2L065|UniRef90_C4Z767
megahit_102356	lgt	827	0.9276	0.9623	AB	A?B	s__Dorea_formicigenerans	g__Eubacterium	o__Clostridiales	--	s__Eubacterium_ramulus; s__Eubacterium_rectale	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	1:338:-|461:827:+	UniRef50_A8SE96|UniRef50_C4ZFG4	UniRef90_G1WWU8|UniRef90_E5VMK4
megahit_102431	lgt	5061	0.8349	0.9180	AAB	A?B	f__Lachnospiraceae	f__Ruminococcaceae	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3:218:+|2558:3973:+|4312:4725:+	UniRef50_C4Z411|UniRef50_D4K2B2|UniRef50_R6NU73	UniRef90_UPI0003F6EE4D|UniRef90_D4JB80|UniRef90_R7CKR6
megahit_103275	lgt	3037	0.8116	0.9246	AAB	A?B	s__Eubacterium_rectale	s__Ruminococcus_obeum	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum	1:845:-|1021:2439:-|2798:3037:+	UniRef50_C4Z974|UniRef50_C4Z0Z1|UniRef50_F5XS62	UniRef90_C4Z974|UniRef90_C4Z973|UniRef90_UPI0001FABDB5
megahit_103501	lgt	2413	0.9002	0.9196	ABA	B>A	s__Faecalibacterium_prausnitzii	s__Ruminococcus_sp_JC304	f__Ruminococcaceae	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304	1:1256:-|1317:1901:-|1989:2413:-	UniRef50_R5F9N7|UniRef50_R6ZPX8|UniRef50_C7H7E3	UniRef90_C7HA81|UniRef90_UPI0002EB4DA7|UniRef90_C7H7E3
megahit_104063	lgt	2756	0.8058	0.8933	ABA	B>A	s__Dorea_longicatena	s__Ruminococcus_lactaris	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris	1:212:-|656:2176:-|2441:2756:-	UniRef50_D4LXF7|UniRef50_B5CS81|UniRef50_R5CWR5	UniRef90_C0B6V5|UniRef90_B5CS81|UniRef90_A6BD65
megahit_10415	lgt	16455	0.8117	0.8688	AAB	A?B	s__Eubacterium_rectale	s__Dorea_longicatena	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	1381:1671:+|1668:2162:+|4643:5086:+	UniRef50_R7E811|UniRef50_D6E0C0|UniRef50_E7FNX9	UniRef90_C4Z880|UniRef90_D6E0C0|UniRef90_A6BG44
megahit_104281	lgt	2061	0.8850	0.9118	ABA	B>A	f__Porphyromonadaceae	g__Bacteroides	o__Bacteroidales	g__Coprobacter|s__Coprobacter_fastidiosus; g__Tannerella|s__Tannerella_sp_6_1_58FAA_CT1	s__Bacteroides_caccae; s__Bacteroides_stercoris; s__Bacteroides_vulgatus	r__Root|k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	r__Root|k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1:538:+|607:1299:-|1748:2061:-	UniRef50_unknown|UniRef50_B0NRH6|UniRef50_R7DJ69	UniRef90_unknown|UniRef90_B0NRH6|UniRef90_R7DJ69
megahit_104342	lgt	1766	0.8635	0.9177	AB	A?B	s__Eubacterium_siraeum	f__Lachnospiraceae	o__Clostridiales	--	g__Blautia|s__Blautia_hansenii; g__Blautia|s__Ruminococcus_obeum; g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_6_1_63FAA	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1:569:+|1234:1766:+	UniRef50_D4JSY8|UniRef50_R5NVJ8	UniRef90_D4JSY8|UniRef90_unknown
megahit_104962	lgt	28714	0.8052	0.8665	AAAAB	A?B	s__Clostridium_clostridioforme	s__Ruminococcus_sp_5_1_39BFAA	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	1:866:+|1093:1943:+|2886:4484:-|4456:4845:-|26499:27275:+	UniRef50_N9Y536|UniRef50_A5ZTD6|UniRef50_D4LVD6|UniRef50_R7DBN7|UniRef50_R7IJD2	UniRef90_unknown|UniRef90_N9WVD7|UniRef90_D4LVD6|UniRef90_N9Y528|UniRef90_C6JAQ6
megahit_106337	lgt	1456	0.8905	0.9277	AAB	A?B	s__Dorea_formicigenerans	s__Streptococcus_lutetiensis	p__Firmicutes	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	r__Root|k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis	1:204:+|465:939:+|1039:1339:+	UniRef50_C4Z9N6|UniRef50_R6C9P4|UniRef50_R5JGE2	UniRef90_C4Z9N6|UniRef90_D4LVG3|UniRef90_R5JGE2
megahit_106363	lgt	2080	0.8539	0.8763	AB	A?B	o__Erysipelotrichales	o__Clostridiales	p__Firmicutes	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	14:479:-|497:1803:-	UniRef50_A8R9P7|UniRef50_Q1MP74	UniRef90_A8R9P7|UniRef90_A8R9P5
megahit_107436	lgt	1319	0.8282	0.8600	AB	A?B	s__Desulfovibrio_piger	o__Clostridiales	k__Bacteria	--	f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ATCC_BAA_442; f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii; f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus; f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA; f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3; f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16	r__Root|k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	283:948:+|1026:1319:+	UniRef50_Q895U7|UniRef50_Q9RXT0	UniRef90_B6WQ68|UniRef90_G9YND1
megahit_10777	lgt	1453	0.8038	0.8819	AAB	A?B	s__Clostridium_innocuum	s__Clostridium_difficile	p__Firmicutes	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_difficile	1:316:-|305:610:-|607:1453:+	UniRef50_D6E4B3|UniRef50_K1TR70|UniRef50_E7GTH1	UniRef90_D6E4B3|UniRef90_K1TR70|UniRef90_D6DJ03
megahit_108310	lgt	12689	0.9062	0.9724	ABBBBBBBBB	A?B	s__Anaeroglobus_geminatus	s__Faecalibacterium_prausnitzii	p__Firmicutes	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Anaeroglobus|s__Anaeroglobus_geminatus	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	759:1535:+|2289:3022:-|3032:3820:-|3833:4663:-|4866:6960:-|7248:9170:+|9195:9449:+|10251:10537:-|10534:10965:+|11061:12577:+	UniRef50_R5SKH4|UniRef50_Q8R5T0|UniRef50_F2N728|UniRef50_D4K8Z3|UniRef50_A8S9A5|UniRef50_unknown|UniRef50_R7G3Y3|UniRef50_C7HAE1|UniRef50_D4K951|UniRef50_E2ZJT7	UniRef90_G9YF85|UniRef90_D4K8Z5|UniRef90_D4K8Z4|UniRef90_D4K8Z3|UniRef90_A8S9A5|UniRef90_unknown|UniRef90_D4K8Z0|UniRef90_C7HAE1|UniRef90_D4K7D9|UniRef90_C7H895
megahit_10871	lgt	1383	0.9046	0.9371	ABB	A?B	s__Butyricicoccus_pullicaecorum	s__Faecalibacterium_prausnitzii	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_pullicaecorum	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	20:332:+|391:630:-|615:1049:-	UniRef50_R8W2G3|UniRef50_E2ZLU2|UniRef50_D6DFR7	UniRef90_R8W2G3|UniRef90_E2ZLU2|UniRef90_E2ZLU1
megahit_109506	lgt	25441	0.9259	0.9299	AAB	A?B	s__Subdoligranulum_sp_4_3_54A2FAA	s__Clostridium_saccharolyticum	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_4_3_54A2FAA	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_saccharolyticum	349:668:+|643:1202:+|23449:25419:-	UniRef50_G9RZR1|UniRef50_G9RZR2|UniRef50_D4JZW5	UniRef90_G9RZR1|UniRef90_G9RZR2|UniRef90_D6DI65
megahit_110933	lgt	14416	0.8269	0.8394	AB	A?B	g__Clostridium	s__Oscillibacter_sp_1_3	o__Clostridiales	s__Clostridium_leptum; s__Clostridium_methylpentosum	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	1:993:+|5421:6475:-	UniRef50_U2BKE0|UniRef50_C2BFQ3	UniRef90_U2BKE0|UniRef90_R9M3S8
megahit_111339	lgt	29401	0.8101	0.8362	AB	A?B	s__Faecalibacterium_prausnitzii	s__Clostridium_citroniae	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae	25789:27002:-|28466:29401:+	UniRef50_F5YIA1|UniRef50_J1H3W5	UniRef90_D4JXP3|UniRef90_U5F4I4
megahit_112891	lgt	2300	0.8198	0.9084	AB	A?B	s__Roseburia_inulinivorans	f__Ruminococcaceae	o__Clostridiales	--	g__Faecalibacterium|s__Faecalibacterium_prausnitzii; g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1:1012:-|1431:2300:-	UniRef50_D4L1I5|UniRef50_R7PL54	UniRef90_R5I2P4|UniRef90_A8SH92
megahit_112942	lgt	4421	0.8827	0.9397	AB	A?B	s__Clostridium_citroniae	s__Clostridium_scindens	g__Clostridium	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens	1190:2410:-|3797:4259:+	UniRef50_D4JHU7|UniRef50_A8S096	UniRef90_G5HJ67|UniRef90_A8S096
megahit_113733	lgt	3569	0.8140	0.8297	AB	A?B	s__Ruminococcus_sp_5_1_39BFAA	s__Coprococcus_catus	o__Clostridiales	--	--	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	r__Root|k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	1576:2903:-|3096:3566:-	UniRef50_D4LI31|UniRef50_R6L4C8	UniRef90_C6JHT7|UniRef90_unknown
