genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
human1_concoct_10_refined_2_Bin_9_15_1-contigs.fa,82.34674527154696,92.29,2.83,100.0,3978805,51700,1_0,NA,NA,1,NA,NA,near,low
human1_concoct_10_refined_2_Bin_9_16_1-contigs.fa,80.83208534943371,95.75,4.1,100.0,4294095,83979,2_0,NA,NA,1,NA,NA,near,low
human1_concoct_10_refined_2_Bin_9_18_1-contigs.fa,101.76905803451564,99.33,0.0,0.0,2830866,69221,3_1,NA,NA,2,99.89,99.89,near,none
human1_concoct_10_refined_2_Bin_6_12-contigs.fa,88.54922749733367,87.02,0.0,0.0,2811224,104341,4_0,NA,NA,1,NA,NA,substantial,none
human1_concoct_10_refined_2_Bin_8_2-contigs.fa,67.79266770503882,82.86,3.49,40.0,2894617,8577,5_0,NA,NA,1,NA,NA,substantial,low
human1_concoct_10_refined_2_Bin_1_1-contigs.fa,85.47786499899408,85.35,0.4,0.0,2407172,16458,6_1,NA,NA,2,99.97,99.97,substantial,low
human1_concoct_10_refined_2_Bin_6_7-contigs.fa,96.19801521932018,95.22,0.34,100.0,2899475,43648,7_1,NA,NA,3,99.85,99.76,near,low
human1_concoct_10_refined_2_Bin_2_14_1-contigs.fa,90.8782762284672,88.59,0.02,100.0,2394989,49956,8_1,NA,NA,2,99.90,99.90,substantial,low
human1_concoct_10_refined_2_Bin_2_2_1-contigs.fa,73.53946416748978,77.52,1.36,33.33,2154142,49542,9_1,NA,NA,2,99.87,99.87,substantial,low
human1_concoct_10_refined_2_Bin_9_13_1-contigs.fa,87.82134753441419,85.09,0.0,0.0,1252340,264899,10_1,NA,NA,3,99.99,99.97,substantial,none
human1_HC-24_maxbin.018.fasta.contigs.fa,100.30544173262078,97.58,0.0,0.0,1764014,258548,11_1,NA,NA,24,100.00,99.52,near,none
human1_D-1_maxbin.003.fasta.contigs.fa,101.68432838264016,99.23,0.0,0.0,2351211,74126,12_1,NA,NA,9,99.98,99.90,near,none
human1_concoct_10_refined_2_Bin_6_6-contigs.fa,102.58707285045622,100.0,0.0,0.0,2713585,136340,13_1,NA,NA,17,100.00,99.91,perfect,none
human1_concoct_10_refined_2_Bin_6_1-contigs.fa,102.35481415807432,100.0,0.07,100.0,3334156,171855,14_1,NA,NA,6,99.90,99.61,perfect,low
human1_concoct_10_refined_2_Bin_6_8-contigs.fa,87.84130105623277,93.55,1.69,66.67,3502005,154581,15_0,NA,NA,1,NA,NA,near,low
human1_concoct_10_refined_2_Bin_0_2_1-contigs.fa,101.54112059666772,99.18,0.0,0.0,2611266,48119,16_1,NA,NA,4,100.00,99.99,near,none
human1_HV-10_maxbin.002.fasta.contigs.fa,100.76732633874664,99.23,0.17,0.0,6850823,54405,17_1,NA,NA,29,99.96,99.91,near,low
human1_concoct_10_refined_2_Bin_9_6-contigs.fa,91.97978500998742,89.36,0.0,0.0,2055837,158474,18_1,NA,NA,2,99.98,99.98,substantial,none
human1_concoct_10_refined_2_Bin_7_5_1-contigs.fa,102.79388151691003,100.0,0.0,0.0,3844059,353187,19_1,NA,NA,16,99.99,99.98,perfect,none
human1_concoct_10_refined_2_Bin_9_19_1-contigs.fa,89.88254874122899,94.79,1.62,42.86,4723381,90798,20_1,NA,NA,2,99.92,99.92,near,low
human1_HV-21_maxbin.004.fasta.contigs.fa,100.16928015134452,99.97,0.49,0.0,4880785,181599,21_1,NA,NA,3,99.99,99.96,near,low
human1_HV-1_maxbin.011.fasta.contigs.fa,100.63301352830618,99.37,0.28,0.0,5035364,193732,21_2,NA,NA,16,99.99,99.51,near,low
human1_concoct_10_refined_2_Bin_0_6_1-contigs.fa,93.43510684370906,99.38,1.7,0.0,2332080,117575,22_1,NA,NA,4,100.00,99.99,near,low
human1_HV-10_maxbin.006.fasta.contigs.fa,101.7497783053718,98.95,0.0,0.0,1596790,362801,23_1,NA,NA,18,100.00,99.98,near,none
human1_concoct_10_refined_2_Bin_3_6_1-contigs.fa,99.42986940561796,99.11,0.47,0.0,4008322,199739,24_1,NA,NA,6,99.98,99.95,near,low
human1_concoct_10_refined_2_Bin_3_9-contigs.fa,101.54949056878252,99.3,0.0,0.0,2707485,29576,25_1,NA,NA,3,99.79,99.01,near,none
human1_concoct_10_refined_2_Bin_9_3_1-contigs.fa,99.04842017042972,96.5,0.0,0.0,1859057,114142,26_1,NA,NA,8,99.99,99.93,near,none
human1_concoct_10_refined_2_Bin_9_4_1-contigs.fa,93.0228295724208,97.52,1.42,0.0,1361142,146590,27_1,NA,NA,2,99.98,99.98,near,low
human1_HV-9_maxbin.002.fasta.contigs.fa,90.80577552586922,99.07,2.16,0.0,3205934,107642,28_1,NA,NA,4,99.99,99.97,near,low
human1_HV-15_maxbin.007.fasta.contigs.fa,101.67737237405622,99.99,0.19,0.0,2495155,171782,29_1,NA,NA,4,99.99,99.99,near,low
human1_concoct_10_refined_2_Bin_3_10_1-contigs.fa,98.26043545520848,96.23,0.13,100.0,3224435,115067,30_1,NA,NA,2,100.00,100.00,near,low
human1_concoct_10_refined_2_Bin_3_5_1-contigs.fa,100.87421806220166,100.0,0.13,100.0,2500074,56032,31_0,NA,NA,1,NA,NA,perfect,low
human1_concoct_10_refined_2_Bin_9_9_1-contigs.fa,102.05733373578228,99.63,0.0,0.0,2862786,65324,32_1,NA,NA,15,99.99,99.95,near,none
human1_HC-8_maxbin.002.fasta.contigs.fa,101.953006368522,99.25,0.0,0.0,3512043,232429,33_1,NA,NA,25,100.00,99.95,near,none
human1_HV-21_maxbin.005.fasta.contigs.fa,101.9244199448818,99.63,0.0,0.0,2396292,35396,34_1,NA,NA,7,100.00,99.99,near,none
human1_HC-22_maxbin.008.fasta.contigs.fa,98.33401868256745,99.63,0.75,0.0,2936457,73851,35_1,NA,NA,22,100.00,99.95,near,low
human1_concoct_10_refined_2_Bin_9_20_1-contigs.fa,92.72165199722446,95.97,1.28,75.0,3203881,22632,36_1,NA,NA,2,99.43,99.43,near,low
human1_concoct_10_refined_2_Bin_9_17-contigs.fa,93.8509291826685,95.64,0.67,0.0,2334237,120742,37_0,NA,NA,1,NA,NA,near,low
human1_concoct_10_refined_2_Bin_9_8_1-contigs.fa,93.92608174826746,97.99,1.34,20.0,2648460,49931,38_1,NA,NA,9,99.91,99.81,near,low
human1_HV-11_maxbin.026.fasta.contigs.fa,96.11626130121228,93.96,0.0,0.0,2359738,18820,39_1,NA,NA,19,99.96,99.78,near,none
human1_concoct_10_refined_2_Bin_2_21-contigs.fa,96.4783107810912,95.19,0.0,0.0,2688401,34405,40_0,NA,NA,1,NA,NA,near,none
human1_concoct_10_refined_2_Bin_9_23_1-contigs.fa,91.1775823743148,89.93,0.0,0.0,2235353,28521,41_0,NA,NA,1,NA,NA,substantial,none
human1_HC-7_maxbin.014.fasta.contigs.fa,101.13520280358053,98.63,0.0,0.0,2697314,93496,42_1,NA,NA,32,99.99,99.93,near,none
human1_HV-17_maxbin.018.fasta.contigs.fa,98.50869745464824,95.92,0.0,0.0,2969963,137925,43_1,NA,NA,7,99.91,99.84,near,none
human1_concoct_10_refined_2_Bin_6_9_1-contigs.fa,85.66418008474832,90.36,1.36,0.0,2689357,14795,44_1,NA,NA,3,99.92,99.90,near,low
human1_HV-11_maxbin.007.fasta.contigs.fa,102.58163309852092,100.0,0.0,0.0,2685467,133141,45_1,NA,NA,41,99.99,99.79,perfect,none
human1_D-1_maxbin.051.fasta.contigs.fa,59.393198164636985,83.12,5.45,41.18,2260255,32944,46_0,NA,NA,1,NA,NA,substantial,medium
human1_concoct_10_refined_2_Bin_9_24_1-contigs.fa,70.62716870906645,88.03,4.09,42.86,2631745,35350,47_0,NA,NA,1,NA,NA,substantial,low
human1_concoct_10_refined_2_Bin_0_5_1-contigs.fa,39.41268098310758,83.89,10.26,50.0,3351680,221494,48_0,NA,NA,1,NA,NA,substantial,high
human1_concoct_10_refined_2_Bin_2_4-contigs.fa,90.01073187285705,92.92,0.89,0.0,2305640,110018,49_0,NA,NA,1,NA,NA,near,low
human1_concoct_10_refined_2_Bin_9_7_1-contigs.fa,97.43073170118336,95.73,0.0,0.0,1433698,229860,50_0,NA,NA,1,NA,NA,near,none
human1_concoct_10_refined_2_Bin_7_1-contigs.fa,99.04872706398832,98.8,0.27,50.0,1737122,77171,51_0,NA,NA,1,NA,NA,near,low
human1_D-1_maxbin.017.fasta.contigs.fa,97.90351967020962,96.98,0.34,0.0,1916913,161100,52_1,NA,NA,2,100.00,100.00,near,low
human1_HC-23_maxbin.004.fasta.contigs.fa,96.97675964231966,99.33,1.01,0.0,2114270,225889,53_1,NA,NA,12,99.99,99.96,near,low
human1_concoct_10_refined_2_Bin_5_5-contigs.fa,93.84263076225876,97.99,1.34,0.0,3128887,116356,54_1,NA,NA,14,99.99,99.96,near,low
human1_concoct_10_refined_2_Bin_3_1_1-contigs.fa,77.85523094662308,76.99,0.0,0.0,2330504,4903,55_0,NA,NA,1,NA,NA,substantial,none
human1_concoct_10_refined_2_Bin_4_11_1-contigs.fa,95.4805535157459,97.32,0.67,0.0,2497353,95743,56_0,NA,NA,1,NA,NA,near,low
human1_HV-21_maxbin.006.fasta.contigs.fa,98.77397774635044,96.11,0.0,0.0,1400379,194114,57_1,NA,NA,17,100.00,99.98,near,none
human1_concoct_10_refined_2_Bin_7_2-contigs.fa,97.09892275295093,97.78,0.63,0.0,1908454,79219,58_1,NA,NA,3,99.95,99.95,near,low
human1_concoct_10_refined_2_Bin_6_14-contigs.fa,96.0682116957404,96.11,0.63,100.0,1566262,82543,59_1,NA,NA,18,100.00,99.97,near,low
human1_concoct_10_refined_2_Bin_6_2-contigs.fa,99.54672469257636,96.95,0.0,0.0,1573965,142676,60_1,NA,NA,3,99.96,99.95,near,none
human1_concoct_10_refined_2_Bin_6_3-contigs.fa,101.5647359178885,98.87,0.0,0.0,3177433,223877,61_1,NA,NA,15,99.99,99.95,near,none
human1_D-1_maxbin.002.fasta.contigs.fa,90.9564171151151,95.15,1.4,27.27,4200180,64553,62_1,NA,NA,2,99.97,99.97,near,low
human1_HC-6_maxbin.009.fasta.contigs.fa,98.9429105075109,97.2,0.17,0.0,6645575,140088,63_1,NA,NA,16,99.99,99.93,near,low
human1_HV-19_maxbin.003.fasta.contigs.fa,97.561125839356,98.51,0.7,0.0,4678793,115734,64_1,NA,NA,22,100.00,99.70,near,low
human1_HV-10_maxbin.005.fasta.contigs.fa,95.1010412324666,96.84,0.87,25.0,4020995,56031,65_1,NA,NA,8,99.98,99.90,near,low
human1_HC-14_maxbin.012.fasta.contigs.fa,75.88109524737926,85.68,2.74,60.0,5387899,29983,66_1,NA,NA,3,99.92,99.82,substantial,low
human1_concoct_10_refined_2_Bin_5_4-contigs.fa,83.00357751373852,94.59,3.25,78.95,4557385,14560,66_2,NA,NA,9,99.85,98.53,near,low
human1_concoct_10_refined_2_Bin_0_1_1-contigs.fa,101.92967505578194,99.42,0.0,0.0,4997430,95529,67_1,NA,NA,6,99.99,99.93,near,none
human1_concoct_10_refined_2_Bin_9_12_1-contigs.fa,99.64879719500468,99.62,0.51,0.0,4771357,131412,68_1,NA,NA,17,99.98,99.87,near,low
human1_HC-15_maxbin.016.fasta.contigs.fa,88.7971860527283,89.15,0.56,0.0,4876733,71973,69_1,NA,NA,5,99.94,99.78,substantial,low
human1_concoct_10_refined_2_Bin_6_10-contigs.fa,76.25088474937138,89.8,3.55,83.33,5748086,27883,69_2,NA,NA,1,NA,NA,substantial,low
