genome,cluster,score
chicken1_concoct_20_refined_2_Bin_3_1-contigs.fa,1_1,91.79414116454745
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,2_1,78.43149280093792
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,3_0,69.88425440382825
chicken1_D43_maxbin.043.fasta.contigs.fa,4_0,35.48189791635426
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,5_0,63.229751692363976
chicken1_D43_maxbin.028.fasta.contigs.fa,6_0,89.34028002561269
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,7_0,65.47681529008223
chicken1_concoct_20_refined_2_Bin_15_3-contigs.fa,8_0,90.53869235084237
chicken1_concoct_20_refined_2_Bin_6_20_1-contigs.fa,9_0,83.81182309324242
chicken1_D43_maxbin.107.fasta.contigs.fa,10_0,8.414610822651564
chicken1_concoct_20_refined_2_Bin_12_4_1-contigs.fa,11_0,79.87133842676575
chicken1_concoct_20_refined_2_Bin_0_1-contigs.fa,12_1,81.16635879368408
chicken1_concoct_20_refined_2_Bin_0_12-contigs.fa,13_0,73.8135311762772
chicken1_D34_maxbin.024.fasta.contigs.fa,14_1,99.65678750595448
chicken1_D43_maxbin.057.fasta.contigs.fa,15_0,62.42733963777255
chicken1_concoct_20_refined_2_Bin_1_1-contigs.fa,16_0,91.16707348855302
chicken1_concoct_20_refined_2_Bin_9_10_1-contigs.fa,17_0,96.95259577030342
chicken1_D43_maxbin.153.fasta.contigs.fa,18_0,66.93561125774511
chicken1_concoct_20_refined_2_Bin_6_13-contigs.fa,19_0,95.62794450358903
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,20_0,98.436034835151
chicken1_D43_maxbin.033.fasta.contigs.fa,21_1,92.10253778895044
chicken1_concoct_20_refined_2_Bin_17_3-contigs.fa,22_1,101.0451640740617
chicken1_concoct_20_refined_2_Bin_6_21_1-contigs.fa,23_0,96.14266436570264
chicken1_D34_maxbin.025.fasta.contigs.fa,24_1,88.47589640354448
chicken1_D43_maxbin.021.fasta.contigs.fa,25_0,95.54242359112682
chicken1_concoct_20_refined_2_Bin_0_4-contigs.fa,26_0,80.04332553854444
chicken1_D39_maxbin.002.fasta.contigs.fa,27_1,98.64242939483258
chicken1_D43_maxbin.048.fasta.contigs.fa,28_0,78.0812321579978
chicken1_D43_maxbin.032.fasta.contigs.fa,29_0,87.26316356445462
chicken1_concoct_20_refined_2_Bin_11_13-contigs.fa,30_0,92.90755739270207
chicken1_concoct_20_refined_2_Bin_6_22-contigs.fa,31_0,87.62451672610376
chicken1_D18_maxbin.005.fasta.contigs.fa,32_1,92.23755541025301
chicken1_concoct_20_refined_2_Bin_7_5_1-contigs.fa,33_1,93.59895387774131
chicken1_D21_maxbin.013.fasta.contigs.fa,34_1,94.87645256175128
chicken1_concoct_20_refined_2_Bin_17_1_1-contigs.fa,35_0,89.27288292209253
chicken1_D39_maxbin.006.fasta.contigs.fa,36_1,82.66796938379605
chicken1_concoct_20_refined_2_Bin_0_13_1-contigs.fa,37_0,42.60903943096873
chicken1_D9_maxbin.006.fasta.contigs.fa,38_1,102.7440653263674
chicken1_D14_maxbin.003.fasta.contigs.fa,39_1,101.25748838063697
chicken1_concoct_20_refined_2_Bin_5_4_1-contigs.fa,40_1,98.94727647572118
