bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
maxbin_002_fasta_contigs	3814813	40	219559	38.807703767321925	95.77464788732394	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis
maxbin_003_fasta_contigs	1841718	98	48209	57.84430694236485	64.78873239436619	2.816901408450704	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger sp900548355
maxbin_004_fasta_contigs	1514456	108	47857	55.23712879427332	53.521126760563384	25.35211267605634	Bacteria	Firmicutes	Clostridia				
maxbin_006_fasta_contigs	3791763	295	24520	45.30101691389187	88.73239436619718	22.535211267605632	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter sp002159505
maxbin_007_fasta_contigs	4867209	1047	5939	52.05816291530526	83.09859154929578	11.267605633802816	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella sp900544445
maxbin_008_fasta_contigs	2589054	343	11944	63.258771422052796	64.78873239436619	7.042253521126761	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor sp002161215
maxbin_009_fasta_contigs	2361992	240	15682	58.47067507218742	59.15492957746479	2.816901408450704	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
maxbin_010_fasta_contigs	2169643	125	27165	44.98966107408607	92.95774647887323	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum lactatifermentans
maxbin_012_fasta_contigs	1331068	48	54723	31.049391020665457	85.91549295774648	1.408450704225352	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp900752335
maxbin_013_fasta_contigs	2932110	219	20613	51.657671372372995	88.73239436619718	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
