Gene_1	Gene_2	Identity	end_match	full_length_match	direction
C-1_maxbin.001.fasta.contigs_00035	D38_maxbin.004.fasta.contigs_01451	100.0	no	no	C-1_maxbin.001.fasta.contigs-->D38_maxbin.004.fasta.contigs
C-1_maxbin.001.fasta.contigs_00036	D38_maxbin.004.fasta.contigs_01450	100.0	no	no	C-1_maxbin.001.fasta.contigs-->D38_maxbin.004.fasta.contigs
C-1_maxbin.001.fasta.contigs_00937	D38_maxbin.011.fasta.contigs_03332	97.115	no	no	C-1_maxbin.001.fasta.contigs-->D38_maxbin.011.fasta.contigs
C-1_maxbin.001.fasta.contigs_01135	D43_maxbin.005.fasta.contigs_01714	99.257	no	no	D43_maxbin.005.fasta.contigs-->C-1_maxbin.001.fasta.contigs
C-1_maxbin.001.fasta.contigs_01136	D43_maxbin.005.fasta.contigs_01715	99.415	no	no	C-1_maxbin.001.fasta.contigs-->D43_maxbin.005.fasta.contigs
C-1_maxbin.001.fasta.contigs_01137	D43_maxbin.005.fasta.contigs_01716	99.749	no	no	C-1_maxbin.001.fasta.contigs-->D43_maxbin.005.fasta.contigs
C-1_maxbin.001.fasta.contigs_01141	D43_maxbin.005.fasta.contigs_01720	99.373	no	no	C-1_maxbin.001.fasta.contigs-->D43_maxbin.005.fasta.contigs
C-1_maxbin.001.fasta.contigs_01445	D43_maxbin.005.fasta.contigs_00200	99.575	no	no	D43_maxbin.005.fasta.contigs-->C-1_maxbin.001.fasta.contigs
C-1_maxbin.001.fasta.contigs_01877	D43_maxbin.005.fasta.contigs_00721	99.419	no	no	D43_maxbin.005.fasta.contigs-->C-1_maxbin.001.fasta.contigs
C-1_maxbin.001.fasta.contigs_01883	D43_maxbin.005.fasta.contigs_00715	99.351	no	no	D43_maxbin.005.fasta.contigs-->C-1_maxbin.001.fasta.contigs
C-1_maxbin.004.fasta.contigs_02765	D43_maxbin.046.fasta.contigs_00722	96.528	no	no	C-1_maxbin.004.fasta.contigs-->D43_maxbin.046.fasta.contigs
C-1_maxbin.005.fasta.contigs_00490	D43_maxbin.007.fasta.contigs_02086	81.384	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.007.fasta.contigs
C-1_maxbin.005.fasta.contigs_00649	D43_maxbin.062.fasta.contigs_02901	93.857	no	no	D43_maxbin.062.fasta.contigs-->C-1_maxbin.005.fasta.contigs
C-1_maxbin.005.fasta.contigs_00787	C-1_maxbin.030.fasta.contigs_04011	82.832	no	no	C-1_maxbin.005.fasta.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.005.fasta.contigs_00788	C-1_maxbin.030.fasta.contigs_04009	90.431	no	no	C-1_maxbin.005.fasta.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.005.fasta.contigs_00790	C-1_maxbin.030.fasta.contigs_04007	82.5	no	no	C-1_maxbin.005.fasta.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.005.fasta.contigs_00791	C-1_maxbin.030.fasta.contigs_04006	79.626	no	no	C-1_maxbin.005.fasta.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.005.fasta.contigs_00874	C-1_maxbin.041.fasta.contigs_01097	92.441	no	no	C-1_maxbin.005.fasta.contigs-->C-1_maxbin.041.fasta.contigs
C-1_maxbin.005.fasta.contigs_00909	C-1_metabat2.79.fa.contigs_01998	79.971	no	no	C-1_maxbin.005.fasta.contigs-->C-1_metabat2.79.fa.contigs
C-1_maxbin.005.fasta.contigs_00948	D43_maxbin.047.fasta.contigs_00920	83.333	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.047.fasta.contigs
C-1_maxbin.005.fasta.contigs_00979	D43_maxbin.145.fasta.contigs_01169	88.889	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.145.fasta.contigs
C-1_maxbin.005.fasta.contigs_01173	D43_maxbin.007.fasta.contigs_01732	81.115	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.007.fasta.contigs
C-1_maxbin.005.fasta.contigs_01467	D43_maxbin.062.fasta.contigs_03188	99.068	no	no	D43_maxbin.062.fasta.contigs-->C-1_maxbin.005.fasta.contigs
