Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
human1_DAS_maxbin_002_fasta_contigs-contigs.fa,o__Bacteroidales (UID2657),160,491,268,88.59,0.0,0.0,3373122,51205,2765,2765,65526,450,373,355,2257,2128,39.5,5.01,-100.0,-1,-1,58,433,0,0,0,0
human1_DAS_maxbin_004_fasta_contigs-contigs.fa,o__Clostridiales (UID1212),172,263,149,83.22,4.03,5.0,2078616,33268,1977,1977,155262,379,311,294,2737,2544,38.8,6.01,-100.0,-1,-1,33,210,20,0,0,0
human1_DAS_maxbin_005_fasta_contigs-contigs.fa,o__Clostridiales (UID1212),172,261,147,92.94,45.03,53.12,3887172,39472,3921,3921,22282,364,290,280,2957,2847,36.6,6.7,-100.0,-1,-1,26,139,96,0,0,0
human1_DAS_maxbin_006_fasta_contigs-contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,51.62,1.88,21.43,2170300,31506,2371,2371,13284,348,269,256,2726,2496,39.3,5.42,-100.0,-1,-1,221,185,14,0,0,0
human1_DAS_maxbin_008_fasta_contigs-contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,94.2,1.83,0.0,2596485,35456,2456,2456,117427,379,317,303,2708,2510,39.1,6.13,-100.0,-1,-1,45,368,7,0,0,0
human1_DAS_maxbin_009_fasta_contigs-contigs.fa,o__Clostridiales (UID1212),172,263,149,95.97,3.94,36.36,2676589,36171,2788,2788,14386,363,290,277,2181,2069,40.3,5.75,-100.0,-1,-1,9,245,8,1,0,0
human1_DAS_maxbin_010_fasta_contigs-contigs.fa,g__Bacteroides (UID2691),33,839,309,97.97,1.14,50.0,6840287,111963,5586,5586,59075,465,372,352,2010,1890,38.9,4.72,-100.0,-1,-1,26,795,18,0,0,0
human1_DAS_maxbin_011_fasta_contigs-contigs.fa,o__Clostridiales (UID1212),172,263,149,93.62,1.34,0.0,2278970,31979,2260,2260,108475,377,297,283,1758,1662,39.3,7.05,-100.0,-1,-1,12,248,3,0,0,0
human1_DAS_maxbin_012_fasta_contigs-contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,71.72,1.69,0.0,3312280,43729,3199,3200,41228,389,307,294,2971,2799,39.1,5.82,-100.0,-1,-1,113,303,4,0,0,0
human1_DAS_maxbin_013_fasta_contigs-contigs.fa,o__Clostridiales (UID1212),172,261,147,84.43,5.9,72.73,2792382,30222,2821,2821,26004,374,288,277,2396,2272,36.4,7.14,-100.0,-1,-1,49,201,11,0,0,0
human1_DAS_maxbin_014_fasta_contigs-contigs.fa,o__Bacteroidales (UID2657),160,492,269,96.27,1.43,60.0,4003023,60609,3516,3517,47157,420,338,321,2263,2136,38.9,4.79,-100.0,-1,-1,26,461,5,0,0,0
human1_DAS_maxbin_015_fasta_contigs-contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,37.21,6.43,4.0,1751379,22418,1789,1789,73857,367,286,273,2562,2422,39.0,6.99,-100.0,-1,-1,202,127,25,0,0,0
human1_DAS_maxbin_017_fasta_contigs-contigs.fa,o__Bacteroidales (UID2657),160,492,269,97.35,2.32,20.0,4408022,65990,3666,3666,103123,440,364,346,1962,1873,39.1,5.05,-100.0,-1,-1,8,474,10,0,0,0
human1_DAS_maxbin_018_fasta_contigs-contigs.fa,k__Bacteria (UID203),5449,103,57,92.82,23.32,31.25,4323842,55844,4556,4556,21712,362,278,266,2368,2211,39.6,5.56,-100.0,-1,-1,6,74,20,2,1,0
human1_DAS_maxbin_019_fasta_contigs-contigs.fa,o__Clostridiales (UID1226),155,278,158,89.76,3.5,66.67,3902312,50592,3844,3844,11460,371,292,279,2995,2853,40.0,6.97,-100.0,-1,-1,49,212,12,5,0,0
human1_DAS_maxbin_020_fasta_contigs-contigs.fa,o__Bacteroidales (UID2654),163,486,266,94.41,4.38,62.5,4737411,73258,4279,4279,14081,422,331,314,2184,2062,39.4,4.47,-100.0,-1,-1,38,424,24,0,0,0
