ORF_ID	ORF	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description
0000000034	megahit_117_1617-2000	PF00903.20	62.7	2.1e-17	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
0000000048	megahit_137_1282-2034	K11068_1278_95_625	190.2	1.7e-56	hlyIII	-	KEGG	hemolysin III
0000000068	megahit_170_64-381	PF01325.14	40.5	1.2e-10	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain
0000000068	megahit_170_64-381	PF02742.10	45.3	3.3e-12	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000000175	megahit_364_413-814	PF07883.6	53	1.1e-14	Cupin_2	-	PFAM	Cupin domain
0000000189	megahit_374_4025-4759	PF13950.1	101.9	8.2e-30	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000000257	megahit_439_1295-2875	K10815_8	130.4	3.3e-38	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]
0000000259	megahit_439_3194-4330	K10816_8	81.7	2.1e-23	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]
0000000321	megahit_500_3-1499	PF00873.14	585.7	8.3e-176	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000000330	megahit_523_6717-7568	K11062_2	57.1	5.7e-16	entD	-	KEGG	probable enterotoxin D
0000000368	megahit_559_164-682	PF00881.19	83.1	1.2e-23	Nitroreductase	-	PFAM	Nitroreductase family
0000000491	megahit_641_1747-1962	PF14057.1	136.6	5.3e-40	GGGtGRT	-	PFAM	GGGtGRT protein
0000000526	megahit_682_364-1449	K01186_172	44.4	6.3e-12	NEU1	-	KEGG	Sialidase-1
0000000527	megahit_682_1484-2647	K01186_172	85.4	2.2e-24	NEU1	-	KEGG	Sialidase-1
0000000578	megahit_730_691-981	PF01909.18	49.7	2.3e-13	NTP_transf_2	-	PFAM	Nucleotidyltransferase domain
0000000591	megahit_737_932-2275	K03699_483	511.7	6.7e-154	tlyC	-	KEGG	putative hemolysin
0000000601	megahit_753_2682-3302	PF06958.7	54.2	1.3e-14	Pyocin_S	-	PFAM	S-type Pyocin
0000000630	megahit_766_13992-14597	PF00717.18	40.6	9.5e-11	Peptidase_S24	-	PFAM	Peptidase S24-like
0000000894	megahit_1018_976-1242	K11060_3	45.7	1.9e-12	entB	-	KEGG	probable enterotoxin B
0000000991	megahit_1102_7688-8386	PF02742.10	54.7	3.7e-15	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
