bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Bin_0_1	5334387	129	87492	44.946952637758	98.59154929577464	1.408450704225352	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			
Bin_0_2	2723567	133	42321	45.49468085713398	98.59154929577464	0.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei
Bin_0_3	1987697	31	112937	44.33906923419181	88.73239436619718	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	CAG-180 sp000432435
Bin_0_4	3249334	81	70809	43.91381717605161	85.91549295774648	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius
Bin_0_5	3694694	23	221494	59.46888552899422	81.69014084507042	9.859154929577464	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
Bin_0_6	2456326	34	117575	43.75818887211737	100.0	1.408450704225352	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	
Bin_0_7	2418895	42	171782	34.662572456650395	98.59154929577464	0.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
Bin_0_8	3360657	87	106633	43.44017104594889	100.0	2.816901408450704	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	
Bin_0_9	2381531	141	31246	37.27439551094722	69.01408450704226	0.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
Bin_1_1	2407172	230	16458	55.88614481811253	91.54929577464789	1.408450704225352	Bacteria	Firmicutes	Clostridia	Christensenellales	CAG-74	SFFH01	SFFH01 sp900548125
Bin_1_5	1205339	559	2091	39.54326288710745	60.563380281690144	8.450704225352112	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	
Bin_2_1	3002004	257	19889	41.28010186093641	60.563380281690144	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	
Bin_2_10	2703888	236	19986	42.198854476629954	50.70422535211268	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium ramulus
Bin_2_11	2415102	64	89343	43.00521517125211	84.50704225352112	2.816901408450704	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp900066555
