genome,cluster,score
chicken1_DAS_maxbin_304_fasta_contigs-contigs.fa,1_1,91.79414116454745
chicken1_concoct_20_refined_2_Bin_9_2-contigs.fa,2_1,65.87266728612234
chicken1_concoct_20_refined_2_Bin_4_3_1-contigs.fa,3_1,67.79713623392476
chicken1_DAS_maxbin_255_fasta_contigs-contigs.fa,4_0,57.16171101890111
chicken1_DAS_maxbin_310_fasta_contigs-contigs.fa,5_0,78.11107435390542
chicken1_concoct_20_refined_2_Bin_9_6_1-contigs.fa,6_0,44.57008506320214
chicken1_DAS_metabat2_158_fa_contigs-contigs.fa,7_1,89.70655449060173
chicken1_concoct_20_refined_2_Bin_4_6-contigs.fa,8_1,87.14873119806997
chicken1_DAS_maxbin_227_fasta_contigs-contigs.fa,9_0,2.5978601882745638
chicken1_DAS_maxbin_280_fasta_contigs-contigs.fa,10_0,88.60643797631455
chicken1_concoct_20_refined_2_Bin_14_3-contigs.fa,11_1,86.18638247304483
chicken1_concoct_20_refined_2_Bin_7_6_1-contigs.fa,12_1,99.63631168062464
chicken1_DAS_maxbin_053_fasta_contigs-contigs.fa,13_1,96.9360291974445
chicken1_DAS_maxbin_079_fasta_contigs-contigs.fa,14_1,97.54355000469468
chicken1_DAS_maxbin_070_fasta_contigs-contigs.fa,15_1,102.5762546300953
chicken1_concoct_20_refined_2_Bin_14_8-contigs.fa,16_1,96.2330601205841
chicken1_concoct_20_refined_2_Bin_4_2_1-contigs.fa,17_1,84.31845522983396
chicken1_concoct_20_refined_2_Bin_8_1_1-contigs.fa,18_1,98.27016884179453
chicken1_concoct_20_refined_2_Bin_8_2_1-contigs.fa,19_1,85.29349562473742
chicken1_concoct_20_refined_2_Bin_18_5_1-contigs.fa,20_1,78.20714945042936
chicken1_DAS_maxbin_127_fasta_contigs-contigs.fa,21_1,91.16310380737433
chicken1_concoct_20_refined_2_Bin_14_1-contigs.fa,22_1,75.26854944324297
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,23_1,78.43347850093792
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,24_0,69.88425440382825
chicken1_concoct_20_refined_2_Bin_9_13_1-contigs.fa,25_1,91.09396730721119
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,26_1,66.47681529008223
chicken1_DAS_maxbin_270_fasta_contigs-contigs.fa,27_0,-7.10781909254855
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,28_0,63.229751692363976
chicken1_concoct_20_refined_2_Bin_10_3-contigs.fa,29_1,82.8640922540367
chicken1_concoct_20_refined_2_Bin_13_8-contigs.fa,30_1,82.7217839238094
chicken1_concoct_20_refined_2_Bin_16_1-contigs.fa,31_0,75.1751184719554
chicken1_concoct_20_refined_2_Bin_7_4_1-contigs.fa,32_0,87.10493254642097
chicken1_DAS_maxbin_318_fasta_contigs-contigs.fa,33_1,92.76564769794832
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,34_1,99.435806935151
chicken1_concoct_20_refined_2_Bin_5_6-contigs.fa,35_0,91.51960415109289
chicken1_DAS_maxbin_165_fasta_contigs-contigs.fa,36_1,97.65045379166752
chicken1_DAS_maxbin_073_fasta_contigs-contigs.fa,37_0,85.41688079174955
chicken1_concoct_20_refined_2_Bin_7_9_1-contigs.fa,38_1,93.80207635358565
chicken1_concoct_20_refined_2_Bin_7_12-contigs.fa,39_1,92.41339212104013
chicken1_DAS_maxbin_010_fasta_contigs-contigs.fa,40_1,94.88700485468487
chicken1_concoct_20_refined_2_Bin_9_7-contigs.fa,41_0,86.0973456341911
chicken1_DAS_maxbin_143_fasta_contigs-contigs.fa,42_1,84.67324720769336
chicken1_concoct_20_refined_2_Bin_15_4-contigs.fa,43_1,96.95113877346384
chicken1_concoct_20_refined_2_Bin_7_5_1-contigs.fa,44_1,93.5999758777413
chicken1_DAS_maxbin_077_fasta_contigs-contigs.fa,45_0,4.0944435326087625
chicken1_DAS_maxbin_256_fasta_contigs-contigs.fa,46_1,93.48455792209252
chicken1_concoct_20_refined_2_Bin_8_4_1-contigs.fa,47_1,65.05721251439851
chicken1_DAS_maxbin_074_fasta_sub_contigs-contigs.fa,48_0,46.35200174016579
chicken1_DAS_maxbin_196_fasta_contigs-contigs.fa,49_0,69.90893135786312
chicken1_DAS_maxbin_252_fasta_contigs-contigs.fa,50_0,73.70579156485812
chicken1_concoct_20_refined_2_Bin_0_4-contigs.fa,51_0,80.04332553854444
chicken1_DAS_maxbin_291_fasta_contigs-contigs.fa,52_0,85.60945528858778
chicken1_concoct_20_refined_2_Bin_6_16_1-contigs.fa,53_1,90.50132671036745
chicken1_concoct_20_refined_2_Bin_6_22-contigs.fa,54_0,87.62451672610376
chicken1_concoct_20_refined_2_Bin_17_5_1-contigs.fa,55_1,81.02608282498905
chicken1_concoct_20_refined_2_Bin_0_13_1-contigs.fa,56_0,42.60903943096873
chicken1_concoct_20_refined_2_Bin_11_13-contigs.fa,57_1,93.90755739270207
chicken1_DAS_maxbin_181_fasta_contigs-contigs.fa,58_1,84.45508600417837
chicken1_concoct_20_refined_2_Bin_7_14-contigs.fa,59_1,83.95572605783292
chicken1_DAS_maxbin_128_fasta_contigs-contigs.fa,60_1,86.42182309324242
chicken1_concoct_20_refined_2_Bin_6_9_1-contigs.fa,61_1,93.07361876030788
chicken1_concoct_20_refined_2_Bin_15_3-contigs.fa,62_1,91.53867441084238
chicken1_concoct_20_refined_2_Bin_6_12-contigs.fa,63_1,73.67765015491204
chicken1_DAS_maxbin_241_fasta_contigs-contigs.fa,64_0,78.80633946976727
chicken1_DAS_maxbin_247_fasta_contigs-contigs.fa,65_0,15.973226132747858
chicken1_DAS_maxbin_282_fasta_contigs-contigs.fa,66_0,14.59401072131453
chicken1_concoct_20_refined_2_Bin_16_6-contigs.fa,67_0,48.62289857160192
chicken1_DAS_maxbin_090_fasta_contigs-contigs.fa,68_1,85.52871743787979
chicken1_DAS_maxbin_024_fasta_contigs-contigs.fa,69_1,67.06529915660565
chicken1_concoct_20_refined_2_Bin_16_4-contigs.fa,70_1,84.7777764480097
chicken1_concoct_20_refined_2_Bin_7_1-contigs.fa,71_1,78.6691693259721
chicken1_concoct_20_refined_2_Bin_18_2-contigs.fa,72_1,76.1100759741097
chicken1_concoct_20_refined_2_Bin_13_1-contigs.fa,73_0,41.77065120021325
chicken1_concoct_20_refined_2_Bin_6_11-contigs.fa,74_0,90.20306732776285
chicken1_concoct_20_refined_2_Bin_6_27-contigs.fa,75_0,85.40068947492053
chicken1_DAS_maxbin_141_fasta_contigs-contigs.fa,76_0,93.14280447811488
chicken1_concoct_20_refined_2_Bin_6_19_1-contigs.fa,77_0,71.84756630042149
chicken1_concoct_20_refined_2_Bin_7_2-contigs.fa,78_1,81.1002606280352
chicken1_DAS_maxbin_096_fasta_contigs-contigs.fa,79_1,97.86844984483244
chicken1_concoct_20_refined_2_Bin_6_26-contigs.fa,80_1,66.52309042383979
chicken1_concoct_20_refined_2_Bin_5_5_1-contigs.fa,81_1,80.75495262298898
chicken1_DAS_maxbin_155_fasta_contigs-contigs.fa,82_1,75.19357385182009
chicken1_concoct_20_refined_2_Bin_6_13-contigs.fa,83_0,95.62794450358903
chicken1_concoct_20_refined_2_Bin_6_25-contigs.fa,84_1,44.83286530116828
chicken1_concoct_20_refined_2_Bin_6_28_1-contigs.fa,85_1,31.182039709271386
chicken1_concoct_20_refined_2_Bin_6_23-contigs.fa,86_1,76.55196384638504
chicken1_concoct_20_refined_2_Bin_6_1-contigs.fa,87_1,70.1357518422033
chicken1_concoct_20_refined_2_Bin_6_6-contigs.fa,88_1,63.5476117233205
chicken1_concoct_20_refined_2_Bin_13_4_1-contigs.fa,89_1,45.77738565264429
chicken1_concoct_20_refined_2_Bin_18_4_1-contigs.fa,90_1,62.90103863820639
chicken1_concoct_20_refined_2_Bin_13_7-contigs.fa,91_1,53.93923051352693
chicken1_concoct_20_refined_2_Bin_13_3_1-contigs.fa,92_0,69.67412395900645
chicken1_concoct_20_refined_2_Bin_13_5_1-contigs.fa,93_0,56.97152276448639
chicken1_DAS_maxbin_036_fasta_contigs-contigs.fa,94_1,48.455614736800015
chicken1_DAS_maxbin_131_fasta_contigs-contigs.fa,95_0,65.05735306530681
chicken1_concoct_20_refined_2_Bin_6_3_1-contigs.fa,96_0,81.08953915918514
chicken1_DAS_maxbin_217_fasta_contigs-contigs.fa,97_0,76.15106799310647
chicken1_DAS_maxbin_037_fasta_contigs-contigs.fa,98_1,72.39589584050165
chicken1_DAS_maxbin_138_fasta_contigs-contigs.fa,99_1,77.25904517186217
chicken1_concoct_20_refined_2_Bin_6_2_1-contigs.fa,100_0,95.39730227285015
chicken1_concoct_20_refined_2_Bin_6_14-contigs.fa,101_1,86.44963760149687
chicken1_DAS_maxbin_158_fasta_contigs-contigs.fa,102_0,32.03019115646075
chicken1_concoct_20_refined_2_Bin_17_4_1-contigs.fa,103_0,65.8931266090869
chicken1_DAS_maxbin_191_fasta_contigs-contigs.fa,104_0,58.44518944301595
chicken1_DAS_maxbin_210_fasta_contigs-contigs.fa,105_1,55.77048003264309
chicken1_concoct_20_refined_2_Bin_12_6_1-contigs.fa,106_1,77.87663437245665
chicken1_concoct_20_refined_2_Bin_9_11_1-contigs.fa,107_1,93.90350177390984
chicken1_concoct_20_refined_2_Bin_11_2-contigs.fa,108_1,89.70948322951723
chicken1_DAS_maxbin_180_fasta_contigs-contigs.fa,109_0,79.59746841265283
chicken1_concoct_20_refined_2_Bin_11_9_1-contigs.fa,110_0,57.46022262830484
chicken1_concoct_20_refined_2_Bin_12_7-contigs.fa,111_0,86.37157554156536
chicken1_concoct_20_refined_2_Bin_18_3-contigs.fa,112_1,92.7427320297813
chicken1_DAS_maxbin_056_fasta_contigs-contigs.fa,113_0,60.88389452539515
chicken1_concoct_20_refined_2_Bin_14_2_1-contigs.fa,114_1,97.69601061384473
chicken1_concoct_20_refined_2_Bin_11_11-contigs.fa,115_1,90.23496953951462
chicken1_concoct_20_refined_2_Bin_9_18-contigs.fa,116_1,101.65616723416049
chicken1_concoct_20_refined_2_Bin_9_9-contigs.fa,117_1,91.18129054469955
chicken1_concoct_20_refined_2_Bin_9_17-contigs.fa,118_1,101.64309856680893
chicken1_concoct_20_refined_2_Bin_11_7_1-contigs.fa,119_1,91.08855679027951
