genome,cluster,score
chicken1_D12_maxbin.005.fasta.contigs.fa,1_1,97.78280930449266
chicken1_D43_maxbin.004.fasta.contigs.fa,2_0,19.246989208018675
chicken1_C-2_maxbin.004.fasta.contigs.fa,3_1,102.46999292816649
chicken1_D15_maxbin.006.fasta.contigs.fa,4_1,98.0963175442174
chicken1_D43_maxbin.043.fasta.contigs.fa,5_0,35.48189791635426
chicken1_D36_maxbin.017.fasta.contigs.fa,6_1,91.506793992937
chicken1_D2_maxbin.008.fasta.contigs.fa,7_1,75.331017469833
chicken1_D2_maxbin.006.fasta.contigs.fa,8_1,69.35414253379565
chicken1_D43_maxbin.026.fasta.contigs.fa,9_0,46.80766781541923
chicken1_D43_maxbin.038.fasta.contigs.fa,10_0,59.27388185423649
chicken1_D11_maxbin.022.fasta.contigs.fa,11_1,100.13540582991833
chicken1_D41_maxbin.037.fasta.contigs.fa,12_1,97.79328202091521
chicken1_C-2_maxbin.005.fasta.contigs.fa,13_1,101.5575058389913
chicken1_D2_maxbin.031.fasta.contigs.fa,14_1,100.32613394387454
chicken1_D12_maxbin.014.fasta.contigs.fa,15_1,96.98326377036712
chicken1_D27_maxbin.013.fasta.contigs.fa,16_1,74.6940695618127
chicken1_C-4_maxbin.010.fasta.contigs.fa,17_1,83.24262099656741
chicken1_D20_maxbin.029.fasta.contigs.fa,18_0,31.193564459703143
chicken1_D31_maxbin.056.fasta.contigs.fa,19_0,50.55949053332907
chicken1_D41_maxbin.015.fasta.contigs.fa,20_1,23.711793451375
chicken1_D9_maxbin.024.fasta.contigs.fa,21_1,100.07132423840069
chicken1_D21_maxbin.011.fasta.contigs.fa,22_1,96.66338884047657
chicken1_D15_maxbin.012.fasta.contigs.fa,23_1,100.01463449282768
chicken1_D16_maxbin.006.fasta_sub.contigs.fa,24_1,87.16961788859307
chicken1_D21_maxbin.016.fasta.contigs.fa,25_1,87.816072215839
chicken1_D41_maxbin.028.fasta.contigs.fa,26_1,85.92023331008662
chicken1_D22_maxbin.037.fasta.contigs.fa,27_0,12.364404819202
chicken1_C-1_metabat2.79.fa.contigs.fa,28_0,69.91256766880629
chicken1_D24_maxbin.018.fasta.contigs.fa,29_1,72.06311370262486
chicken1_D22_maxbin.024.fasta.contigs.fa,30_0,60.826811966222756
chicken1_D23_maxbin.030.fasta.contigs.fa,31_0,71.70910589701109
chicken1_D4_maxbin.025.fasta.contigs.fa,32_1,68.62825703963819
chicken1_D43_maxbin.041.fasta.contigs.fa,33_0,20.27723119727637
chicken1_D43_maxbin.009.fasta.contigs.fa,34_0,55.84972675325455
chicken1_D24_maxbin.021.fasta.contigs.fa,35_1,91.79632491832558
chicken1_D42_maxbin.009.fasta.contigs.fa,36_1,94.85897495417443
chicken1_D37_maxbin.027.fasta.contigs.fa,37_0,59.819091767110336
chicken1_D43_maxbin.025.fasta.contigs.fa,38_0,4.47077192747826
chicken1_D40_maxbin.040.fasta.contigs.fa,39_1,60.59107371391708
