genome,cluster,score
chicken1_DAS_maxbin_304_fasta_contigs-contigs.fa,1_1,91.76414116454745
chicken1_DAS_maxbin_290_fasta_contigs-contigs.fa,2_1,77.98164653994685
chicken1_D43_maxbin.028.fasta.contigs.fa,3_0,89.31028002561268
chicken1_DAS_maxbin_173_fasta_contigs-contigs.fa,4_0,31.005948838191415
chicken1_D43_maxbin.115.fasta.contigs.fa,5_0,56.24180450293531
chicken1_DAS_metabat2_116_fa_contigs-contigs.fa,6_0,63.41394358920477
chicken1_D43_maxbin.153.fasta.contigs.fa,7_0,66.90561125774511
chicken1_DAS_maxbin_099_fasta_contigs-contigs.fa,8_0,72.36544040507765
chicken1_DAS_maxbin_202_fasta_contigs-contigs.fa,9_0,74.79238310915916
chicken1_D43_maxbin.032.fasta.contigs.fa,10_1,88.23304060445462
chicken1_DAS_maxbin_291_fasta_contigs-contigs.fa,11_1,86.57655462858779
chicken1_D34_maxbin.025.fasta.contigs.fa,12_1,88.44643074890811
chicken1_D30_maxbin.029.fasta.contigs.fa,12_2,56.28215282354972
chicken1_D39_maxbin.002.fasta.contigs.fa,13_1,98.61241533768971
chicken1_DAS_maxbin_110_fasta_contigs-contigs.fa,14_0,69.16265355896819
chicken1_D39_maxbin.006.fasta.contigs.fa,15_1,82.63796676800658
chicken1_D18_maxbin.005.fasta.contigs.fa,16_1,92.20729285453872
chicken1_DAS_maxbin_077_fasta_contigs-contigs.fa,17_0,4.064443532608763
chicken1_DAS_maxbin_216_fasta_contigs-contigs.fa,18_1,87.91878437774132
chicken1_D21_maxbin.013.fasta.contigs.fa,19_1,94.84639854175127
chicken1_DAS_maxbin_256_fasta_contigs-contigs.fa,20_0,92.45455792209252
chicken1_DAS_maxbin_196_fasta_contigs-contigs.fa,21_0,69.87893135786312
chicken1_DAS_maxbin_314_fasta_contigs-contigs.fa,22_1,96.8008357783437
chicken1_C-6_maxbin.008.fasta.contigs.fa,23_1,84.0337317494576
chicken1_DAS_maxbin_120_fasta_contigs-contigs.fa,24_0,90.05859234426025
chicken1_D9_maxbin.006.fasta.contigs.fa,25_1,102.7140652635767
chicken1_D14_maxbin.003.fasta.contigs.fa,26_1,101.22752173676601
chicken1_D2_maxbin.027.fasta.contigs.fa,27_1,87.66670864303842
chicken1_D9_maxbin.010.fasta.contigs.fa,28_1,99.62867063281692
chicken1_D43_maxbin.107.fasta.contigs.fa,29_0,8.384610822651563
chicken1_DAS_maxbin_165_fasta_contigs-contigs.fa,30_0,96.62045379166752
chicken1_D43_maxbin.021.fasta.contigs.fa,31_1,96.51215799112683
chicken1_D40_maxbin.033.fasta.contigs.fa,32_1,94.25685044358414
chicken1_DAS_maxbin_139_fasta_contigs-contigs.fa,33_0,62.806953022486425
chicken1_DAS_maxbin_140_fasta_contigs-contigs.fa,34_0,90.54667660979732
chicken1_DAS_metabat2_158_fa_contigs-contigs.fa,35_0,88.67655719060173
chicken1_DAS_maxbin_157_fasta_contigs-contigs.fa,36_0,86.16935335176447
chicken1_DAS_maxbin_169_fasta_contigs-contigs.fa,37_0,84.37379952624063
chicken1_DAS_maxbin_107_fasta_contigs-contigs.fa,38_0,91.61350177390985
chicken1_DAS_maxbin_084_fasta_contigs-contigs.fa,39_1,97.83413330569732
chicken1_DAS_maxbin_072_fasta_contigs-contigs.fa,40_0,81.91173871898253
chicken1_DAS_maxbin_180_fasta_contigs-contigs.fa,41_0,79.56746841265283
chicken1_DAS_maxbin_207_fasta_contigs-contigs.fa,42_1,98.44091880258986
chicken1_DAS_maxbin_164_fasta_contigs-contigs.fa,43_1,81.51161402689524
chicken1_D9_maxbin.024.fasta.contigs.fa,44_1,100.04153260559767
chicken1_DAS_maxbin_119_fasta_contigs-contigs.fa,45_0,77.72951560324584
chicken1_D15_maxbin.012.fasta.contigs.fa,46_1,99.98488983053602
chicken1_DAS_maxbin_059_fasta_contigs-contigs.fa,47_1,90.19398049489104
chicken1_D21_maxbin.011.fasta.contigs.fa,48_1,96.63335775547657
chicken1_D22_maxbin.025.fasta.contigs.fa,49_1,85.1677207244259
chicken1_DAS_maxbin_149_fasta_contigs-contigs.fa,50_0,38.47427984041311
chicken1_DAS_maxbin_161_fasta_contigs-contigs.fa,51_0,31.658058258848225
chicken1_DAS_maxbin_279_fasta_contigs-contigs.fa,52_0,70.15795063961293
chicken1_DAS_maxbin_171_fasta_contigs-contigs.fa,53_0,36.167829193050316
chicken1_DAS_maxbin_143_fasta_contigs-contigs.fa,54_1,84.64083936769337
chicken1_DAS_maxbin_125_fasta_contigs-contigs.fa,55_0,87.46640708646073
chicken1_DAS_maxbin_220_fasta_contigs-contigs.fa,56_0,82.32451845953067
chicken1_D21_maxbin.007.fasta.contigs.fa,57_1,97.10652746488849
chicken1_D6_maxbin.015.fasta.contigs.fa,58_1,85.48423406080947
