genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
chicken1_D43_maxbin.002.fasta.contigs.fa,1_1,0.020000000000000018,average,ANImf,1
chicken1_concoct_20_refined_2_Bin_3_1-contigs.fa,1_1,0.020000000000000018,average,ANImf,1
chicken1_D43_maxbin.045.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,2_1,0.020000000000000018,average,ANImf,2
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,3_0,0.020000000000000018,average,ANImf,3
chicken1_D43_maxbin.043.fasta.contigs.fa,4_0,0.020000000000000018,average,ANImf,4
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,5_0,0.020000000000000018,average,ANImf,5
chicken1_D43_maxbin.028.fasta.contigs.fa,6_0,0.020000000000000018,average,ANImf,6
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,7_0,0.020000000000000018,average,ANImf,7
chicken1_concoct_20_refined_2_Bin_15_3-contigs.fa,8_0,0.020000000000000018,average,ANImf,8
chicken1_concoct_20_refined_2_Bin_6_20_1-contigs.fa,9_0,0.020000000000000018,average,ANImf,9
chicken1_D43_maxbin.107.fasta.contigs.fa,10_0,0.020000000000000018,average,ANImf,10
chicken1_concoct_20_refined_2_Bin_12_4_1-contigs.fa,11_0,0.020000000000000018,average,ANImf,11
chicken1_D43_maxbin.115.fasta.contigs.fa,12_1,0.020000000000000018,average,ANImf,12
chicken1_concoct_20_refined_2_Bin_0_1-contigs.fa,12_1,0.020000000000000018,average,ANImf,12
chicken1_concoct_20_refined_2_Bin_0_12-contigs.fa,13_0,0.020000000000000018,average,ANImf,13
chicken1_C-2_maxbin.002.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_C-3_maxbin.004.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D12_maxbin.009.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D13_maxbin.026.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D19_maxbin.043.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D20_maxbin.018.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D25_maxbin.009.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D27_maxbin.005.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D32_maxbin.006.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D33_maxbin.004.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D34_maxbin.024.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D37_maxbin.006.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D38_maxbin.003.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D39_maxbin.004.fasta.contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_concoct_20_refined_2_Bin_7_9_1-contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_D43_maxbin.057.fasta.contigs.fa,15_0,0.020000000000000018,average,ANImf,15
chicken1_concoct_20_refined_2_Bin_1_1-contigs.fa,16_0,0.020000000000000018,average,ANImf,16
chicken1_concoct_20_refined_2_Bin_9_10_1-contigs.fa,17_0,0.020000000000000018,average,ANImf,17
chicken1_D43_maxbin.153.fasta.contigs.fa,18_0,0.020000000000000018,average,ANImf,18
chicken1_concoct_20_refined_2_Bin_6_13-contigs.fa,19_0,0.020000000000000018,average,ANImf,19
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,20_0,0.020000000000000018,average,ANImf,20
chicken1_D43_maxbin.033.fasta.contigs.fa,21_1,0.020000000000000018,average,ANImf,21
chicken1_concoct_20_refined_2_Bin_0_3-contigs.fa,21_1,0.020000000000000018,average,ANImf,21
chicken1_C-2_maxbin.012.fasta.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_C-6_maxbin.008.fasta.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_D22_metabat2.109.fa.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_D23_maxbin.034.fasta.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_D26_maxbin.009.fasta.contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_concoct_20_refined_2_Bin_17_3-contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_concoct_20_refined_2_Bin_6_21_1-contigs.fa,23_0,0.020000000000000018,average,ANImf,23
chicken1_C-1_maxbin.037.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D11_maxbin.023.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D12_maxbin.021.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D16_maxbin.023.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D17_maxbin.046.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D18_maxbin.002.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D20_maxbin.030.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D21_maxbin.019.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D25_maxbin.004.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D26_maxbin.004.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D27_maxbin.064.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D28_maxbin.040.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D30_maxbin.029.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D31_maxbin.015.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D34_maxbin.025.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D35_maxbin.015.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D36_maxbin.015.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D37_maxbin.015.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D39_maxbin.005.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D3_maxbin.002.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D40_maxbin.019.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D41_maxbin.054.fasta.contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_concoct_20_refined_2_Bin_7_14-contigs.fa,24_1,0.020000000000000018,average,ANImf,24
chicken1_D43_maxbin.021.fasta.contigs.fa,25_0,0.020000000000000018,average,ANImf,25
chicken1_concoct_20_refined_2_Bin_0_4-contigs.fa,26_0,0.020000000000000018,average,ANImf,26
chicken1_C-2_maxbin.003.fasta.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_C-3_maxbin.003.fasta.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_D32_maxbin.004.fasta.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_D33_maxbin.002.fasta.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_D38_maxbin.001.fasta.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_D39_maxbin.002.fasta.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_D43_maxbin.022.fasta.contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_concoct_20_refined_2_Bin_7_11-contigs.fa,27_1,0.020000000000000018,average,ANImf,27
chicken1_D43_maxbin.048.fasta.contigs.fa,28_0,0.020000000000000018,average,ANImf,28
chicken1_D43_maxbin.032.fasta.contigs.fa,29_0,0.020000000000000018,average,ANImf,29
chicken1_concoct_20_refined_2_Bin_11_13-contigs.fa,30_0,0.020000000000000018,average,ANImf,30
chicken1_concoct_20_refined_2_Bin_6_22-contigs.fa,31_0,0.020000000000000018,average,ANImf,31
chicken1_D11_maxbin.026.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
chicken1_D16_maxbin.018.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
chicken1_D17_maxbin.043.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
chicken1_D18_maxbin.005.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
chicken1_D20_maxbin.042.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
chicken1_D23_maxbin.032.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
chicken1_D3_maxbin.010.fasta.contigs.fa,32_1,0.020000000000000018,average,ANImf,32
chicken1_D3_maxbin.007.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
chicken1_concoct_20_refined_2_Bin_7_5_1-contigs.fa,33_1,0.020000000000000018,average,ANImf,33
chicken1_D15_maxbin.023.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_D16_maxbin.004.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_D1_maxbin.026.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_D21_maxbin.013.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_D23_maxbin.020.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_D5_maxbin.024.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_D6_maxbin.030.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_concoct_20_refined_2_Bin_8_4_1-contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_concoct_20_refined_2_Bin_17_1_1-contigs.fa,35_0,0.020000000000000018,average,ANImf,35
chicken1_C-2_maxbin.011.fasta.contigs.fa,36_1,0.020000000000000018,average,ANImf,36
chicken1_C-5_maxbin.020.fasta.contigs.fa,36_1,0.020000000000000018,average,ANImf,36
chicken1_D15_maxbin.038.fasta.contigs.fa,36_1,0.020000000000000018,average,ANImf,36
