genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
human1_HC-18_maxbin.036.fasta.contigs.fa,1_1,0.020000000000000018,average,ANImf,1
human1_HC-24_maxbin.045.fasta.contigs.fa,1_1,0.020000000000000018,average,ANImf,1
human1_HC-10_maxbin.011.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-12_maxbin.038.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-13_maxbin.035.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-14_maxbin.018.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-16_maxbin.029.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-18_maxbin.025.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-19_maxbin.019.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-1_maxbin.033.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-20_maxbin.016.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-24_maxbin.018.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-3_maxbin.046.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-4_maxbin.039.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-6_maxbin.036.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-7_maxbin.032.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HC-8_maxbin.029.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-10_maxbin.025.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-1_maxbin.049.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-24_maxbin.036.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-3_maxbin.038.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-4_maxbin.046.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-7_metabat2.23.fa.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-8_maxbin.015.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_HV-9_maxbin.017.fasta.contigs.fa,2_1,0.020000000000000018,average,ANImf,2
human1_D-1_maxbin.003.fasta.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HC-13_maxbin.025.fasta.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HC-14_maxbin.016.fasta.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HC-15_maxbin.019.fasta.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HC-16_maxbin.021.fasta_sub.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HC-8_maxbin.042.fasta.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HV-18_maxbin.040.fasta.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HV-4_maxbin.037.fasta.contigs.fa,3_1,0.020000000000000018,average,ANImf,3
human1_HC-10_maxbin.016.fasta.contigs.fa,4_1,0.020000000000000018,average,ANImf,4
human1_HC-13_maxbin.034.fasta.contigs.fa,4_1,0.020000000000000018,average,ANImf,4
human1_HC-19_maxbin.028.fasta.contigs.fa,4_1,0.020000000000000018,average,ANImf,4
human1_HC-20_maxbin.018.fasta.contigs.fa,4_1,0.020000000000000018,average,ANImf,4
human1_HC-21_maxbin.020.fasta.contigs.fa,4_1,0.020000000000000018,average,ANImf,4
human1_D-1_maxbin.032.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HC-19_maxbin.044.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HC-7_metabat2.68.fa.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-10_metabat2.7.fa.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-11_maxbin.027.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-12_maxbin.030.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-17_maxbin.022.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-18_maxbin.031.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-1_maxbin.021.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-23_maxbin.025.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
human1_HV-24_maxbin.043.fasta.contigs.fa,5_1,0.020000000000000018,average,ANImf,5
