CONTIG_NAME	CALL	CONTIG_LENGTH	LOCI	ANNOTATIONS:UNIREF50	ANNOTATIONS:UNIREF90
megahit_1000	unclassified	766	--	--	--
megahit_1001	unclassified	2605	--	--	--
megahit_10013	unclassified	971	--	--	--
megahit_10018	unclassified	1066	--	--	--
megahit_10020	unclassified	2339	--	--	--
megahit_10021	unclassified	778	--	--	--
megahit_10026	unclassified	1010	--	--	--
megahit_10035	unclassified	1005	--	--	--
megahit_10042	unclassified	787	--	--	--
megahit_10046	unclassified	1557	--	--	--
megahit_10047	unclassified	3037	--	--	--
megahit_10055	unclassified	2909	--	--	--
megahit_1006	unclassified	1094	--	--	--
megahit_10064	unclassified	780	--	--	--
megahit_10068	unclassified	4523	--	--	--
megahit_10073	unclassified	4135	--	--	--
megahit_10077	unclassified	887	--	--	--
megahit_10078	unclassified	1492	--	--	--
megahit_10079	unclassified	1609	--	--	--
megahit_10080	unclassified	853	--	--	--
megahit_10092	unclassified	1106	--	--	--
megahit_10094	unclassified	848	--	--	--
megahit_10096	unclassified	2545	--	--	--
megahit_10097	unclassified	777	--	--	--
megahit_10100	unclassified	8436	--	--	--
megahit_10102	unclassified	858	--	--	--
megahit_10106	unclassified	795	--	--	--
megahit_10108	unclassified	1183	--	--	--
megahit_10110	unclassified	1714	--	--	--
megahit_1012	unclassified	820	--	--	--
megahit_10133	unclassified	8467	--	--	--
megahit_10136	unclassified	12681	--	--	--
megahit_10137	unclassified	1417	--	--	--
megahit_10139	unclassified	763	--	--	--
megahit_10144	unclassified	1313	--	--	--
megahit_10145	unclassified	1430	--	--	--
megahit_10147	unclassified	795	--	--	--
megahit_10154	unclassified	852	--	--	--
megahit_10155	unclassified	1573	--	--	--
megahit_10163	unclassified	1032	--	--	--
megahit_10164	unclassified	1318	--	--	--
megahit_10165	unclassified	970	--	--	--
megahit_10168	unclassified	5092	--	--	--
megahit_10178	unclassified	1010	--	--	--
megahit_10179	unclassified	869	--	--	--
megahit_10186	unclassified	755	--	--	--
megahit_10192	unclassified	1528	--	--	--
megahit_10193	unclassified	1050	--	--	--
megahit_10194	unclassified	1154	--	--	--
megahit_10199	unclassified	1084	--	--	--
megahit_10200	unclassified	1425	--	--	--
megahit_10204	unclassified	1379	--	--	--
megahit_10209	unclassified	2427	--	--	--
megahit_10218	unclassified	785	--	--	--
megahit_10226	unclassified	1373	--	--	--
megahit_10230	unclassified	3040	--	--	--
megahit_10232	unclassified	1479	--	--	--
megahit_10247	unclassified	1673	--	--	--
megahit_10250	unclassified	1089	--	--	--
megahit_10251	unclassified	1081	--	--	--
megahit_10257	unclassified	808	--	--	--
megahit_10258	unclassified	1139	--	--	--
megahit_10259	unclassified	1045	--	--	--
megahit_10260	unclassified	1016	--	--	--
megahit_10263	unclassified	1157	--	--	--
megahit_10274	unclassified	866	--	--	--
megahit_10279	unclassified	848	--	--	--
megahit_10284	unclassified	819	--	--	--
megahit_10288	unclassified	2790	--	--	--
megahit_1029	unclassified	862	--	--	--
megahit_10297	unclassified	870	--	--	--
megahit_1030	unclassified	1153	--	--	--
megahit_10317	unclassified	762	--	--	--
megahit_1032	unclassified	4469	--	--	--
megahit_10330	unclassified	2884	--	--	--
megahit_10346	unclassified	2692	--	--	--
megahit_10350	unclassified	1617	--	--	--
megahit_10352	unclassified	906	--	--	--
megahit_10357	unclassified	1279	--	--	--
megahit_10361	unclassified	1215	--	--	--
megahit_10366	unclassified	2152	--	--	--
megahit_10370	unclassified	1544	--	--	--
megahit_10375	unclassified	12075	--	--	--
megahit_10378	unclassified	774	--	--	--
megahit_10382	unclassified	1661	--	--	--
megahit_10387	unclassified	4202	--	--	--
megahit_10392	unclassified	971	--	--	--
megahit_10393	unclassified	1190	--	--	--
megahit_10394	unclassified	930	--	--	--
megahit_10395	unclassified	2944	--	--	--
megahit_10396	unclassified	3820	--	--	--
megahit_10397	unclassified	907	--	--	--
megahit_10414	unclassified	894	--	--	--
megahit_10422	unclassified	999	--	--	--
megahit_10423	unclassified	3525	--	--	--
megahit_10425	unclassified	2730	--	--	--
megahit_10426	unclassified	771	--	--	--
megahit_10427	unclassified	903	--	--	--
megahit_10428	unclassified	3342	--	--	--
megahit_10439	unclassified	1272	--	--	--
megahit_10457	unclassified	1049	--	--	--
megahit_1046	unclassified	852	--	--	--
megahit_10461	unclassified	1537	--	--	--
megahit_10467	unclassified	750	--	--	--
megahit_10468	unclassified	793	--	--	--
megahit_1047	unclassified	2692	--	--	--
megahit_10471	unclassified	5103	--	--	--
megahit_10473	unclassified	1029	--	--	--
megahit_10479	unclassified	1116	--	--	--
megahit_10481	unclassified	1239	--	--	--
megahit_10484	unclassified	1472	--	--	--
megahit_10489	unclassified	811	--	--	--
megahit_10490	unclassified	1123	--	--	--
megahit_10499	unclassified	2771	--	--	--
megahit_10502	unclassified	1374	--	--	--
megahit_1051	unclassified	1032	--	--	--
megahit_10514	unclassified	1927	--	--	--
megahit_10518	unclassified	854	--	--	--
megahit_10530	unclassified	1001	--	--	--
megahit_10532	unclassified	3058	--	--	--
megahit_10540	unclassified	2249	--	--	--
megahit_10545	unclassified	1932	--	--	--
megahit_10547	unclassified	1075	--	--	--
megahit_10549	unclassified	1142	--	--	--
megahit_10551	unclassified	1175	--	--	--
megahit_10554	unclassified	4953	--	--	--
megahit_10565	unclassified	2290	--	--	--
megahit_10573	unclassified	1148	--	--	--
megahit_10586	unclassified	1320	--	--	--
megahit_10595	unclassified	870	--	--	--
megahit_10606	unclassified	973	--	--	--
megahit_10612	unclassified	801	--	--	--
megahit_10614	unclassified	2666	--	--	--
megahit_10616	unclassified	1403	--	--	--
megahit_10617	unclassified	1951	--	--	--
megahit_10626	unclassified	1376	--	--	--
megahit_10641	unclassified	1611	--	--	--
megahit_10645	unclassified	1387	--	--	--
megahit_1066	unclassified	1480	--	--	--
megahit_10661	unclassified	1265	--	--	--
megahit_10662	unclassified	1018	--	--	--
megahit_10665	unclassified	1024	--	--	--
megahit_10678	unclassified	1480	--	--	--
megahit_10681	unclassified	2370	--	--	--
megahit_10682	unclassified	861	--	--	--
megahit_10695	unclassified	1679	--	--	--
megahit_10699	unclassified	970	--	--	--
megahit_1070	unclassified	2135	--	--	--
megahit_10703	unclassified	1303	--	--	--
megahit_1071	unclassified	1372	--	--	--
megahit_10710	unclassified	1587	--	--	--
megahit_10721	unclassified	1007	--	--	--
megahit_10723	unclassified	3827	--	--	--
megahit_10728	unclassified	1178	--	--	--
megahit_1073	unclassified	1572	--	--	--
megahit_10736	unclassified	1664	--	--	--
megahit_10743	unclassified	929	--	--	--
megahit_10749	unclassified	823	--	--	--
megahit_1075	unclassified	7191	--	--	--
megahit_10754	unclassified	14755	--	--	--
megahit_10758	unclassified	1534	--	--	--
megahit_10759	unclassified	876	--	--	--
megahit_1076	unclassified	1695	--	--	--
megahit_10761	unclassified	920	--	--	--
megahit_10775	unclassified	6403	--	--	--
megahit_10776	unclassified	1601	--	--	--
megahit_10778	unclassified	1288	--	--	--
megahit_10780	unclassified	1271	--	--	--
megahit_10781	unclassified	878	--	--	--
megahit_10782	unclassified	1804	--	--	--
megahit_10784	unclassified	1112	--	--	--
megahit_10786	unclassified	4938	--	--	--
megahit_10788	unclassified	884	--	--	--
megahit_10794	unclassified	1051	--	--	--
megahit_10800	unclassified	757	--	--	--
megahit_10802	unclassified	2999	--	--	--
megahit_10803	unclassified	2822	--	--	--
megahit_10808	unclassified	3649	--	--	--
megahit_10816	unclassified	1188	--	--	--
megahit_10817	unclassified	942	--	--	--
megahit_10818	unclassified	846	--	--	--
megahit_1082	unclassified	756	--	--	--
megahit_10825	unclassified	947	--	--	--
megahit_10829	unclassified	781	--	--	--
megahit_10831	unclassified	1250	--	--	--
megahit_10845	unclassified	983	--	--	--
megahit_10846	unclassified	1703	--	--	--
megahit_10854	unclassified	2121	--	--	--
megahit_10856	unclassified	820	--	--	--
megahit_10860	unclassified	837	--	--	--
megahit_10861	unclassified	1398	--	--	--
megahit_10870	unclassified	895	--	--	--
megahit_10873	unclassified	2909	--	--	--
megahit_10875	unclassified	794	--	--	--
megahit_1088	unclassified	908	--	--	--
megahit_10884	unclassified	1457	--	--	--
megahit_10885	unclassified	806	--	--	--
megahit_10899	unclassified	1160	--	--	--
megahit_10901	unclassified	1575	--	--	--
megahit_10902	unclassified	1256	--	--	--
megahit_10907	unclassified	1445	--	--	--
megahit_10908	unclassified	797	--	--	--
megahit_10911	unclassified	1355	--	--	--
megahit_10917	unclassified	2423	--	--	--
megahit_1093	unclassified	818	--	--	--
megahit_10930	unclassified	823	--	--	--
megahit_10932	unclassified	1045	--	--	--
megahit_10933	unclassified	793	--	--	--
megahit_10939	unclassified	3936	--	--	--
megahit_10940	unclassified	2513	--	--	--
megahit_10946	unclassified	2384	--	--	--
megahit_10950	unclassified	1802	--	--	--
megahit_10951	unclassified	902	--	--	--
megahit_10957	unclassified	2949	--	--	--
megahit_10959	unclassified	1921	--	--	--
megahit_1096	unclassified	1213	--	--	--
megahit_10969	unclassified	4224	--	--	--
megahit_10975	unclassified	1723	--	--	--
megahit_10990	unclassified	1652	--	--	--
megahit_10992	unclassified	1087	--	--	--
megahit_10994	unclassified	2575	--	--	--
megahit_10996	unclassified	901	--	--	--
megahit_10997	unclassified	1197	--	--	--
megahit_11008	unclassified	2403	--	--	--
megahit_11014	unclassified	1363	--	--	--
megahit_11015	unclassified	2577	--	--	--
megahit_11017	unclassified	836	--	--	--
megahit_11020	unclassified	1474	--	--	--
megahit_11021	unclassified	952	--	--	--
megahit_11029	unclassified	1760	--	--	--
megahit_11032	unclassified	968	--	--	--
megahit_11040	unclassified	766	--	--	--
megahit_11052	unclassified	1507	--	--	--
megahit_11055	unclassified	2302	--	--	--
megahit_11056	unclassified	955	--	--	--
megahit_11059	unclassified	2483	--	--	--
megahit_11069	unclassified	1138	--	--	--
megahit_11077	unclassified	822	--	--	--
megahit_11079	unclassified	1526	--	--	--
megahit_11081	unclassified	3534	--	--	--
megahit_11089	unclassified	904	--	--	--
megahit_1110	unclassified	907	--	--	--
megahit_11104	unclassified	1185	--	--	--
megahit_11119	unclassified	4614	--	--	--
megahit_11126	unclassified	2350	--	--	--
megahit_11140	unclassified	3291	--	--	--
megahit_11157	unclassified	892	--	--	--
megahit_11158	unclassified	1935	--	--	--
megahit_11159	unclassified	774	--	--	--
megahit_11160	unclassified	1468	--	--	--
megahit_11163	unclassified	1366	--	--	--
megahit_11172	unclassified	787	--	--	--
megahit_11174	unclassified	5121	--	--	--
megahit_11179	unclassified	2278	--	--	--
megahit_11189	unclassified	2577	--	--	--
megahit_11199	unclassified	2105	--	--	--
megahit_11202	unclassified	4506	--	--	--
megahit_11205	unclassified	2679	--	--	--
megahit_11209	unclassified	1548	--	--	--
megahit_11214	unclassified	849	--	--	--
megahit_11217	unclassified	1142	--	--	--
megahit_11225	unclassified	3538	--	--	--
megahit_11227	unclassified	2240	--	--	--
megahit_11228	unclassified	2195	--	--	--
megahit_11229	unclassified	2194	--	--	--
megahit_11234	unclassified	904	--	--	--
megahit_11247	unclassified	2317	--	--	--
megahit_11254	unclassified	997	--	--	--
megahit_11261	unclassified	4543	--	--	--
megahit_11271	unclassified	752	--	--	--
megahit_11274	unclassified	1256	--	--	--
megahit_11281	unclassified	1107	--	--	--
megahit_11287	unclassified	755	--	--	--
megahit_11290	unclassified	1305	--	--	--
megahit_11294	unclassified	780	--	--	--
megahit_11295	unclassified	2844	--	--	--
megahit_11298	unclassified	1319	--	--	--
megahit_11302	unclassified	1476	--	--	--
megahit_11304	unclassified	2681	--	--	--
megahit_11317	unclassified	1008	--	--	--
megahit_11322	unclassified	1210	--	--	--
megahit_11325	unclassified	1757	--	--	--
megahit_11331	unclassified	1017	--	--	--
megahit_11343	unclassified	941	--	--	--
megahit_11347	unclassified	837	--	--	--
megahit_11364	unclassified	1140	--	--	--
megahit_11366	unclassified	1181	--	--	--
megahit_1137	unclassified	1350	--	--	--
megahit_11371	unclassified	1066	--	--	--
megahit_11375	unclassified	1699	--	--	--
megahit_11377	unclassified	7053	--	--	--
megahit_1138	unclassified	1235	--	--	--
megahit_11390	unclassified	1190	--	--	--
megahit_11392	unclassified	3465	--	--	--
megahit_1140	unclassified	870	--	--	--
megahit_11405	unclassified	4480	--	--	--
megahit_11409	unclassified	3587	--	--	--
megahit_1141	unclassified	2071	--	--	--
megahit_11414	unclassified	829	--	--	--
megahit_11433	unclassified	753	--	--	--
megahit_11434	unclassified	1742	--	--	--
megahit_11439	unclassified	1229	--	--	--
megahit_1145	unclassified	998	--	--	--
megahit_11450	unclassified	1080	--	--	--
megahit_11451	unclassified	886	--	--	--
megahit_11465	unclassified	2381	--	--	--
megahit_11467	unclassified	7938	--	--	--
megahit_11473	unclassified	776	--	--	--
megahit_11474	unclassified	8577	--	--	--
megahit_11478	unclassified	1196	--	--	--
megahit_11484	unclassified	796	--	--	--
megahit_11487	unclassified	789	--	--	--
megahit_11489	unclassified	2464	--	--	--
megahit_11491	unclassified	2249	--	--	--
megahit_11495	unclassified	954	--	--	--
megahit_11502	unclassified	1710	--	--	--
megahit_1151	unclassified	2120	--	--	--
megahit_11515	unclassified	790	--	--	--
megahit_1152	unclassified	1575	--	--	--
megahit_11523	unclassified	1611	--	--	--
megahit_11525	unclassified	1726	--	--	--
megahit_11527	unclassified	849	--	--	--
megahit_11528	unclassified	824	--	--	--
megahit_11543	unclassified	752	--	--	--
megahit_11547	unclassified	802	--	--	--
megahit_11552	unclassified	1287	--	--	--
