genome,location,length
human1_D-1_maxbin.002.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.002.fasta.contigs.fa,4200180
human1_D-1_maxbin.003.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.003.fasta.contigs.fa,2351211
human1_D-1_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.004.fasta.contigs.fa,2054820
human1_D-1_maxbin.012.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.012.fasta.contigs.fa,2081113
human1_D-1_maxbin.013.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.013.fasta.contigs.fa,3264148
human1_D-1_maxbin.017.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.017.fasta.contigs.fa,1916913
human1_D-1_maxbin.018.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.018.fasta.contigs.fa,3323385
human1_D-1_maxbin.021.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.021.fasta.contigs.fa,3430796
human1_D-1_maxbin.022.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.022.fasta.contigs.fa,3432122
human1_D-1_maxbin.023.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.023.fasta.contigs.fa,4710355
human1_D-1_maxbin.024.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.024.fasta.contigs.fa,4571616
human1_D-1_maxbin.025.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.025.fasta.contigs.fa,2688832
human1_D-1_maxbin.026.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.026.fasta.contigs.fa,4379205
human1_D-1_maxbin.027.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.027.fasta.contigs.fa,2770381
human1_D-1_maxbin.028.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.028.fasta.contigs.fa,2238627
human1_D-1_maxbin.029.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.029.fasta.contigs.fa,4820538
human1_D-1_maxbin.032.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.032.fasta.contigs.fa,2489011
human1_D-1_maxbin.033.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.033.fasta.contigs.fa,2440739
human1_D-1_maxbin.034.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.034.fasta.contigs.fa,2957651
human1_D-1_maxbin.037.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.037.fasta.contigs.fa,4720738
human1_D-1_maxbin.039.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.039.fasta.contigs.fa,3444487
human1_D-1_maxbin.044.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.044.fasta.contigs.fa,3117497
human1_D-1_maxbin.050.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.050.fasta.contigs.fa,3213425
human1_D-1_maxbin.051.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.051.fasta.contigs.fa,2260255
human1_D-1_maxbin.053.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.053.fasta.contigs.fa,3316090
