genome,location,length
chicken1_C-1_maxbin.001.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.001.fasta.contigs.fa,2211107
chicken1_C-1_maxbin.003.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.003.fasta.contigs.fa,4075197
chicken1_C-1_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.004.fasta.contigs.fa,3447776
chicken1_C-1_maxbin.005.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.005.fasta.contigs.fa,4032942
chicken1_C-1_maxbin.009.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.009.fasta.contigs.fa,2206394
chicken1_C-1_maxbin.013.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.013.fasta.contigs.fa,1404088
chicken1_C-1_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.014.fasta.contigs.fa,4560553
chicken1_C-1_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.015.fasta.contigs.fa,2599687
chicken1_C-1_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.016.fasta.contigs.fa,2361466
chicken1_C-1_maxbin.017.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.017.fasta.contigs.fa,2675081
chicken1_C-1_maxbin.018.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.018.fasta.contigs.fa,3380542
chicken1_C-1_maxbin.019.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.019.fasta.contigs.fa,1885857
chicken1_C-1_maxbin.020.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.020.fasta.contigs.fa,2184273
chicken1_C-1_maxbin.022.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.022.fasta.contigs.fa,2465363
chicken1_C-1_maxbin.024.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.024.fasta.contigs.fa,1829248
chicken1_C-1_maxbin.025.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.025.fasta.contigs.fa,3054945
chicken1_C-1_maxbin.035.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.035.fasta.contigs.fa,2432309
chicken1_C-1_maxbin.037.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.037.fasta.contigs.fa,2841590
chicken1_C-1_maxbin.038.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.038.fasta.contigs.fa,3283398
chicken1_C-1_maxbin.046.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.046.fasta.contigs.fa,2755315
chicken1_C-1_maxbin.051.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_maxbin.051.fasta.contigs.fa,2130948
chicken1_C-1_metabat2.79.fa.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-1_metabat2.79.fa.contigs.fa,2241441
chicken1_C-2_maxbin.001.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.001.fasta.contigs.fa,4020842
chicken1_C-2_maxbin.002.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.002.fasta.contigs.fa,4846580
chicken1_C-2_maxbin.003.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.003.fasta.contigs.fa,2033842
chicken1_C-2_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.004.fasta.contigs.fa,3976577
chicken1_C-2_maxbin.005.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.005.fasta.contigs.fa,2522727
chicken1_C-2_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.006.fasta.contigs.fa,5044377
chicken1_C-2_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.007.fasta.contigs.fa,2615618
chicken1_C-2_maxbin.009.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.009.fasta.contigs.fa,3211868
chicken1_C-2_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.010.fasta.contigs.fa,3591932
chicken1_C-2_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.011.fasta.contigs.fa,1606764
chicken1_C-2_maxbin.012.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.012.fasta.contigs.fa,4633326
chicken1_C-2_maxbin.013.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-2_maxbin.013.fasta.contigs.fa,3177616
chicken1_C-3_maxbin.001.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.001.fasta.contigs.fa,3879809
chicken1_C-3_maxbin.002.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.002.fasta.contigs.fa,4003596
chicken1_C-3_maxbin.003.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.003.fasta.contigs.fa,2162452
chicken1_C-3_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.004.fasta.contigs.fa,4819694
chicken1_C-3_maxbin.005.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.005.fasta.contigs.fa,2735455
chicken1_C-3_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.007.fasta.contigs.fa,3188655
chicken1_C-3_maxbin.008.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.008.fasta.contigs.fa,4897997
chicken1_C-3_maxbin.009.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.009.fasta.contigs.fa,2871521
chicken1_C-3_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.010.fasta.contigs.fa,3337615
chicken1_C-3_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-3_maxbin.011.fasta.contigs.fa,3629512
chicken1_C-4_maxbin.001.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.001.fasta.contigs.fa,4002890
chicken1_C-4_maxbin.002.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.002.fasta.contigs.fa,3746790
chicken1_C-4_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.004.fasta.contigs.fa,4854665
chicken1_C-4_maxbin.005.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.005.fasta.contigs.fa,2931075
chicken1_C-4_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.006.fasta.contigs.fa,1540322
chicken1_C-4_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.007.fasta.contigs.fa,3717042
chicken1_C-4_maxbin.008.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.008.fasta.contigs.fa,3796787
chicken1_C-4_maxbin.009.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.009.fasta.contigs.fa,4887749
chicken1_C-4_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.010.fasta.contigs.fa,5621225
chicken1_C-4_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.011.fasta.contigs.fa,2303351
chicken1_C-4_maxbin.012.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.012.fasta.contigs.fa,3455392
chicken1_C-4_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.014.fasta.contigs.fa,2204683
chicken1_C-4_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.015.fasta.contigs.fa,3091842
chicken1_C-4_maxbin.021.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.021.fasta.contigs.fa,2157391
chicken1_C-4_maxbin.022.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.022.fasta.contigs.fa,3066175
chicken1_C-4_maxbin.025.fasta.contigs.fa,/datadrive05/Flo/NRP72/chicken1/ssbins/ssbins_genomes_chicken1/chicken1_C-4_maxbin.025.fasta.contigs.fa,2601945
