user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Bin_0_1_1-contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	GCF_000012845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	97.32	0.79	GCF_000012845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	97.32	0.79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004793765.1, s__Parabacteroides distasonis_A, 95.0, 94.22, 0.73; GCF_011038785.1, s__Parabacteroides sp011038785, 95.0, 90.06, 0.76; GCA_900549585.1, s__Parabacteroides sp900549585, 95.0, 79.26, 0.12; GCF_900128505.1, s__Parabacteroides timonensis, 95.0, 78.98, 0.21; GCF_900186615.1, s__Parabacteroides bouchesdurhonensis, 95.0, 78.95, 0.26; GCF_000154105.1, s__Parabacteroides merdae, 95.0, 78.85, 0.24; GCF_900108035.1, s__Parabacteroides chinchillae, 95.0, 78.84, 0.23; GCF_900155425.1, s__Parabacteroides massiliensis, 95.0, 78.84, 0.21; GCF_000156495.1, s__Parabacteroides johnsonii, 95.0, 78.83, 0.23; GCF_000969835.1, s__Parabacteroides goldsteinii, 95.0, 78.81, 0.21; GCF_014287585.1, s__Parabacteroides sp014287585, 95.0, 78.73, 0.22; GCF_003473295.1, s__Parabacteroides sp003473295, 95.0, 78.65, 0.2; GCF_000969825.1, s__Parabacteroides gordonii, 95.0, 78.57, 0.22; GCA_900760525.1, s__Parabacteroides sp900760525, 95.0, 78.5, 0.21; GCF_003363715.1, s__Parabacteroides acidifaciens, 95.0, 78.44, 0.21; GCF_003480915.1, s__Parabacteroides sp003480915, 95.0, 78.43, 0.21; GCA_900540715.1, s__Parabacteroides sp900540715, 95.0, 78.3, 0.2; GCA_900541965.1, s__Parabacteroides sp900541965, 95.0, 78.29, 0.17; GCA_014647375.1, s__Parabacteroides faecis, 95.0, 78.28, 0.22; GCA_900770835.1, s__Parabacteroides sp900770835, 95.0, 78.21, 0.19; GCA_004562445.1, s__Parabacteroides sp004562445, 95.0, 77.8, 0.13; GCA_000436495.1, s__Parabacteroides sp000436495, 95.0, 77.76, 0.14; GCA_900552465.1, s__Parabacteroides sp900552465, 95.0, 77.59, 0.2; GCF_002159645.1, s__Parabacteroides sp002159645, 95.0, 77.56, 0.11; GCA_900548175.1, s__Parabacteroides sp900548175, 95.0, 77.32, 0.14; GCA_900552415.1, s__Parabacteroides sp900552415, 95.0, 77.26, 0.23; GCA_900547435.1, s__Parabacteroides sp900547435, 95.0, 77.03, 0.12	97.32	11	N/A	N/A
Bin_0_2_1-contigs	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	GCF_000829035.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	98.71	0.96	GCF_000829035.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	98.71	0.96	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000829055.1, s__Lacticaseibacillus casei, 95.0, 80.5, 0.48; GCF_000260435.1, s__Lacticaseibacillus zeae, 95.0, 80.27, 0.49; GCA_000615245.1, s__Lacticaseibacillus rhamnosus, 95.0, 79.98, 0.48; GCF_004123795.1, s__Lacticaseibacillus chiayiensis, 95.0, 79.95, 0.47; GCF_003946115.1, s__Lacticaseibacillus sp003946115, 95.0, 79.21, 0.06; GCF_003946165.1, s__Lacticaseibacillus sp003946165, 95.0, 78.68, 0.08; GCF_001311195.1, s__Lacticaseibacillus camelliae, 95.0, 78.39, 0.07; GCF_003946175.1, s__Lacticaseibacillus sp003946175, 95.0, 78.24, 0.11; GCF_003946465.1, s__Lacticaseibacillus sp003946465, 95.0, 78.11, 0.08; GCF_001436225.1, s__Lacticaseibacillus sharpeae, 95.0, 77.99, 0.04; GCF_009687905.1, s__Lacticaseibacillus sp009687905, 95.0, 77.91, 0.04; GCF_001435035.1, s__Lacticaseibacillus manihotivorans, 95.0, 77.79, 0.09; GCF_013407595.1, s__Lacticaseibacillus sp013407595, 95.0, 77.78, 0.04; GCF_001312865.1, s__Lacticaseibacillus thailandensis, 95.0, 77.72, 0.05; GCF_004010095.1, s__Lacticaseibacillus sp004010095, 95.0, 77.68, 0.05; GCF_003946485.1, s__Lacticaseibacillus sp003946485, 95.0, 77.56, 0.06; GCF_003946305.1, s__Lacticaseibacillus porcinae, 95.0, 77.43, 0.08; GCA_900540605.1, s__Lacticaseibacillus sp900540605, 95.0, 77.36, 0.09; GCF_001311785.1, s__Lacticaseibacillus saniviri, 95.0, 77.3, 0.1; GCF_001311175.1, s__Lacticaseibacillus pantheris, 95.0, 77.21, 0.05; GCF_001436115.1, s__Lacticaseibacillus brantae, 95.0, 77.16, 0.1; GCF_001434705.1, s__Lacticaseibacillus nasuensis, 95.0, 77.14, 0.08; GCF_003946405.1, s__Lacticaseibacillus sp003946405, 95.0, 77.06, 0.07; GCF_003946025.1, s__Lacticaseibacillus songhuajiangensis, 95.0, 76.92, 0.05	95.67	11	N/A	N/A
Bin_0_3_1-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	GCA_000432435.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	98.63	0.92	GCA_000432435.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	98.63	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002437245.1, s__CAG-180 sp002437245, 95.0, 89.69, 0.81; GCA_004556705.1, s__CAG-180 sp004556705, 95.0, 78.31, 0.24; GCA_900315985.1, s__CAG-180 sp900315985, 95.0, 77.59, 0.15; GCA_002361875.1, s__CAG-180 sp002361875, 95.0, 77.07, 0.11; GCA_004555265.1, s__CAG-180 sp004555265, 95.0, 77.02, 0.11; GCA_900540295.1, s__CAG-180 sp900540295, 95.0, 76.99, 0.12; GCA_002490425.1, s__CAG-180 sp002490425, 95.0, 76.78, 0.11; GCA_002490525.1, s__CAG-180 sp002490525, 95.0, 76.7, 0.1; GCF_900766945.1, s__CAG-180 sp900766945, 95.0, 76.65, 0.08; GCA_002314305.1, s__CAG-180 sp002314305, 95.0, 76.57, 0.07; GCA_900545625.1, s__CAG-180 sp900545625, 95.0, 76.13, 0.08	86.52	11	N/A	N/A
Bin_0_4_1-contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	GCF_003437535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	97.69	0.84	GCF_003437535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	97.69	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000187895.1, s__Phocaeicola plebeius, 95.0, 94.15, 0.77; GCA_900557085.1, s__Phocaeicola sp900557085, 95.0, 93.56, 0.44; GCF_902362595.1, s__Phocaeicola sp900066455, 95.0, 83.94, 0.65; GCF_900128455.1, s__Phocaeicola mediterraneensis, 95.0, 83.67, 0.65; GCA_900551445.1, s__Phocaeicola sp900551445, 95.0, 83.17, 0.57; GCA_900552075.1, s__Phocaeicola sp900552075, 95.0, 83.03, 0.61; GCA_900551065.1, s__Phocaeicola sp900551065, 95.0, 82.88, 0.59; GCF_013618865.1, s__Phocaeicola sp900541515, 95.0, 80.28, 0.29; GCF_000154845.1, s__Phocaeicola coprocola, 95.0, 79.96, 0.25; GCF_000157915.1, s__Phocaeicola coprophilus, 95.0, 79.64, 0.31; GCA_900544075.1, s__Phocaeicola sp900544075, 95.0, 79.62, 0.23; GCF_000374585.1, s__Phocaeicola barnesiae, 95.0, 79.62, 0.34; GCA_900553185.1, s__Phocaeicola sp900553185, 95.0, 79.53, 0.34; GCF_900128495.1, s__Phocaeicola ilei, 95.0, 79.51, 0.26; GCA_900542985.1, s__Phocaeicola sp900542985, 95.0, 79.4, 0.29; GCA_900553715.1, s__Phocaeicola sp900553715, 95.0, 79.32, 0.2; GCA_000432735.1, s__Phocaeicola sp000432735, 95.0, 79.27, 0.27; GCF_000382445.1, s__Phocaeicola massiliensis, 95.0, 79.16, 0.18; GCF_902362605.1, s__Phocaeicola sp900066445, 95.0, 79.1, 0.2; GCA_900551645.1, s__Phocaeicola sp900551645, 95.0, 79.1, 0.27; GCA_900556845.1, s__Phocaeicola sp900556845, 95.0, 79.06, 0.22; GCF_900751965.1, s__Phocaeicola sp900751965, 95.0, 78.99, 0.17; GCA_900546645.1, s__Phocaeicola sp900546645, 95.0, 78.9, 0.24; GCA_000434735.1, s__Phocaeicola sp000434735, 95.0, 78.7, 0.2; GCA_000436795.1, s__Phocaeicola sp000436795, 95.0, 78.66, 0.25; GCF_000190575.1, s__Phocaeicola salanitronis, 95.0, 78.36, 0.22; GCA_900544675.1, s__Phocaeicola sp900544675, 95.0, 78.34, 0.22; GCA_900540105.1, s__Phocaeicola sp900540105, 95.0, 78.31, 0.23; GCF_000012825.1, s__Phocaeicola vulgatus, 95.359, 78.28, 0.19; GCF_002161565.1, s__Phocaeicola sp002161565, 95.0, 78.18, 0.21; GCF_000614185.1, s__Phocaeicola sartorii, 95.0, 78.11, 0.18; GCA_900546355.1, s__Phocaeicola sp900546355, 95.0, 78.09, 0.18; GCF_000613805.1, s__Phocaeicola paurosaccharolyticus, 95.0, 78.06, 0.07; GCA_902388365.1, s__Phocaeicola sp902388365, 95.0, 78.05, 0.21; GCF_002161765.1, s__Phocaeicola sp002161765, 95.0, 78.02, 0.21; GCF_011959205.1, s__Phocaeicola sp011959205, 95.0, 77.96, 0.16; GCF_013009555.1, s__Phocaeicola dorei, 95.359, 77.93, 0.17; GCA_900546095.1, s__Phocaeicola sp900546095, 95.0, 77.91, 0.22; GCA_004558305.1, s__Phocaeicola plebeius_B, 95.0, 77.68, 0.19; GCF_900760795.1, s__Phocaeicola sp900760795, 95.0, 77.58, 0.15; GCA_002493165.1, s__Phocaeicola sp002493165, 95.0, 77.16, 0.16; GCA_900552645.1, s__Phocaeicola sp900552645, 95.0, 77.06, 0.07; GCA_902779535.1, s__Phocaeicola sp902779535, 95.0, 76.91, 0.08; GCF_000312445.1, s__Phocaeicola abscessus, 95.0, 76.67, 0.04; GCA_900554435.1, s__Phocaeicola sp900554435, 95.0, 76.56, 0.08; GCA_002315285.1, s__Phocaeicola sp002315285, 95.0, 75.61, 0.05	77.33	11	N/A	N/A
Bin_0_5_1-contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900541585	GCA_900541585.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900541585	96.45	0.71	GCA_900541585.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900541585	96.45	0.71	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000210575.1, s__Alistipes shahii, 95.0, 91.4, 0.62; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 90.6, 0.59; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 86.59, 0.64; GCF_900083545.1, s__Alistipes provencensis, 95.0, 86.12, 0.51; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 85.77, 0.51; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 85.53, 0.46; GCF_900107675.1, s__Alistipes timonensis, 95.0, 85.43, 0.5; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 83.61, 0.53; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 83.41, 0.53; GCF_006542685.1, s__Alistipes dispar, 95.0, 83.1, 0.46; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 82.88, 0.56; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 82.27, 0.46; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 82.09, 0.51; GCF_900604385.1, s__Alistipes megaguti, 95.0, 81.99, 0.42; GCF_902362705.1, s__Alistipes sp002358415, 95.0, 81.82, 0.52; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 81.71, 0.61; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 81.03, 0.54; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 80.95, 0.47; GCA_009774895.1, s__Alistipes sp009774895, 95.0, 80.73, 0.6; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 80.66, 0.42; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 80.61, 0.5; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 80.53, 0.4; GCF_006542665.1, s__Alistipes communis, 95.0, 80.17, 0.36; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 79.75, 0.49; GCF_902363575.1, s__Alistipes sp902363575, 95.0, 79.56, 0.32; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 79.44, 0.38; GCF_000154465.1, s__Alistipes putredinis, 95.0, 79.09, 0.3; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 78.71, 0.26; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 78.49, 0.36; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 78.07, 0.25; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.94, 0.21; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.83, 0.23; GCA_900761235.1, s__Alistipes sp900761235, 95.0, 77.36, 0.21; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.85, 0.11; GCA_900769405.1, s__Alistipes sp900769405, 95.0, 76.81, 0.16; GCA_900769445.1, s__Alistipes sp900769445, 95.0, 76.72, 0.04; GCA_900769525.1, s__Alistipes sp900769525, 95.0, 76.58, 0.06; GCA_900769745.1, s__Alistipes sp900769745, 95.0, 76.51, 0.07; GCA_900770585.1, s__Alistipes sp900770585, 95.0, 76.5, 0.15; GCA_900768015.1, s__Alistipes sp900768015, 95.0, 76.34, 0.09; GCA_900770635.1, s__Alistipes sp900770635, 95.0, 76.31, 0.05; GCA_900768045.1, s__Alistipes sp900768045, 95.0, 76.05, 0.04; GCA_900766655.1, s__Alistipes sp900766655, 95.0, 75.64, 0.04	72.84	11	N/A	N/A
Bin_0_6_1-contigs	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	GCF_003269275.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	98.72	0.88	GCF_003269275.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	98.72	0.88	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900551745.1, s__Phascolarctobacterium sp900551745, 95.0, 94.43, 0.78; GCA_900545535.1, s__Phascolarctobacterium sp900545535, 95.0, 85.54, 0.77; GCA_900544795.1, s__Phascolarctobacterium sp900544795, 95.0, 82.1, 0.71; GCA_003150755.1, s__Phascolarctobacterium sp003150755, 95.0, 77.75, 0.14; GCA_000436095.1, s__Phascolarctobacterium sp000436095, 95.0, 77.57, 0.21; GCA_900554395.1, s__Phascolarctobacterium sp900554395, 95.0, 77.2, 0.18	95.53	11	N/A	N/A
Bin_0_7_1-contigs	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_900099625.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	97.61	0.85	GCF_900099625.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	97.61	0.85	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002078765.2, s__Lactococcus lactis_E, 95.0, 87.79, 0.77; GCF_001622305.1, s__Lactococcus lactis_A, 95.0, 84.77, 0.51; GCF_004210295.1, s__Lactococcus sp004210295, 95.0, 81.49, 0.48; GCF_009601015.1, s__Lactococcus hircilactis, 95.0, 79.67, 0.23; GCF_003627095.1, s__Lactococcus sp003627095, 95.0, 79.31, 0.39; GCF_006965445.1, s__Lactococcus sp006965445, 95.0, 79.26, 0.4; GCF_000269925.1, s__Lactococcus garvieae, 95.0, 78.97, 0.23; GCF_002355575.1, s__Lactococcus garvieae_B, 95.0, 78.84, 0.21; GCF_002154895.1, s__Lactococcus petauri, 95.0, 78.51, 0.18; GCF_002077975.1, s__Lactococcus garvieae_A, 95.0, 78.5, 0.23; GCF_009601055.1, s__Lactococcus sp009601055, 95.0, 78.42, 0.25; GCF_002441655.1, s__Lactococcus fujiensis, 95.0, 78.28, 0.24; GCF_003116835.1, s__Lactococcus termiticola, 95.0, 78.21, 0.13; GCA_002492185.1, s__Lactococcus sp002492185, 95.0, 78.08, 0.16; GCA_009779335.1, s__Lactococcus sp009779335, 95.0, 77.05, 0.13	97.99	11	N/A	N/A
Bin_0_8_1-contigs	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	GCF_014131735.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	99.51	0.95	GCF_014131735.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	99.51	0.95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 87.52, 0.78; GCF_003641185.1, s__Lactiplantibacillus pentosus, 95.0, 82.71, 0.65; GCF_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 82.64, 0.6; GCF_001039045.1, s__Lactiplantibacillus herbarum, 95.0, 80.77, 0.49; GCF_005405405.1, s__Lactiplantibacillus plajomi, 95.0, 80.54, 0.37; GCF_001438845.1, s__Lactiplantibacillus xiangfangensis, 95.0, 80.45, 0.39; GCF_003885105.1, s__Lactiplantibacillus garii, 95.0, 80.39, 0.37; GCF_000498955.2, s__Lactiplantibacillus fabifermentans, 95.0, 80.02, 0.34; GCF_005405065.1, s__Lactiplantibacillus sp005405065, 95.0, 79.97, 0.35; GCF_005405085.1, s__Lactiplantibacillus sp005405085, 95.0, 79.95, 0.34; GCF_005405425.1, s__Lactiplantibacillus modestisalitolerans, 95.0, 79.92, 0.35; GCF_005405005.1, s__Lactiplantibacillus sp005405005, 95.0, 79.81, 0.35; GCF_005405105.1, s__Lactiplantibacillus sp005405105, 95.0, 79.73, 0.3; GCF_002970915.1, s__Lactiplantibacillus sp002970915, 95.0, 79.67, 0.33; GCF_005405125.1, s__Lactiplantibacillus sp005405125, 95.0, 79.57, 0.3; GCF_005404945.1, s__Lactiplantibacillus sp005404945, 95.0, 79.57, 0.33; GCF_002970935.1, s__Lactiplantibacillus sp002970935, 95.0, 79.52, 0.34; GCF_005405385.1, s__Lactiplantibacillus mudanjiangensis, 95.0, 79.49, 0.31	91.4	11	N/A	N/A
Bin_0_9_1-contigs	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	GCF_001544255.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	98.87	0.93	GCF_001544255.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	98.87	0.93	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009735405.1, s__Enterococcus_B lactis, 95.0, 94.72, 0.9; GCF_011038845.1, s__Enterococcus_B sp011038845, 95.0, 81.34, 0.63; GCF_001544215.1, s__Enterococcus_B durans, 95.0, 80.42, 0.5; GCF_000271405.2, s__Enterococcus_B hirae, 95.0, 79.81, 0.5; GCF_007990225.1, s__Enterococcus_B villorum, 95.0, 79.52, 0.43; GCF_002140175.1, s__Enterococcus_B sp002140175, 95.0, 79.41, 0.46; GCF_001886265.1, s__Enterococcus_B thailandicus, 95.0, 79.31, 0.44; GCF_002813755.1, s__Enterococcus_B mundtii, 96.3614, 79.31, 0.44; GCF_003957375.1, s__Enterococcus_B mundtii_C, 96.247, 79.29, 0.43; GCF_002947535.1, s__Enterococcus_B mundtii_B, 95.0, 79.28, 0.44; GCF_013394305.1, s__Enterococcus_B pernyi, 96.3614, 79.14, 0.43; GCF_001886195.1, s__Enterococcus_B ratti, 95.0, 78.85, 0.35; GCF_000415185.1, s__Enterococcus_B faecalis_A, 95.0, 78.81, 0.42; GCF_009933175.1, s__Enterococcus_B sp009933175, 95.0, 77.83, 0.15; GCF_000407505.1, s__Enterococcus_B phoeniculicola, 95.0, 77.75, 0.17	86.28	11	N/A	N/A
Bin_1_1-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFFH01;s__SFFH01 sp900548125	GCA_900548125.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFFH01;s__SFFH01 sp900548125	96.73	0.76	GCA_900548125.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFFH01;s__SFFH01 sp900548125	96.73	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFFH01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900542445.1, s__SFFH01 sp900542445, 95.0, 83.05, 0.62; GCA_900542395.1, s__SFFH01 sp900542395, 95.0, 82.85, 0.55; GCA_004556985.1, s__SFFH01 sp004556985, 95.0, 79.43, 0.35; GCA_004555535.1, s__SFFH01 sp004555535, 95.0, 79.39, 0.4; GCA_004557905.1, s__SFFH01 sp004557905, 95.0, 79.22, 0.37; GCA_902781095.1, s__SFFH01 sp902781095, 95.0, 78.25, 0.16; GCA_002395225.1, s__SFFH01 sp002395225, 95.0, 77.52, 0.1; GCA_900313545.1, s__SFFH01 sp900313545, 95.0, 76.83, 0.06; GCA_902767305.1, s__SFFH01 sp902767305, 95.0, 76.54, 0.04	82.13	11	N/A	N/A
