genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
human1_D-1_metabat2.153.fa.contigs.fa,74.05967435865679,72.93,0.0,0.0,1357876,16571,1_0,NA,NA,1,NA,NA,substantial,none
human1_DAS_metabat2_185_fa_contigs-contigs.fa,85.22810897846507,83.67,0.0,0.0,2550702,119184,2_0,NA,NA,1,NA,NA,substantial,none
human1_DAS_maxbin_122_fasta_contigs-contigs.fa,70.46548734238549,90.4,4.72,50.0,4771004,37237,3_0,NA,NA,1,NA,NA,near,low
human1_DAS_maxbin_133_fasta_contigs-contigs.fa,71.17103223052685,97.64,6.45,66.67,4469524,83490,4_0,NA,NA,1,NA,NA,near,medium
human1_DAS_maxbin_139_fasta_contigs-contigs.fa,74.46101195326165,89.52,3.49,40.0,2911907,8913,5_0,NA,NA,1,NA,NA,substantial,low
human1_DAS_metabat2_197_fa_contigs-contigs.fa,90.77249754514916,89.77,0.34,100.0,2412266,48816,6_1,NA,NA,3,99.87,99.77,substantial,low
human1_D-1_maxbin.068.fasta.contigs.fa,35.81845933304452,75.34,8.21,5.88,2397893,11257,7_0,NA,NA,1,NA,NA,substantial,medium
human1_DAS_metabat2_116_fa_contigs-contigs.fa,97.07083741455732,94.63,0.0,0.0,2587551,69794,8_1,NA,NA,2,99.89,99.89,near,none
human1_DAS_maxbin_105_fasta_contigs-contigs.fa,92.8972665670186,90.6,0.02,100.0,2370233,52066,9_1,NA,NA,2,99.90,99.90,near,low
human1_HV-23_maxbin.051.fasta.contigs.fa,57.91139414744087,73.67,3.57,9.09,1983085,3133,10_1,NA,NA,2,99.89,99.89,substantial,low
human1_HC-18_maxbin.036.fasta.contigs.fa,70.44915146723075,71.43,0.62,0.0,1516181,15814,11_1,NA,NA,2,99.96,99.96,substantial,low
human1_DAS_maxbin_171_fasta_contigs-contigs.fa,100.9319928832623,98.39,0.0,0.0,1866079,111061,12_1,NA,NA,24,99.99,99.56,near,none
human1_D-1_maxbin.003.fasta.contigs.fa,101.68433125764014,99.23,0.0,0.0,2351211,74126,13_1,NA,NA,9,99.98,99.90,near,none
human1_HV-4_maxbin.020.fasta.contigs.fa,99.56685766334674,100.0,0.6,0.0,2793006,124248,14_1,NA,NA,17,99.99,99.91,perfect,low
human1_DAS_maxbin_069_fasta_contigs-contigs.fa,102.35487601007432,100.0,0.07,100.0,3391385,171855,15_1,NA,NA,6,99.91,99.62,perfect,low
human1_DAS_maxbin_098_fasta_contigs-contigs.fa,78.9669278830993,84.68,1.69,66.67,3230458,151499,16_0,NA,NA,1,NA,NA,substantial,low
human1_HC-3_maxbin.028.fasta.contigs.fa,100.95700184642202,98.21,0.0,0.0,3866516,284645,17_1,NA,NA,16,100.00,99.94,near,none
human1_DAS_maxbin_126_fasta_contigs-contigs.fa,77.040690891229,89.28,3.31,54.76,4838542,90798,18_1,NA,NA,2,99.91,99.91,substantial,low
human1_HV-21_maxbin.004.fasta.contigs.fa,100.16928015134452,99.97,0.49,0.0,4880785,181599,19_1,NA,NA,3,99.99,99.96,near,low
human1_HV-1_maxbin.011.fasta.contigs.fa,100.63332475311572,99.37,0.28,0.0,5035364,193732,19_2,NA,NA,15,99.99,99.93,near,low
human1_HV-20_maxbin.005.fasta.contigs.fa,100.7333290966936,98.37,0.0,0.0,2594823,48609,20_1,NA,NA,4,100.00,99.99,near,none
human1_HV-10_maxbin.002.fasta.contigs.fa,100.76732694088948,99.23,0.17,0.0,6850823,54405,21_1,NA,NA,29,99.96,99.91,near,low
human1_DAS_maxbin_026_fasta_contigs-contigs.fa,91.64513749370909,97.59,1.7,0.0,2331683,117575,22_1,NA,NA,4,100.00,100.00,near,low
human1_HV-10_maxbin.006.fasta.contigs.fa,101.74977828772477,98.95,0.0,0.0,1596790,362801,23_1,NA,NA,18,100.00,99.98,near,none
human1_DAS_maxbin_164_fasta_contigs-contigs.fa,98.99263562027832,96.5,0.0,0.0,2004513,88323,24_1,NA,NA,8,99.98,99.92,near,none
human1_DAS_maxbin_161_fasta_contigs-contigs.fa,89.24493377144636,98.78,2.24,0.0,1815015,194925,25_0,NA,NA,1,NA,NA,near,low
human1_HV-9_maxbin.002.fasta.contigs.fa,90.80577547586924,99.07,2.16,0.0,3205934,107642,26_1,NA,NA,4,99.99,99.97,near,low
human1_DAS_maxbin_162_fasta_contigs-contigs.fa,100.17733421006798,97.75,0.0,0.0,2796785,65324,27_1,NA,NA,15,99.99,99.95,near,none
human1_HC-8_maxbin.002.fasta.contigs.fa,101.95300609768869,99.25,0.0,0.0,3512043,232429,28_1,NA,NA,25,100.00,99.95,near,none
human1_HV-21_maxbin.005.fasta.contigs.fa,101.9244189548818,99.63,0.0,0.0,2396292,35396,29_1,NA,NA,7,100.00,99.98,near,none
human1_HC-22_maxbin.008.fasta.contigs.fa,98.33400080828171,99.63,0.75,0.0,2936457,73851,30_1,NA,NA,22,100.00,99.95,near,low
human1_DAS_maxbin_075_fasta_contigs-contigs.fa,102.03043619520848,100.0,0.13,100.0,3287311,115067,31_1,NA,NA,2,100.00,100.00,perfect,low
human1_DAS_maxbin_058_fasta_contigs-contigs.fa,93.0780814842984,93.66,0.7,100.0,2982363,25665,32_1,NA,NA,3,99.82,98.87,near,low
human1_DAS_maxbin_074_fasta_contigs-contigs.fa,66.06927456686826,100.0,7.21,11.11,3201182,39490,33_0,NA,NA,1,NA,NA,perfect,medium
human1_HV-15_maxbin.007.fasta.contigs.fa,101.67736750738956,99.99,0.19,0.0,2495155,171782,34_1,NA,NA,4,99.99,99.98,near,low
human1_DAS_maxbin_163_fasta_contigs-contigs.fa,99.42986442361794,99.11,0.47,0.0,4022708,199739,35_1,NA,NA,6,99.98,99.95,near,low
human1_D-1_maxbin.044.fasta.contigs.fa,91.15093792523705,95.97,1.61,60.0,3117497,31744,36_1,NA,NA,2,99.41,99.41,near,low
human1_DAS_maxbin_159_fasta_contigs-contigs.fa,93.8509291826685,95.64,0.67,0.0,2334237,120742,37_0,NA,NA,1,NA,NA,near,low
human1_DAS_maxbin_102_fasta_contigs-contigs.fa,89.61289231180245,96.98,2.01,16.67,2662751,45502,38_1,NA,NA,9,99.90,99.79,near,low
human1_HV-11_maxbin.026.fasta.contigs.fa,96.11627800660445,93.96,0.0,0.0,2359738,18820,39_1,NA,NA,18,99.96,99.78,near,none
