genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
human1_D-1_maxbin.002.fasta.contigs.fa,95.15,1.4,27.27,4200180,64553,0.9997478
human1_D-1_maxbin.003.fasta.contigs.fa,99.23,0.0,0.0,2351211,74126,0.999345975
human1_D-1_maxbin.004.fasta.contigs.fa,97.99,1.01,0.0,2054820,191066,0.9997496336363636
human1_D-1_maxbin.006.fasta.contigs.fa,66.91,0.89,50.0,1810849,17611,0.0
human1_D-1_maxbin.012.fasta.contigs.fa,85.91,1.02,75.0,2081113,19530,0.9911030679999999
human1_D-1_maxbin.013.fasta.contigs.fa,90.58,16.29,3.28,3264148,64291,0.9984926960000001
human1_D-1_maxbin.015.fasta.contigs.fa,56.46,0.92,16.67,3270198,32301,0.0
human1_D-1_maxbin.017.fasta.contigs.fa,96.98,0.34,0.0,1916913,161100,0.9997242
human1_D-1_maxbin.018.fasta.contigs.fa,78.2,12.53,28.21,3323385,14438,0.9827847875
human1_D-1_maxbin.019.fasta.contigs.fa,80.63,20.13,24.1,4668894,39292,0.0
human1_D-1_maxbin.020.fasta.contigs.fa,13.32,0.0,0.0,2907250,12324,0.0
human1_D-1_maxbin.021.fasta.contigs.fa,91.81,7.95,11.11,3430796,51487,0.9988983034615385
human1_D-1_maxbin.022.fasta.contigs.fa,93.19,18.79,14.29,3432122,22446,0.9954296714285714
human1_D-1_maxbin.023.fasta.contigs.fa,90.33,6.5,2.86,4710355,106886,0.9988914438095235
human1_D-1_maxbin.024.fasta.contigs.fa,86.22,17.23,35.62,4571616,55333,0.9868512945454545
human1_D-1_maxbin.025.fasta.contigs.fa,90.4,3.22,57.14,2688832,28139,0.982113436
human1_D-1_maxbin.026.fasta.contigs.fa,92.62,14.03,6.52,4379205,23771,0.99093327
human1_D-1_maxbin.027.fasta.contigs.fa,87.93,14.81,24.0,2770381,41185,0.99820316
human1_D-1_maxbin.028.fasta.contigs.fa,94.59,1.7,0.0,2238627,117589,0.9999658033333333
human1_D-1_maxbin.029.fasta.contigs.fa,80.64,8.05,11.63,4820538,116189,0.9991580325
human1_D-1_maxbin.031.fasta.contigs.fa,64.91,28.39,40.91,3225622,15087,0.0
human1_D-1_maxbin.032.fasta.contigs.fa,93.55,1.17,20.0,2489011,124248,0.99960308375
human1_D-1_maxbin.033.fasta.contigs.fa,81.97,17.65,8.89,2440739,13838,0.99832138
human1_D-1_maxbin.034.fasta.contigs.fa,97.32,1.34,0.0,2957651,121371,0.9998033438461538
human1_D-1_maxbin.037.fasta.contigs.fa,94.42,0.77,0.0,4720738,91853,0.999659418
human1_D-1_maxbin.038.fasta.contigs.fa,25.22,1.27,0.0,1355180,7766,0.0
human1_D-1_maxbin.039.fasta.contigs.fa,94.83,5.17,33.33,3444487,231698,0.9998364470833332
human1_D-1_maxbin.041.fasta.contigs.fa,75.44,28.07,0.0,2065447,61473,0.0
human1_D-1_maxbin.044.fasta.contigs.fa,95.97,1.61,60.0,3117497,31744,0.9941071
human1_D-1_maxbin.045.fasta_sub.contigs.fa,71.03,37.62,12.9,2570259,50738,0.0
human1_D-1_maxbin.046.fasta_sub.contigs.fa,43.31,6.3,0.0,2127768,17421,0.0
human1_D-1_maxbin.047.fasta.contigs.fa,54.31,5.75,94.44,1971682,209998,0.0
human1_D-1_maxbin.048.fasta.contigs.fa,35.82,0.0,0.0,1770441,259057,0.0
human1_D-1_maxbin.050.fasta.contigs.fa,97.18,7.06,0.0,3213425,66056,0.9875249500000001
human1_D-1_maxbin.051.fasta.contigs.fa,83.12,5.45,41.18,2260255,32944,0.9973787
human1_D-1_maxbin.053.fasta.contigs.fa,97.78,18.07,6.67,3316090,42046,0.999312465
human1_D-1_maxbin.056.fasta.contigs.fa,86.06,4.64,0.0,2425609,50032,0.9998159
human1_D-1_maxbin.058.fasta.contigs.fa,53.92,19.31,21.88,1275809,7209,0.0
human1_D-1_maxbin.061.fasta_sub.contigs.fa,92.68,30.55,3.92,3962163,9093,0.0
human1_D-1_maxbin.062.fasta.contigs.fa,59.65,1.75,0.0,2620052,19784,0.0
human1_D-1_maxbin.064.fasta.contigs.fa,67.32,5.41,4.76,1754404,14042,0.0
human1_D-1_maxbin.065.fasta.contigs.fa,92.03,39.63,63.41,3529755,23990,0.0
human1_D-1_maxbin.066.fasta.contigs.fa,75.85,25.62,24.56,2408593,16967,0.0
human1_D-1_maxbin.067.fasta.contigs.fa,93.68,3.28,22.22,2461386,7023,0.9992316729032258
