Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
human1_D-1_maxbin.002.fasta.contigs.fa,o__Bacteroidales (UID2657),160,491,268,95.15,1.4,27.27,4200180,63099,3675,3675,64553,436,348,331,2787,2669,39.3,5.52,-100.0,-1,-1,14,468,8,1,0,0
human1_D-1_maxbin.003.fasta.contigs.fa,f__Bifidobacteriaceae (UID1462),65,476,217,99.23,0.0,0.0,2351211,23830,1981,1981,74126,421,349,337,3173,3079,33.8,6.06,-100.0,-1,-1,4,472,0,0,0,0
human1_D-1_maxbin.004.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.99,1.01,0.0,2054820,32421,1986,1986,191066,373,306,289,2737,2544,39.2,6.76,-100.0,-1,-1,3,258,2,0,0,0
human1_D-1_maxbin.006.fasta.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,66.91,0.89,50.0,1810849,26002,1780,1780,17611,382,306,291,2303,2158,38.6,6.3,-100.0,-1,-1,113,301,6,0,0,0
human1_D-1_maxbin.012.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,85.91,1.02,75.0,2081113,27198,2076,2076,19530,373,303,290,2181,2070,40.4,4.9,-100.0,-1,-1,28,231,4,0,0,0
human1_D-1_maxbin.013.fasta.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,90.58,16.29,3.28,3264148,44365,3159,3159,64291,378,307,293,2708,2510,39.0,5.46,-100.0,-1,-1,33,328,58,1,0,0
human1_D-1_maxbin.015.fasta.contigs.fa,g__Bacteroides (UID2691),33,839,309,56.46,0.92,16.67,3270198,53193,2642,2642,32301,467,376,356,2263,2136,38.9,4.95,-100.0,-1,-1,358,475,6,0,0,0
human1_D-1_maxbin.017.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,96.98,0.34,0.0,1916913,26641,1829,1829,161100,383,314,299,1758,1653,39.8,6.75,-100.0,-1,-1,5,257,1,0,0,0
human1_D-1_maxbin.018.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,78.2,12.53,28.21,3323385,43029,3318,3319,14438,369,295,281,2405,2280,40.0,7.06,-100.0,-1,-1,63,180,33,2,0,0
human1_D-1_maxbin.019.fasta.contigs.fa,o__Bacteroidales (UID2657),160,492,269,80.63,20.13,24.1,4668894,72960,3944,3944,39292,448,355,337,1886,1805,39.0,4.84,-100.0,-1,-1,100,313,77,2,0,0
