## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_0000000727,12,VIRSorter_0000000727,12,1,2,9.39949996007042,,6.31223928236602,,,
VIRSorter_0000001136,4,VIRSorter_0000001136,4,1,1,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000001417,7,VIRSorter_0000001417,7,1,1,4.30003275114651,,4.13606114410397,,,
VIRSorter_0000001483,4,VIRSorter_0000001483,4,1,1,,5.73806852952241,2.36346351091656,,,
VIRSorter_0000001668,8,VIRSorter_0000001668,8,1,1,2.65574076849211,,4.72692702183311,,,2.29892011493682
VIRSorter_0000003176,12,VIRSorter_0000003176,12,1,2,4.69034523551477,,gene_1-gene_10:3.65364463801165,,,
VIRSorter_0000005609,4,VIRSorter_0000005609,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000006092,12,VIRSorter_0000006092,12,1,2,9.39949996007042,,6.31223928236602,,,
VIRSorter_0000009133,4,VIRSorter_0000009133,4,1,1,3.42505793434989,,2.36346351091656,,,
VIRSorter_0000009876,5,VIRSorter_0000009876,5,1,1,4.24068800435586,,2.95432938864569,,,
VIRSorter_0000011438,10,VIRSorter_0000011438,10,1,1,2.99076999856501,,5.90865877729139,,,
VIRSorter_0000012006,4,VIRSorter_0000012006,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000012806,9,VIRSorter_0000012806,9,1,2,7.63323840784055,,5.31779289956225,,,
VIRSorter_0000012868,4,VIRSorter_0000012868,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000013241,8,VIRSorter_0000013241,8,1,2,5.09143267451538,,3.34336788579149,,,
VIRSorter_0000014722,5,VIRSorter_0000014722,5,1,1,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000017471,6,VIRSorter_0000017471,6,1,2,3.51717519564922,11.85609250107940,3.54519526637483,,,
VIRSorter_0000020416,10,VIRSorter_0000020416,10,1,1,5.24885029689128,,4.43179588839529,,,
VIRSorter_0000020888,8,VIRSorter_0000020888,8,1,1,,5.06970120798838,4.72692702183311,2.43596067191369,,2.29892011493682
VIRSorter_0000023179,7,VIRSorter_0000023179,7,1,2,5.93696320609820,,4.13606114410397,,,
VIRSorter_0000024550,7,VIRSorter_0000024550,7,1,1,2.00453255992896,,2.80793626646615,,,
VIRSorter_0000024933,6,VIRSorter_0000024933,6,1,1,3.51717519564922,2.48039820447215,3.54519526637483,,,
VIRSorter_0000025303,7,VIRSorter_0000025303,7,1,1,3.02752262424226,,,,,
VIRSorter_0000025327,4,VIRSorter_0000025327,4,1,2,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000025345,4,VIRSorter_0000025345,4,1,2,2.01463059939908,,,,,
VIRSorter_0000025930,3,VIRSorter_0000025930,3,1,1,2.54441280261352,,,,,
VIRSorter_0000026169,7,VIRSorter_0000026169,7,1,2,3.02752262424226,,2.80793626646615,,,
VIRSorter_0000026533,7,VIRSorter_0000026533,7,1,1,5.93696320609820,,4.13606114410397,,,
VIRSorter_0000026657,4,VIRSorter_0000026657,4,1,2,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000027336,9,VIRSorter_0000027336,9,1,2,4.49564118482935,,3.88508102084939,,,
VIRSorter_0000027432,6,VIRSorter_0000027432,6,1,2,5.08882560522703,,3.54519526637483,,,
VIRSorter_0000027597,7,VIRSorter_0000027597,7,1,1,3.02752262424226,,2.80793626646615,,,
VIRSorter_0000028249,7,VIRSorter_0000028249,7,1,2,2.00453255992896,,2.80793626646615,,,
VIRSorter_0000030030,8,VIRSorter_0000030030,8,1,2,2.65574076849211,,4.72692702183311,,,
VIRSorter_0000030362,7,VIRSorter_0000030362,7,1,3,5.93696320609820,,4.13606114410397,,,
VIRSorter_0000031301,8,VIRSorter_0000031301,8,1,1,3.75410460607165,,3.34336788579149,,,
VIRSorter_0000031738,8,VIRSorter_0000031738,8,1,1,3.75410460607165,,4.72692702183311,,,
VIRSorter_0000032721,10,VIRSorter_0000032721,10,1,1,2.11019320666663,,3.29803414069408,,,
VIRSorter_0000033964,6,VIRSorter_0000033964,6,1,2,3.51717519564922,,2.28063019090583,,,
VIRSorter_0000034638,5,VIRSorter_0000034638,5,1,2,2.74589609330056,,,,,
VIRSorter_0000034687,9,VIRSorter_0000034687,9,1,2,4.49564118482935,,5.31779289956225,,,
VIRSorter_0000034805,4,VIRSorter_0000034805,4,1,1,2.01463059939908,,,,,
VIRSorter_0000034816,9,VIRSorter_0000034816,9,1,3,5.88939580642299,,3.88508102084939,,,
VIRSorter_0000035113,4,VIRSorter_0000035113,4,1,1,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000036623,7,VIRSorter_0000036623,7,1,1,2.00453255992896,,,,,
VIRSorter_0000039076,10,VIRSorter_0000039076,10,1,3,2.99076999856501,,5.90865877729139,,,
VIRSorter_0000039095,10,VIRSorter_0000039095,10,1,2,5.24885029689128,,3.29803414069408,,,
VIRSorter_0000039948,6,VIRSorter_0000039948,6,1,1,3.51717519564922,,3.54519526637483,,,
VIRSorter_0000040977,6,VIRSorter_0000040977,6,1,1,3.51717519564922,,3.54519526637483,,,
VIRSorter_0000042240,11,VIRSorter_0000042240,11,1,3,4.26576658800130,,6.02240340030086,,,
VIRSorter_0000043499,10,VIRSorter_0000043499,10,1,3,2.99076999856501,,4.43179588839529,,,
VIRSorter_0000043902,7,VIRSorter_0000043902,7,1,2,4.30003275114651,,4.13606114410397,,,
VIRSorter_0000044071,9,VIRSorter_0000044071,9,1,1,3.33293762629512,,2.79997502471284,,,
VIRSorter_0000047003,4,VIRSorter_0000047003,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000048205,9,VIRSorter_0000048205,9,1,4,4.49564118482935,,3.88508102084939,,,
VIRSorter_0000048638,9,VIRSorter_0000048638,9,1,2,2.35751080180485,,3.88508102084939,,,
VIRSorter_0000049200,13,VIRSorter_0000049200,13,1,4,8.12466230921207,,5.09380581471979,,,
VIRSorter_0000049524,3,VIRSorter_0000049524,3,1,1,2.54441280261352,,,,,
VIRSorter_0000051448,4,VIRSorter_0000051448,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000053495,9,VIRSorter_0000053495,9,1,1,3.33293762629512,,5.31779289956225,,,
VIRSorter_0000053815,6,VIRSorter_0000053815,6,1,2,3.51717519564922,,2.28063019090583,,,
VIRSorter_0000054545,3,VIRSorter_0000054545,3,1,1,2.54441280261352,,,,,
VIRSorter_0000054934,14,VIRSorter_0000054934,14,1,1,2.48093307818463,,7.09603102915226,,,
VIRSorter_0000055013,13,VIRSorter_0000055013,13,1,3,6.55835165220627,,6.68125641047880,,,
VIRSorter_0000055139,4,VIRSorter_0000055139,4,1,2,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000055750,7,VIRSorter_0000055750,7,1,4,4.30003275114651,,4.13606114410397,,,
VIRSorter_0000056764,4,VIRSorter_0000056764,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000057212,7,VIRSorter_0000057212,7,1,1,2.00453255992896,,4.13606114410397,,,
VIRSorter_0000058438,17,VIRSorter_0000058438,17,1,2,9.15613882460138,,8.48841742062807,,,
VIRSorter_0000058573,4,VIRSorter_0000058573,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000059361,3,VIRSorter_0000059361,3,1,1,2.54441280261352,,,,,
VIRSorter_0000059467,4,VIRSorter_0000059467,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000059674,6,VIRSorter_0000059674,6,1,1,2.32079407622154,,3.54519526637483,,,
VIRSorter_0000059875,6,VIRSorter_0000059875,6,1,2,2.32079407622154,,3.54519526637483,,,
VIRSorter_0000060696,6,VIRSorter_0000060696,6,1,1,3.51717519564922,,3.54519526637483,,,
VIRSorter_0000061519,5,VIRSorter_0000061519,5,1,3,2.74589609330056,,,,,
VIRSorter_0000062189,8,VIRSorter_0000062189,8,1,2,2.65574076849211,,3.34336788579149,,,
VIRSorter_0000062743,4,VIRSorter_0000062743,4,1,1,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000063205,4,VIRSorter_0000063205,4,1,2,3.39255040348469,,2.36346351091656,,,
