genome,cluster,score
human1_D-1_metabat2.153.fa.contigs.fa,1_0,74.0896743586568
human1_DAS_metabat2_185_fa_contigs-contigs.fa,2_0,85.25810897846507
human1_DAS_maxbin_122_fasta_contigs-contigs.fa,3_0,70.49548734238549
human1_DAS_maxbin_133_fasta_contigs-contigs.fa,4_0,71.20103223052685
human1_DAS_maxbin_139_fasta_contigs-contigs.fa,5_0,74.49101195326165
human1_DAS_metabat2_197_fa_contigs-contigs.fa,6_1,90.80249754514917
human1_D-1_maxbin.068.fasta.contigs.fa,7_0,35.84845933304452
human1_DAS_metabat2_116_fa_contigs-contigs.fa,8_1,97.10083741455732
human1_DAS_maxbin_105_fasta_contigs-contigs.fa,9_1,92.9272665670186
human1_HV-23_maxbin.051.fasta.contigs.fa,10_1,57.94139414744086
human1_HC-18_maxbin.036.fasta.contigs.fa,11_1,70.47915146723075
human1_DAS_maxbin_171_fasta_contigs-contigs.fa,12_1,100.9619928832623
human1_D-1_maxbin.003.fasta.contigs.fa,13_1,101.71433125764014
human1_HV-4_maxbin.020.fasta.contigs.fa,14_1,99.59685766334673
human1_DAS_maxbin_069_fasta_contigs-contigs.fa,15_1,102.38487601007432
human1_DAS_maxbin_098_fasta_contigs-contigs.fa,16_0,78.9969278830993
human1_HC-3_maxbin.028.fasta.contigs.fa,17_1,100.98700184642202
human1_DAS_maxbin_126_fasta_contigs-contigs.fa,18_1,77.070690891229
human1_HV-1_maxbin.011.fasta.contigs.fa,19_1,100.65871258156109
human1_HV-20_maxbin.005.fasta.contigs.fa,20_1,100.7633290966936
human1_HV-10_maxbin.002.fasta.contigs.fa,21_1,100.79732694088949
human1_DAS_maxbin_026_fasta_contigs-contigs.fa,22_1,91.67513749370907
human1_HV-10_maxbin.006.fasta.contigs.fa,23_1,101.77977828772474
human1_DAS_maxbin_164_fasta_contigs-contigs.fa,24_1,99.02263562027831
human1_DAS_maxbin_161_fasta_contigs-contigs.fa,25_0,89.27493377144636
human1_HV-9_maxbin.002.fasta.contigs.fa,26_1,90.83577547586923
human1_DAS_maxbin_162_fasta_contigs-contigs.fa,27_1,100.20733421006798
human1_HC-8_maxbin.002.fasta.contigs.fa,28_1,101.98300609768867
human1_HV-21_maxbin.005.fasta.contigs.fa,29_1,101.9544189548818
human1_HC-22_maxbin.008.fasta.contigs.fa,30_1,98.36400080828172
human1_DAS_maxbin_075_fasta_contigs-contigs.fa,31_1,102.06043619520845
human1_DAS_maxbin_058_fasta_contigs-contigs.fa,32_1,93.1080814842984
human1_DAS_maxbin_074_fasta_contigs-contigs.fa,33_0,66.09927456686826
human1_HV-15_maxbin.007.fasta.contigs.fa,34_1,101.70736750738956
human1_DAS_maxbin_163_fasta_contigs-contigs.fa,35_1,99.45986442361794
human1_D-1_maxbin.044.fasta.contigs.fa,36_1,91.18093792523705
human1_DAS_maxbin_159_fasta_contigs-contigs.fa,37_0,93.8809291826685
human1_DAS_maxbin_102_fasta_contigs-contigs.fa,38_1,89.64289275805245
human1_HV-11_maxbin.026.fasta.contigs.fa,39_1,96.14627800660443
human1_DAS_maxbin_137_fasta_contigs-contigs.fa,40_0,96.511425157091
human1_DAS_metabat2_174_fa_contigs-contigs.fa,41_0,86.19380954346819
human1_HC-7_maxbin.014.fasta.contigs.fa,42_1,101.16520277454825
human1_HV-11_maxbin.007.fasta.contigs.fa,43_1,102.61159515177091
human1_DAS_maxbin_045_fasta_contigs-contigs.fa,44_0,59.5383077737786
human1_HV-17_maxbin.018.fasta.contigs.fa,45_1,98.53876672798155
human1_DAS_metabat2_261_fa_contigs-contigs.fa,46_1,87.74090030350962
human1_DAS_maxbin_054_fasta_contigs-contigs.fa,47_1,73.46089713621365
human1_DAS_maxbin_057_fasta_contigs-contigs.fa,48_0,34.31002290316135
human1_DAS_metabat2_240_fa_contigs-contigs.fa,49_0,71.95955984301396
human1_HC-23_maxbin.004.fasta.contigs.fa,50_1,97.00675776959238
human1_D-1_maxbin.034.fasta.contigs.fa,51_1,93.2118608089435
human1_D-1_maxbin.017.fasta.contigs.fa,52_1,97.93327197020962
human1_HC-4_maxbin.033.fasta.contigs.fa,53_1,70.80773118102873
human1_DAS_maxbin_124_fasta_contigs-contigs.fa,54_0,91.75073187285706
human1_HC-10_maxbin.006.fasta.contigs.fa,55_1,94.20716144242989
human1_HC-6_maxbin.009.fasta.contigs.fa,56_1,98.97290646217756
human1_HV-19_maxbin.003.fasta.contigs.fa,57_1,97.59112790745125
human1_HV-10_maxbin.005.fasta.contigs.fa,58_1,95.13102531818089
