genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
human1_HC-18_maxbin.036.fasta.contigs.fa,70.47915146723075,71.43,0.62,0.0,1516181,15814,1_1,NA,NA,2,99.96,99.96,substantial,low
human1_HC-24_maxbin.018.fasta.contigs.fa,100.3354065890437,97.58,0.0,0.0,1764014,258548,2_1,NA,NA,23,100.00,99.52,near,none
human1_D-1_maxbin.003.fasta.contigs.fa,101.714265039783,99.23,0.0,0.0,2351211,74126,3_1,NA,NA,8,99.95,99.90,near,none
human1_HC-19_maxbin.028.fasta.contigs.fa,73.32145639713316,71.24,0.07,100.0,2148032,42401,4_1,NA,NA,5,99.85,99.59,substantial,low
human1_HV-4_maxbin.020.fasta.contigs.fa,99.59665214209672,100.0,0.6,0.0,2793006,124248,5_1,NA,NA,17,99.99,99.66,perfect,low
human1_HC-17_maxbin.029.fasta.contigs.fa,32.278599273740284,91.95,12.3,6.9,2377312,7241,6_0,NA,NA,1,NA,NA,near,high
human1_HV-23_maxbin.051.fasta.contigs.fa,56.94249319744086,73.67,3.57,9.09,1983085,3133,7_0,NA,NA,1,NA,NA,substantial,low
human1_HC-24_maxbin.032.fasta.contigs.fa,77.37751467508618,93.88,3.76,0.0,3023254,31597,8_1,NA,NA,2,99.77,99.77,near,low
human1_D-1_maxbin.068.fasta.contigs.fa,35.84845933304452,75.34,8.21,5.88,2397893,11257,9_0,NA,NA,1,NA,NA,substantial,medium
human1_HC-3_maxbin.028.fasta.contigs.fa,100.98700267046964,98.21,0.0,0.0,3866516,284645,10_1,NA,NA,15,100.00,99.94,near,none
human1_HV-1_maxbin.011.fasta.contigs.fa,100.65871258156108,99.37,0.28,0.0,5035364,193732,11_1,NA,NA,18,99.99,97.34,near,low
human1_HC-23_maxbin.038.fasta.contigs.fa,27.49929521261373,92.01,14.84,59.09,4730902,5504,12_0,NA,NA,1,NA,NA,near,high
human1_HV-20_maxbin.005.fasta.contigs.fa,100.76332654336026,98.37,0.0,0.0,2594823,48609,13_1,NA,NA,3,100.00,99.99,near,none
human1_HV-10_maxbin.002.fasta.contigs.fa,100.79733151028104,99.23,0.17,0.0,6850823,54405,14_1,NA,NA,28,99.96,99.91,near,low
human1_HV-10_maxbin.006.fasta.contigs.fa,101.77977555334977,98.95,0.0,0.0,1596790,362801,15_1,NA,NA,17,100.00,99.98,near,none
human1_HC-21_maxbin.017.fasta.contigs.fa,68.4996413440107,77.6,2.17,0.0,3145403,2671,16_1,NA,NA,2,98.63,98.63,substantial,low
human1_HC-16_maxbin.018.fasta.contigs.fa,90.18053305853016,97.17,1.89,50.0,3298247,85323,17_0,NA,NA,1,NA,NA,near,low
human1_HV-23_maxbin.040.fasta.contigs.fa,81.42907188682464,79.31,0.0,0.0,4167025,13774,18_1,NA,NA,5,99.97,99.94,substantial,none
human1_HC-4_maxbin.029.fasta.contigs.fa,82.70321817363006,86.74,1.28,0.0,1490572,42371,19_1,NA,NA,7,99.99,99.94,substantial,low
human1_HV-9_maxbin.002.fasta.contigs.fa,90.83576179920256,99.07,2.16,0.0,3205934,107642,20_1,NA,NA,3,99.99,99.97,near,low
human1_HV-15_maxbin.007.fasta.contigs.fa,101.70738529738956,99.99,0.19,0.0,2495155,171782,21_1,NA,NA,3,99.99,99.99,near,low
human1_HC-17_maxbin.023.fasta.contigs.fa,96.43219449992004,99.25,1.09,16.67,2998634,63299,22_1,NA,NA,14,99.99,99.96,near,low
human1_HC-8_maxbin.002.fasta.contigs.fa,101.9830016429423,99.25,0.0,0.0,3512043,232429,23_1,NA,NA,24,100.00,99.95,near,none
human1_HV-21_maxbin.005.fasta.contigs.fa,101.95443750721512,99.63,0.0,0.0,2396292,35396,24_1,NA,NA,6,100.00,100.00,near,none
human1_HC-22_maxbin.008.fasta.contigs.fa,98.36401594218648,99.63,0.75,0.0,2936457,73851,25_1,NA,NA,21,100.00,99.95,near,low
human1_D-1_maxbin.028.fasta.contigs.fa,88.67514615352849,94.59,1.7,0.0,2238627,117589,26_1,NA,NA,3,100.00,100.00,near,low
human1_HV-3_maxbin.036.fasta.contigs.fa,82.62431280557402,90.04,1.9,0.0,1930096,11768,27_1,NA,NA,8,99.93,99.81,near,low
human1_HV-11_maxbin.026.fasta.contigs.fa,96.14627800660443,93.96,0.0,0.0,2359738,18820,28_1,NA,NA,18,99.96,99.78,near,none
human1_D-1_maxbin.044.fasta.contigs.fa,90.18683082523704,95.97,1.61,60.0,3117497,31744,29_0,NA,NA,1,NA,NA,near,low
human1_HC-7_maxbin.014.fasta.contigs.fa,101.16520460318266,98.63,0.0,0.0,2697314,93496,30_1,NA,NA,31,99.99,99.93,near,none
human1_HV-17_maxbin.018.fasta.contigs.fa,98.53878801431487,95.92,0.0,0.0,2969963,137925,31_1,NA,NA,6,99.91,99.89,near,none
human1_HC-15_maxbin.026.fasta.contigs.fa,1.7448665546024804,85.9,17.57,10.87,3156805,2973,32_1,NA,NA,2,99.84,99.84,substantial,very high
human1_HV-11_maxbin.007.fasta.contigs.fa,102.61167274188632,100.0,0.0,0.0,2685467,133141,33_1,NA,NA,40,99.99,99.83,perfect,none
human1_D-1_maxbin.051.fasta.contigs.fa,59.42319816463698,83.12,5.45,41.18,2260255,32944,34_0,NA,NA,1,NA,NA,substantial,medium
