genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
chicken1_DAS_maxbin_304_fasta_contigs-contigs.fa,91.76414116454744,89.01,0.0,0.0,1016189,293956,1_1,NA,NA,2,100.00,100.00,substantial,none
chicken1_concoct_20_refined_2_Bin_9_2-contigs.fa,65.84266728612234,71.69,1.73,25.0,1291224,50308,2_1,NA,NA,2,99.93,99.93,substantial,low
chicken1_concoct_20_refined_2_Bin_4_3_1-contigs.fa,67.76713623392476,75.21,2.01,20.0,1586664,23457,3_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_DAS_maxbin_255_fasta_contigs-contigs.fa,57.13171101890112,74.53,3.79,9.09,2307620,23681,4_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_310_fasta_contigs-contigs.fa,78.08107435390542,78.37,0.35,0.0,1519299,76234,5_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_9_6_1-contigs.fa,44.54008506320215,72.31,6.01,13.64,2064084,75970,6_0,NA,NA,1,NA,NA,substantial,medium
chicken1_DAS_metabat2_158_fa_contigs-contigs.fa,89.67655449060173,87.47,0.0,0.0,1247546,23611,7_1,NA,NA,2,100.00,100.00,substantial,none
chicken1_concoct_20_refined_2_Bin_4_6-contigs.fa,87.11873119806997,87.19,0.51,80.0,1619367,12633,8_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_DAS_maxbin_227_fasta_contigs-contigs.fa,2.567860188274564,85.32,18.2,39.02,2815168,17883,9_0,NA,NA,1,NA,NA,substantial,very high
chicken1_DAS_maxbin_280_fasta_contigs-contigs.fa,88.57643797631455,91.01,0.75,0.0,1455414,39163,10_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_14_3-contigs.fa,86.15638247304483,94.92,2.65,79.17,6347987,54545,11_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_7_6_1-contigs.fa,99.60631168062464,97.0,0.0,0.0,2959585,148807,12_1,NA,NA,2,100.00,100.00,near,none
chicken1_DAS_maxbin_053_fasta_contigs-contigs.fa,96.9060291974445,98.11,0.75,0.0,3861466,112747,13_1,NA,NA,2,100.00,100.00,near,low
chicken1_DAS_maxbin_079_fasta_contigs-contigs.fa,97.51355000469468,95.19,0.0,0.0,2242110,40467,14_1,NA,NA,2,100.00,100.00,near,none
chicken1_DAS_maxbin_070_fasta_contigs-contigs.fa,102.5462546300953,100.0,0.0,0.0,3909787,112852,15_1,NA,NA,2,100.00,100.00,perfect,none
chicken1_concoct_20_refined_2_Bin_14_8-contigs.fa,96.2030601205841,96.42,0.6,25.0,5619161,168314,16_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_4_2_1-contigs.fa,84.28845522983396,90.11,1.65,0.0,1812573,65601,17_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_8_1_1-contigs.fa,98.24016884179451,96.7,0.13,0.0,2610001,21899,18_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_8_2_1-contigs.fa,85.26349562473743,97.17,2.83,0.0,2403433,27992,19_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_18_5_1-contigs.fa,78.17714945042935,92.78,3.43,0.0,5165901,113318,20_1,NA,NA,2,100.00,100.00,near,low
chicken1_DAS_maxbin_127_fasta_contigs-contigs.fa,91.13310380737433,98.58,2.05,0.0,5165740,368305,21_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_14_1-contigs.fa,75.23854944324297,87.38,2.94,0.0,4751955,119426,22_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,78.40347850093792,83.33,1.42,0.0,1911713,20284,23_1,NA,NA,2,99.99,99.99,substantial,low
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,69.85425440382825,72.94,0.79,0.0,1460748,4881,24_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_9_13_1-contigs.fa,91.0639673072112,91.57,0.56,0.0,1243872,35313,25_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,66.44681529008223,75.56,2.25,0.0,981370,17125,26_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_DAS_maxbin_270_fasta_contigs-contigs.fa,-7.137819092548551,83.71,18.7,8.33,1929535,14091,27_0,NA,NA,1,NA,NA,substantial,very high
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,63.19975169236398,86.63,5.06,20.0,1205518,4737,28_0,NA,NA,1,NA,NA,substantial,medium
chicken1_concoct_20_refined_2_Bin_10_3-contigs.fa,82.8340922540367,88.41,1.56,25.0,5783880,4248,29_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_concoct_20_refined_2_Bin_13_8-contigs.fa,82.6917839238094,96.39,3.66,66.67,3411116,19201,30_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_16_1-contigs.fa,75.1451184719554,85.32,2.49,50.0,2753978,10477,31_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_7_4_1-contigs.fa,87.07493254642097,96.51,2.42,50.0,3548458,74108,32_0,NA,NA,1,NA,NA,near,low
chicken1_DAS_maxbin_318_fasta_contigs-contigs.fa,92.73564769794832,94.13,0.79,66.67,6529212,10421,33_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,99.405806935151,98.21,0.34,100.0,2747622,118051,34_1,NA,NA,2,99.98,99.98,near,low
chicken1_concoct_20_refined_2_Bin_5_6-contigs.fa,91.48960415109288,90.1,0.0,0.0,2088163,54854,35_0,NA,NA,1,NA,NA,near,none
chicken1_DAS_maxbin_165_fasta_contigs-contigs.fa,97.62045379166752,95.3,0.0,0.0,2989489,39894,36_1,NA,NA,2,100.00,100.00,near,none
chicken1_DAS_maxbin_073_fasta_contigs-contigs.fa,85.38688079174955,97.99,2.77,0.0,3786821,28429,37_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_7_9_1-contigs.fa,93.77207635358565,100.0,1.74,0.0,4907923,80196,38_1,NA,NA,2,100.00,100.00,perfect,low
chicken1_concoct_20_refined_2_Bin_7_12-contigs.fa,92.38339212104012,98.95,1.79,0.0,2191757,53307,39_1,NA,NA,2,100.00,100.00,near,low
chicken1_DAS_maxbin_010_fasta_contigs-contigs.fa,94.85700485468487,92.62,0.0,0.0,2169643,27165,40_1,NA,NA,2,100.00,100.00,near,none
chicken1_concoct_20_refined_2_Bin_9_7-contigs.fa,86.0673456341911,84.56,0.0,0.0,2025262,94339,41_0,NA,NA,1,NA,NA,substantial,none
chicken1_DAS_maxbin_143_fasta_contigs-contigs.fa,84.64324720769336,86.58,0.89,0.0,2790886,96940,42_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_concoct_20_refined_2_Bin_15_4-contigs.fa,96.92113877346384,94.63,0.0,0.0,2734753,34856,43_1,NA,NA,2,100.00,100.00,near,none
chicken1_concoct_20_refined_2_Bin_7_5_1-contigs.fa,93.5699758777413,91.35,0.05,0.0,2411408,79424,44_1,NA,NA,2,100.00,100.00,near,low
chicken1_DAS_maxbin_077_fasta_contigs-contigs.fa,4.064443532608763,89.92,17.93,13.33,2427218,58715,45_0,NA,NA,1,NA,NA,substantial,very high
chicken1_DAS_maxbin_256_fasta_contigs-contigs.fa,93.45455792209252,92.34,0.23,50.0,1987119,18160,46_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_8_4_1-contigs.fa,65.02721251439851,92.34,6.1,12.5,2351585,64480,47_1,NA,NA,2,100.00,100.00,near,medium
chicken1_DAS_maxbin_074_fasta_sub_contigs-contigs.fa,46.3220017401658,71.34,5.27,0.0,2603787,42073,48_0,NA,NA,1,NA,NA,substantial,medium
chicken1_DAS_maxbin_196_fasta_contigs-contigs.fa,69.87893135786312,77.56,1.79,16.67,1758159,7963,49_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_252_fasta_contigs-contigs.fa,73.67579156485812,72.15,0.0,0.0,1577927,102703,50_0,NA,NA,1,NA,NA,substantial,none
chicken1_concoct_20_refined_2_Bin_0_4-contigs.fa,80.01332553854444,80.73,0.34,0.0,1585675,8446,51_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_291_fasta_contigs-contigs.fa,85.57945528858778,84.85,0.07,100.0,1435960,9526,52_0,NA,NA,1,NA,NA,substantial,low
