user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Bin_0_1-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000431535	GCA_000431535.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000431535	99.15	0.99	GCA_000431535.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000431535	99.15	0.99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546785.1, s__Eubacterium_R sp900546785, 95.0, 80.86, 0.73; GCA_900539425.1, s__Eubacterium_R sp900539425, 95.0, 79.22, 0.63; GCA_900539845.1, s__Eubacterium_R sp900539845, 95.0, 78.83, 0.62; GCA_900547915.1, s__Eubacterium_R sp900547915, 95.0, 78.52, 0.46; GCA_900540305.1, s__Eubacterium_R sp900540305, 95.0, 77.48, 0.29; GCA_000433975.1, s__Eubacterium_R sp000433975, 95.0, 77.48, 0.33; GCA_900539775.1, s__Eubacterium_R sp900539775, 95.0, 77.2, 0.25; GCA_900543795.1, s__Eubacterium_R sp900543795, 95.0, 76.98, 0.23; GCA_014465955.1, s__Eubacterium_R sp014465955, 95.0, 76.86, 0.16; GCA_002361935.1, s__Eubacterium_R sp002361935, 95.0, 76.48, 0.18; GCA_900539325.1, s__Eubacterium_R sp900539325, 95.0, 76.47, 0.06; GCA_900555015.1, s__Eubacterium_R sp900555015, 95.0, 76.45, 0.12; GCA_002329285.1, s__Eubacterium_R sp002329285, 95.0, 76.45, 0.21; GCA_000436835.1, s__Eubacterium_R sp000436835, 95.0, 76.42, 0.09; GCF_900761545.1, s__Eubacterium_R sp900761545, 95.0, 76.34, 0.12; GCF_011958665.1, s__Eubacterium_R sp011958665, 95.0, 76.34, 0.1; GCA_009774715.1, s__Eubacterium_R sp009774715, 95.0, 76.33, 0.07; GCA_002494125.1, s__Eubacterium_R sp002494125, 95.0, 76.2, 0.04; GCA_900321905.1, s__Eubacterium_R sp900321905, 95.0, 76.17, 0.05; GCF_900167205.1, s__Eubacterium_R coprostanoligenes, 95.0, 76.16, 0.05; GCA_000434995.1, s__Eubacterium_R sp000434995, 95.0, 76.12, 0.08; GCA_003526845.1, s__Eubacterium_R sp003526845, 95.0, 75.95, 0.08; GCF_900772705.1, s__Eubacterium_R sp900772705, 95.0, 75.93, 0.06; GCA_002493325.1, s__Eubacterium_R sp002493325, 95.0, 75.92, 0.07; GCA_900316345.1, s__Eubacterium_R sp900316345, 95.0, 75.92, 0.07; GCA_009774735.1, s__Eubacterium_R sp009774735, 95.0, 75.9, 0.07; GCF_900767025.1, s__Eubacterium_R sp900767025, 95.0, 75.83, 0.12; GCF_900766895.1, s__Eubacterium_R sp900766895, 95.0, 75.81, 0.05; GCA_900542875.1, s__Eubacterium_R sp900542875, 95.0, 75.72, 0.05; GCA_002371215.1, s__Eubacterium_R sp002371215, 95.0, 75.71, 0.06; GCA_900539165.1, s__Eubacterium_R sp900539165, 95.0, 75.7, 0.04; GCA_900544515.1, s__Eubacterium_R sp900544515, 95.0, 75.67, 0.06; GCA_900540235.1, s__Eubacterium_R sp900540235, 95.0, 75.67, 0.07; GCA_002493595.1, s__Eubacterium_R sp002493595, 95.0, 75.46, 0.05; GCA_900548085.1, s__Eubacterium_R sp900548085, 95.0, 75.41, 0.03; GCF_900764665.1, s__Eubacterium_R sp900764665, 95.0, 75.4, 0.06	68.14	11	N/A	N/A
Bin_0_10-contigs	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	80.94	11	0.8018744229835055	N/A
Bin_0_11_1-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__An172;s__An172 sp002160515	GCF_002160515.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__An172;s__An172 sp002160515	98.04	0.98	GCF_002160515.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__An172;s__An172 sp002160515	98.04	0.98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	54.12	11	N/A	N/A
Bin_0_12-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409 sp002338885	GCA_002338885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409 sp002338885	99.06	0.86	GCA_002338885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409 sp002338885	99.06	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900760125.1, s__UBA1409 sp900760125, 95.0, 77.5, 0.2; GCA_002491605.1, s__UBA1409 sp002491605, 95.0, 77.15, 0.2; GCA_900553675.1, s__UBA1409 sp900553675, 95.0, 76.97, 0.18; GCA_002305045.1, s__UBA1409 sp002305045, 95.0, 76.79, 0.2	74.33	11	N/A	N/A
Bin_0_13_1-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	ANI	N/A	GCA_900549005.1, s__UBA11940 sp900549005, 95.0, 77.73, 0.36; GCA_003503945.1, s__UBA11940 sp003503945, 95.0, 76.86, 0.11; GCA_003979335.1, s__UBA11940 sp003979335, 95.0, 76.3, 0.04; GCA_013316055.1, s__UBA11940 sp013316055, 95.0, 76.21, 0.13	63.03	11	0.9263563639899128	N/A
Bin_0_14-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__CAG-1435 sp000433775	GCA_000433775.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__CAG-1435 sp000433775	98.08	0.9	GCA_000433775.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__CAG-1435 sp000433775	98.08	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003537755.1, s__CAG-1435 sp003537755, 95.0, 77.98, 0.21; GCF_900769665.1, s__CAG-1435 sp900769665, 95.0, 77.77, 0.2	59.46	11	N/A	N/A
Bin_0_3-contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900021155	GCF_900021155.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900021155	99.48	0.93	GCF_900021155.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900021155	99.48	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_009774895.1, s__Alistipes sp009774895, 95.0, 81.8, 0.62; GCF_006542685.1, s__Alistipes dispar, 95.0, 81.23, 0.53; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 81.02, 0.49; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 80.85, 0.51; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 80.81, 0.53; GCF_000210575.1, s__Alistipes shahii, 95.0, 80.79, 0.56; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 80.63, 0.47; GCF_900083545.1, s__Alistipes provencensis, 95.0, 80.53, 0.53; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 80.52, 0.52; GCF_900107675.1, s__Alistipes timonensis, 95.0, 80.5, 0.51; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.48, 0.48; GCF_902362705.1, s__Alistipes sp002358415, 95.0, 80.46, 0.45; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 80.35, 0.45; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 80.3, 0.44; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 80.27, 0.51; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 80.08, 0.42; GCF_900604385.1, s__Alistipes megaguti, 95.0, 80.07, 0.47; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 80.04, 0.33; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 80.02, 0.46; GCF_006542665.1, s__Alistipes communis, 95.0, 79.98, 0.45; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 79.93, 0.44; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 79.7, 0.42; GCF_902363575.1, s__Alistipes sp902363575, 95.0, 79.62, 0.45; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 79.02, 0.42; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 79.02, 0.3; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 78.78, 0.35; GCF_000154465.1, s__Alistipes putredinis, 95.0, 78.75, 0.36; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 78.02, 0.29; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.89, 0.25; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.74, 0.22; GCA_900768045.1, s__Alistipes sp900768045, 95.0, 77.34, 0.03; GCA_900761235.1, s__Alistipes sp900761235, 95.0, 77.26, 0.18; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.11, 0.16; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.08, 0.21; GCA_900770635.1, s__Alistipes sp900770635, 95.0, 76.69, 0.05; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.67, 0.13; GCA_900769445.1, s__Alistipes sp900769445, 95.0, 76.6, 0.04; GCA_900769405.1, s__Alistipes sp900769405, 95.0, 76.52, 0.14; GCA_900769745.1, s__Alistipes sp900769745, 95.0, 76.34, 0.05; GCA_900770585.1, s__Alistipes sp900770585, 95.0, 76.25, 0.12; GCA_900768015.1, s__Alistipes sp900768015, 95.0, 76.12, 0.09; GCA_900769525.1, s__Alistipes sp900769525, 95.0, 75.45, 0.04; GCA_900766655.1, s__Alistipes sp900766655, 95.0, 75.12, 0.04	80.92	11	N/A	N/A
Bin_0_4-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp002314305	GCA_002314305.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp002314305	97.97	0.76	GCA_002314305.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp002314305	97.97	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900545625.1, s__CAG-180 sp900545625, 95.0, 94.66, 0.86; GCA_004555265.1, s__CAG-180 sp004555265, 95.0, 77.46, 0.31; GCF_900766945.1, s__CAG-180 sp900766945, 95.0, 77.37, 0.24; GCA_900540295.1, s__CAG-180 sp900540295, 95.0, 77.18, 0.28; GCA_002490525.1, s__CAG-180 sp002490525, 95.0, 76.71, 0.18; GCA_002437245.1, s__CAG-180 sp002437245, 95.0, 76.45, 0.04; GCA_000432435.1, s__CAG-180 sp000432435, 95.0, 76.0, 0.07; GCA_002361875.1, s__CAG-180 sp002361875, 95.0, 75.95, 0.04; GCA_002490425.1, s__CAG-180 sp002490425, 95.0, 75.9, 0.04; GCA_900315985.1, s__CAG-180 sp900315985, 95.0, 75.76, 0.04; GCA_004556705.1, s__CAG-180 sp004556705, 95.0, 75.47, 0.04	67.56	11	N/A	N/A
Bin_0_5-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__CABKMX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_902373595.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__CABKMX01;s__CABKMX01 sp902373595	76.72	0.12	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	69.57	11	0.8533092026255321	N/A
Bin_0_6_1-contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	70.44	11	0.842965884390126	N/A
