genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
chicken1_D12_maxbin.005.fasta.contigs.fa,97.78280930449266,95.29,0.0,0.0,2042191,76902,1_1,NA,NA,8,99.99,99.98,near,none
chicken1_D43_maxbin.004.fasta.contigs.fa,19.246989208018675,82.76,13.17,7.89,1641762,31315,2_0,NA,NA,1,NA,NA,substantial,high
chicken1_C-2_maxbin.004.fasta.contigs.fa,102.46999292816648,100.0,0.02,0.0,3976577,109696,3_1,NA,NA,22,100.00,99.97,perfect,low
chicken1_D15_maxbin.006.fasta.contigs.fa,98.0963175442174,98.17,0.59,16.67,5748251,286775,4_1,NA,NA,2,99.92,99.92,near,low
chicken1_D43_maxbin.043.fasta.contigs.fa,35.48189791635426,77.25,8.73,7.69,1657151,20947,5_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D36_maxbin.017.fasta.contigs.fa,91.506793992937,89.04,0.0,0.0,2585828,68221,6_1,NA,NA,22,99.99,99.96,substantial,none
chicken1_D2_maxbin.008.fasta.contigs.fa,75.331017469833,77.34,0.89,0.0,1387370,60555,7_1,NA,NA,26,100.00,99.96,substantial,low
chicken1_D2_maxbin.006.fasta.contigs.fa,69.35414253379565,74.65,1.57,0.0,2049782,102051,8_1,NA,NA,8,100.00,99.90,substantial,low
chicken1_D43_maxbin.026.fasta.contigs.fa,46.80766781541923,70.29,5.01,6.67,2189562,23281,9_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D43_maxbin.038.fasta.contigs.fa,59.27388185423649,88.2,6.18,12.5,1719357,20080,10_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D11_maxbin.022.fasta.contigs.fa,100.13540582991833,97.38,0.0,0.0,2966835,257716,11_1,NA,NA,28,100.00,99.95,near,none
chicken1_D41_maxbin.037.fasta.contigs.fa,97.7932820209152,99.06,0.75,0.0,3506121,73586,12_1,NA,NA,8,99.99,99.98,near,low
chicken1_C-2_maxbin.005.fasta.contigs.fa,101.5575058389913,99.25,0.0,0.0,2522727,33229,13_1,NA,NA,17,100.00,99.35,near,none
chicken1_D2_maxbin.031.fasta.contigs.fa,100.32613394387454,98.11,0.0,0.0,2563091,21730,14_1,NA,NA,15,99.84,99.48,near,none
chicken1_D12_maxbin.014.fasta.contigs.fa,96.98326377036712,95.28,0.13,0.0,2550026,40933,15_1,NA,NA,20,100.00,98.73,near,low
chicken1_D27_maxbin.013.fasta.contigs.fa,74.6940695618127,87.59,3.09,0.0,5699074,102100,16_1,NA,NA,14,99.97,99.94,substantial,low
chicken1_C-4_maxbin.010.fasta.contigs.fa,83.24262099656741,92.57,2.42,0.0,5621225,279517,17_1,NA,NA,4,99.98,99.88,near,low
chicken1_D20_maxbin.029.fasta.contigs.fa,31.193564459703143,88.68,11.87,3.57,2698535,60202,18_0,NA,NA,1,NA,NA,substantial,high
chicken1_D31_maxbin.056.fasta.contigs.fa,50.55949053332907,77.31,5.5,0.0,2528033,2506,19_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D41_maxbin.015.fasta.contigs.fa,23.711793451375,90.03,13.92,5.26,3249282,99959,20_1,NA,NA,2,99.97,99.97,near,high
chicken1_D9_maxbin.024.fasta.contigs.fa,100.07132423840068,97.47,0.0,0.0,2549293,128897,21_1,NA,NA,12,99.99,98.13,near,none
chicken1_D21_maxbin.011.fasta.contigs.fa,96.66338884047656,97.45,0.63,0.0,5761706,42384,22_1,NA,NA,2,99.98,99.98,near,low
chicken1_D15_maxbin.012.fasta.contigs.fa,100.01463449282768,97.47,0.0,0.0,2932833,99875,23_1,NA,NA,16,99.96,99.25,near,none
chicken1_D16_maxbin.006.fasta_sub.contigs.fa,87.16961788859307,91.06,1.27,0.0,4242726,66397,24_1,NA,NA,5,99.94,99.73,near,low
chicken1_D21_maxbin.016.fasta.contigs.fa,87.816072215839,88.54,0.64,0.0,3670681,74868,25_1,NA,NA,2,98.89,98.89,substantial,low
chicken1_D41_maxbin.028.fasta.contigs.fa,85.92023331008662,86.62,0.64,50.0,3048256,18900,26_1,NA,NA,6,99.28,99.12,substantial,low
chicken1_D22_maxbin.037.fasta.contigs.fa,12.364404819202,93.96,17.13,17.86,4355708,7762,27_0,NA,NA,1,NA,NA,near,very high
chicken1_C-1_metabat2.79.fa.contigs.fa,69.91256766880629,75.91,1.42,0.0,2241441,12739,28_0,NA,NA,1,NA,NA,substantial,low
