Gene_1	Gene_2	Gene_1_group	Gene_2_group	Identity	end_match	full_length_match
C-1_maxbin.001.fasta.contigs_00035	D38_maxbin.004.fasta.contigs_01451	A	U	100.0	no	no
C-1_maxbin.001.fasta.contigs_00036	D38_maxbin.004.fasta.contigs_01450	A	U	100.0	no	no
C-1_maxbin.001.fasta.contigs_00039	D43_maxbin.085.fasta.contigs_01453	A	BL	87.233	no	yes
C-1_maxbin.001.fasta.contigs_00384	D43_maxbin.035.fasta.contigs_01255	A	AZ	95.0	no	no
C-1_maxbin.001.fasta.contigs_00385	D43_maxbin.035.fasta.contigs_00064	A	AZ	87.755	no	yes
C-1_maxbin.001.fasta.contigs_00386	D43_maxbin.035.fasta.contigs_00065	A	AZ	95.582	no	yes
C-1_maxbin.001.fasta.contigs_00387	C-1_maxbin.033.fasta_sub.contigs_00580	A	D	93.831	no	no
C-1_maxbin.001.fasta.contigs_00545	D38_maxbin.011.fasta.contigs_00963	A	AK	89.767	no	no
C-1_maxbin.001.fasta.contigs_00885	D43_maxbin.035.fasta.contigs_01878	A	AZ	82.795	no	no
C-1_maxbin.001.fasta.contigs_00888	C-1_maxbin.015.fasta.contigs_01586	A	H	81.25	no	no
C-1_maxbin.001.fasta.contigs_00937	D38_maxbin.011.fasta.contigs_03332	A	AK	97.115	no	no
C-1_maxbin.001.fasta.contigs_00939	C-1_maxbin.015.fasta.contigs_02421	A	H	95.349	no	yes
C-1_maxbin.001.fasta.contigs_00940	D38_maxbin.011.fasta.contigs_03336	A	AK	90.622	no	no
C-1_maxbin.001.fasta.contigs_01134	D43_maxbin.005.fasta.contigs_01713	A	AO	99.031	no	no
C-1_maxbin.001.fasta.contigs_01135	D43_maxbin.005.fasta.contigs_01714	A	AO	99.257	no	no
C-1_maxbin.001.fasta.contigs_01136	D43_maxbin.005.fasta.contigs_01715	A	AO	99.415	no	no
C-1_maxbin.001.fasta.contigs_01137	D43_maxbin.005.fasta.contigs_01716	A	AO	99.749	no	no
C-1_maxbin.001.fasta.contigs_01139	D43_maxbin.005.fasta.contigs_01718	A	AO	99.617	no	no
C-1_maxbin.001.fasta.contigs_01141	D43_maxbin.005.fasta.contigs_01720	A	AO	99.373	no	no
C-1_maxbin.001.fasta.contigs_01328	C-1_maxbin.016.fasta.contigs_01482	A	I	81.267	no	no
C-1_maxbin.001.fasta.contigs_01444	D43_maxbin.005.fasta.contigs_00201	A	AO	98.765	no	no
C-1_maxbin.001.fasta.contigs_01445	D43_maxbin.005.fasta.contigs_00200	A	AO	99.575	no	no
C-1_maxbin.001.fasta.contigs_01446	D43_maxbin.005.fasta.contigs_00199	A	AO	98.889	no	no
C-1_maxbin.001.fasta.contigs_01653	D43_maxbin.005.fasta.contigs_01828	A	AO	99.695	no	no
C-1_maxbin.001.fasta.contigs_01840	C-1_maxbin.025.fasta.contigs_01979	A	P	79.484	no	no
C-1_maxbin.001.fasta.contigs_01877	D43_maxbin.005.fasta.contigs_00721	A	AO	99.419	no	no
C-1_maxbin.001.fasta.contigs_01879	D43_maxbin.005.fasta.contigs_00719	A	AO	98.97	no	no
C-1_maxbin.001.fasta.contigs_01880	D43_maxbin.005.fasta.contigs_00718	A	AO	99.278	no	no
C-1_maxbin.001.fasta.contigs_01883	D43_maxbin.005.fasta.contigs_00715	A	AO	99.351	no	no
C-1_maxbin.001.fasta.contigs_01936	D38_maxbin.008.fasta.contigs_01934	A	AK	92.909	no	no
C-1_maxbin.004.fasta.contigs_01002	D43_maxbin.066.fasta.contigs_00399	C	AE	81.424	no	no
C-1_maxbin.004.fasta.contigs_01539	D43_maxbin.035.fasta.contigs_01253	C	AZ	97.189	no	yes
C-1_maxbin.004.fasta.contigs_01737	D43_maxbin.067.fasta.contigs_00770	C	O	94.503	no	yes
C-1_maxbin.004.fasta.contigs_01757	D43_maxbin.057.fasta.contigs_02155	C	BG	78.003	no	no
C-1_maxbin.004.fasta.contigs_01887	D38_maxbin.011.fasta.contigs_02617	C	AK	91.061	no	no
C-1_maxbin.004.fasta.contigs_01898	D43_metabat2.147.fa.contigs_00233	C	BU	83.843	no	no
