bin name	domain	confidence	% completion	% redundancy	num_splits	total length
Bin_0_1	BACTERIA	0.7	76.06	0.00	141	2669320
Bin_0_6	BACTERIA	1.0	97.18	1.41	318	3027444
Bin_0_7	BACTERIA	0.8	84.51	5.63	360	3166788
Bin_12_1	BACTERIA	0.6	63.38	1.41	717	1898434
Bin_2_1	BACTERIA	0.8	70.42	1.41	115	1615384
Bin_3_1	BACTERIA	1.0	100.00	4.23	259	4968678
Bin_7_1	BACTERIA	0.4	50.70	1.41	178	2554431
Bin_7_2	BACTERIA	0.6	60.56	1.41	374	1506626
Bin_7_3	BACTERIA	1.0	91.55	2.82	413	2114250
Bin_7_4	BACTERIA	0.9	84.51	5.63	416	1632570
Bin_7_5	BACTERIA	1.0	92.96	4.23	292	2153822
Bin_7_6	BACTERIA	0.7	71.83	0.00	48	935562
Bin_7_7	BACTERIA	0.6	54.93	5.63	369	2024221
Bin_7_8	BACTERIA	0.6	59.15	7.04	219	1864804
Bin_7_9	BACTERIA	0.6	67.61	8.45	388	2985686
Bin_7_10	BACTERIA	0.8	70.42	7.04	313	2570708
Bin_11_1	BACTERIA	0.9	90.14	5.63	143	2702506
Bin_11_2	BACTERIA	1.0	100.00	4.23	226	4687829
Bin_11_3	BACTERIA	1.0	97.18	0.00	143	2531995
Bin_11_8	BACTERIA	0.5	56.34	4.23	91	923877
Bin_16_1	BACTERIA	0.8	78.87	4.23	263	2439665
Bin_16_3	BACTERIA	0.7	67.61	1.41	520	2536238
Bin_16_4	BACTERIA	1.0	95.77	2.82	244	3379642
Bin_16_6	BACTERIA	0.9	91.55	1.41	99	2188002
Bin_14_3	BACTERIA	0.7	81.69	5.63	305	3649680
Bin_14_8	BACTERIA	0.9	97.18	0.00	99	2044190
Bin_6_5	BACTERIA	0.6	57.75	4.23	358	3733200
Bin_6_9	BACTERIA	0.5	54.93	5.63	214	2779313
Bin_19_2	BACTERIA	0.8	88.73	1.41	355	2580696
Bin_19_4	BACTERIA	0.8	84.51	0.00	126	2434265
Bin_19_5	BACTERIA	0.9	97.18	0.00	112	2160659
Bin_19_6	BACTERIA	1.0	98.59	4.23	196	3935185
Bin_19_12	BACTERIA	1.0	95.77	1.41	171	3309204
Bin_19_13	BACTERIA	1.0	90.14	0.00	110	2441965
Bin_19_14	BACTERIA	0.7	78.87	5.63	254	3382020
Bin_19_15	BACTERIA	0.6	71.83	4.23	316	3080896
Bin_19_16	BACTERIA	0.9	88.73	7.04	239	3398842
Bin_19_17	BACTERIA	0.9	85.92	1.41	187	3483464
Bin_19_20	BACTERIA	1.0	97.18	2.82	150	3035078
Bin_19_21	BACTERIA	0.5	60.56	0.00	155	1754552
Bin_19_24	BACTERIA	1.0	94.37	2.82	149	2477661
Bin_19_28	BACTERIA	1.0	100.00	1.41	208	4032705
Bin_19_29	BACTERIA	0.9	91.55	1.41	186	2708985
Bin_19_31	BACTERIA	0.8	84.51	4.23	321	2640097
Bin_19_32	BACTERIA	0.8	85.92	0.00	180	2591988
Bin_19_34	BACTERIA	0.9	91.55	0.00	209	2134902
Bin_19_35	BACTERIA	1.0	97.18	0.00	117	2553274
Bin_5_1	BACTERIA	0.5	60.56	2.82	188	2825055
