genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
chicken1_DAS_maxbin_304_fasta_contigs-contigs.fa,91.76414116454744,89.01,0.0,0.0,1016189,293956,1_1,NA,NA,2,100.00,100.00,substantial,none
chicken1_DAS_maxbin_290_fasta_contigs-contigs.fa,77.98164653994685,91.45,3.13,0.0,2154286,21226,2_1,NA,NA,2,99.82,99.82,near,low
chicken1_D43_maxbin.028.fasta.contigs.fa,89.31028002561268,88.72,0.16,0.0,1223780,55025,3_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_173_fasta_contigs-contigs.fa,31.00594883819141,89.93,12.08,0.0,3253050,81639,4_0,NA,NA,1,NA,NA,substantial,high
chicken1_D43_maxbin.115.fasta.contigs.fa,56.24180450293531,84.51,5.93,7.69,1729916,6480,5_0,NA,NA,1,NA,NA,substantial,medium
chicken1_DAS_metabat2_116_fa_contigs-contigs.fa,63.41394358920477,76.35,2.81,0.0,1035625,15413,6_0,NA,NA,1,NA,NA,substantial,low
chicken1_D43_maxbin.153.fasta.contigs.fa,66.90561125774511,74.95,1.89,33.33,1342369,3246,7_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_099_fasta_contigs-contigs.fa,72.36544040507765,80.54,2.01,25.0,3445314,50802,8_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_202_fasta_contigs-contigs.fa,74.79238310915916,80.22,1.37,0.0,1577315,63792,9_0,NA,NA,1,NA,NA,substantial,low
chicken1_D43_maxbin.032.fasta.contigs.fa,88.23304060445462,87.47,0.34,0.0,1868545,76971,10_1,NA,NA,2,99.99,99.99,substantial,low
chicken1_DAS_maxbin_291_fasta_contigs-contigs.fa,86.57655462858779,84.85,0.07,100.0,1435960,9526,11_1,NA,NA,2,99.71,99.71,substantial,low
chicken1_D34_maxbin.025.fasta.contigs.fa,88.44643074890811,85.89,0.0,0.0,2469045,118524,12_1,NA,NA,21,99.99,99.82,substantial,none
chicken1_D30_maxbin.029.fasta.contigs.fa,56.28215282354972,76.48,4.5,7.14,3172862,8472,12_2,NA,NA,3,99.71,99.66,substantial,low
chicken1_D39_maxbin.002.fasta.contigs.fa,98.61241533768973,95.97,0.0,0.0,2118984,176021,13_1,NA,NA,8,99.99,99.90,near,none
chicken1_DAS_maxbin_110_fasta_contigs-contigs.fa,69.16265355896819,91.28,4.7,0.0,3686105,53126,14_0,NA,NA,1,NA,NA,near,low
chicken1_D39_maxbin.006.fasta.contigs.fa,82.63796676800658,80.24,0.0,0.0,1585510,57234,15_1,NA,NA,20,99.96,99.81,substantial,none
chicken1_D18_maxbin.005.fasta.contigs.fa,92.20729285453872,89.85,0.03,0.0,2368010,94641,16_1,NA,NA,8,99.98,99.77,substantial,low
chicken1_DAS_maxbin_077_fasta_contigs-contigs.fa,4.064443532608763,89.92,17.93,13.33,2427218,58715,17_0,NA,NA,1,NA,NA,substantial,very high
chicken1_DAS_maxbin_216_fasta_contigs-contigs.fa,87.91878437774132,85.7,0.05,0.0,2329980,79424,18_1,NA,NA,2,99.88,99.88,substantial,low
chicken1_D21_maxbin.013.fasta.contigs.fa,94.84639854175128,93.15,0.18,37.5,2083772,104555,19_1,NA,NA,8,99.97,99.79,near,low
chicken1_DAS_maxbin_256_fasta_contigs-contigs.fa,92.45455792209252,92.34,0.23,50.0,1987119,18160,20_0,NA,NA,1,NA,NA,near,low
chicken1_DAS_maxbin_196_fasta_contigs-contigs.fa,69.87893135786312,77.56,1.79,16.67,1758159,7963,21_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_314_fasta_contigs-contigs.fa,96.8008357783437,96.63,0.48,0.0,2553731,126442,22_1,NA,NA,2,99.99,99.99,near,low
chicken1_C-6_maxbin.008.fasta.contigs.fa,84.0337317494576,93.97,2.48,0.0,3396516,78784,23_1,NA,NA,6,99.90,99.31,near,low
chicken1_DAS_maxbin_120_fasta_contigs-contigs.fa,90.05859234426025,93.97,1.06,0.0,2330960,54599,24_0,NA,NA,1,NA,NA,near,low
chicken1_D9_maxbin.006.fasta.contigs.fa,102.7140652635767,100.0,0.0,0.0,4008516,244501,25_1,NA,NA,44,100.00,99.98,perfect,none
chicken1_D14_maxbin.003.fasta.contigs.fa,101.227521736766,99.62,0.19,50.0,5074844,78900,26_1,NA,NA,32,99.93,98.60,near,low
chicken1_D2_maxbin.027.fasta.contigs.fa,87.66670864303842,91.05,1.17,0.0,2324644,78487,27_1,NA,NA,13,99.97,99.88,near,low
chicken1_D9_maxbin.010.fasta.contigs.fa,99.62867063281692,97.32,0.0,0.0,3134623,38620,28_1,NA,NA,43,99.97,97.97,near,none
chicken1_D43_maxbin.107.fasta.contigs.fa,8.384610822651563,80.22,14.79,8.0,2527365,6650,29_0,NA,NA,1,NA,NA,substantial,high
chicken1_DAS_maxbin_165_fasta_contigs-contigs.fa,96.62045379166752,95.3,0.0,0.0,2989489,39894,30_0,NA,NA,1,NA,NA,near,none
chicken1_D43_maxbin.021.fasta.contigs.fa,96.51215799112684,93.96,0.0,0.0,2088976,116104,31_1,NA,NA,2,99.97,99.97,near,none
chicken1_D40_maxbin.033.fasta.contigs.fa,94.25685044358414,97.55,1.17,0.0,2142371,118586,32_1,NA,NA,24,100.00,99.97,near,low
chicken1_DAS_maxbin_139_fasta_contigs-contigs.fa,62.806953022486425,86.49,5.0,0.0,3017961,39256,33_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_140_fasta_contigs-contigs.fa,90.54667660979732,93.68,1.01,50.0,3741855,60723,34_0,NA,NA,1,NA,NA,near,low
chicken1_DAS_metabat2_158_fa_contigs-contigs.fa,88.67655719060173,87.47,0.0,0.0,1247546,23611,35_0,NA,NA,1,NA,NA,substantial,none
chicken1_DAS_maxbin_157_fasta_contigs-contigs.fa,86.16935335176447,87.86,0.58,0.0,2724803,23917,36_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_169_fasta_contigs-contigs.fa,84.37379952624063,86.55,0.78,33.33,2711687,77206,37_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_107_fasta_contigs-contigs.fa,91.61350177390985,93.04,0.65,50.0,2321775,90574,38_0,NA,NA,1,NA,NA,near,low
chicken1_DAS_maxbin_084_fasta_contigs-contigs.fa,97.83413330569732,95.57,0.06,0.0,3212510,122732,39_1,NA,NA,2,99.97,99.97,near,low
chicken1_DAS_maxbin_072_fasta_contigs-contigs.fa,81.91173871898253,80.8,0.08,0.0,2182821,96267,40_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_180_fasta_contigs-contigs.fa,79.56746841265283,91.77,2.74,0.0,3469416,90144,41_0,NA,NA,1,NA,NA,near,low
chicken1_DAS_maxbin_207_fasta_contigs-contigs.fa,98.44091880258986,96.04,0.0,0.0,3344681,57888,42_1,NA,NA,6,99.98,99.95,near,none
chicken1_DAS_maxbin_164_fasta_contigs-contigs.fa,81.51161402689524,88.86,2.06,25.0,3547089,68306,43_1,NA,NA,3,99.94,99.94,substantial,low
chicken1_D9_maxbin.024.fasta.contigs.fa,100.04153260559768,97.47,0.0,0.0,2549293,128897,44_1,NA,NA,13,99.99,98.13,near,none
chicken1_DAS_maxbin_119_fasta_contigs-contigs.fa,77.72951560324584,82.44,1.34,40.0,2920739,73626,45_0,NA,NA,1,NA,NA,substantial,low
chicken1_D15_maxbin.012.fasta.contigs.fa,99.98488983053602,97.47,0.0,0.0,2932833,99875,46_1,NA,NA,17,99.96,99.25,near,none
chicken1_DAS_maxbin_059_fasta_contigs-contigs.fa,90.19398049489104,94.94,1.42,0.0,3815051,46830,47_1,NA,NA,6,99.92,99.83,near,low
chicken1_D21_maxbin.011.fasta.contigs.fa,96.63335775547657,97.45,0.63,0.0,5761706,42384,48_1,NA,NA,3,99.98,99.97,near,low
chicken1_D22_maxbin.025.fasta.contigs.fa,85.1677207244259,92.28,1.9,0.0,3900437,54935,49_1,NA,NA,4,99.87,99.69,near,low
