genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
chicken1_DAS_maxbin_304_fasta_contigs-contigs.fa,1_1,0.020000000000000018,average,ANImf,1
chicken1_concoct_20_refined_2_Bin_3_1-contigs.fa,1_1,0.020000000000000018,average,ANImf,1
chicken1_DAS_maxbin_012_fasta_contigs-contigs.fa,2_1,0.020000000000000018,average,ANImf,2
chicken1_concoct_20_refined_2_Bin_9_2-contigs.fa,2_1,0.020000000000000018,average,ANImf,2
chicken1_DAS_maxbin_188_fasta_contigs-contigs.fa,3_1,0.020000000000000018,average,ANImf,3
chicken1_concoct_20_refined_2_Bin_4_3_1-contigs.fa,3_1,0.020000000000000018,average,ANImf,3
chicken1_DAS_maxbin_255_fasta_contigs-contigs.fa,4_0,0.020000000000000018,average,ANImf,4
chicken1_DAS_maxbin_310_fasta_contigs-contigs.fa,5_0,0.020000000000000018,average,ANImf,5
chicken1_concoct_20_refined_2_Bin_9_6_1-contigs.fa,6_0,0.020000000000000018,average,ANImf,6
chicken1_DAS_metabat2_158_fa_contigs-contigs.fa,7_1,0.020000000000000018,average,ANImf,7
chicken1_concoct_20_refined_2_Bin_0_9_1-contigs.fa,7_1,0.020000000000000018,average,ANImf,7
chicken1_DAS_maxbin_174_fasta_contigs-contigs.fa,8_1,0.020000000000000018,average,ANImf,8
chicken1_concoct_20_refined_2_Bin_4_6-contigs.fa,8_1,0.020000000000000018,average,ANImf,8
chicken1_DAS_maxbin_227_fasta_contigs-contigs.fa,9_0,0.020000000000000018,average,ANImf,9
chicken1_DAS_maxbin_280_fasta_contigs-contigs.fa,10_0,0.020000000000000018,average,ANImf,10
chicken1_DAS_maxbin_151_fasta_contigs-contigs.fa,11_1,0.020000000000000018,average,ANImf,11
chicken1_concoct_20_refined_2_Bin_14_3-contigs.fa,11_1,0.020000000000000018,average,ANImf,11
chicken1_DAS_maxbin_028_fasta_contigs-contigs.fa,12_1,0.020000000000000018,average,ANImf,12
chicken1_concoct_20_refined_2_Bin_7_6_1-contigs.fa,12_1,0.020000000000000018,average,ANImf,12
chicken1_DAS_maxbin_053_fasta_contigs-contigs.fa,13_1,0.020000000000000018,average,ANImf,13
chicken1_concoct_20_refined_2_Bin_18_12-contigs.fa,13_1,0.020000000000000018,average,ANImf,13
chicken1_DAS_maxbin_079_fasta_contigs-contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_concoct_20_refined_2_Bin_4_1-contigs.fa,14_1,0.020000000000000018,average,ANImf,14
chicken1_DAS_maxbin_070_fasta_contigs-contigs.fa,15_1,0.020000000000000018,average,ANImf,15
chicken1_concoct_20_refined_2_Bin_7_8_1-contigs.fa,15_1,0.020000000000000018,average,ANImf,15
chicken1_DAS_maxbin_284_fasta_contigs-contigs.fa,16_1,0.020000000000000018,average,ANImf,16
chicken1_concoct_20_refined_2_Bin_14_8-contigs.fa,16_1,0.020000000000000018,average,ANImf,16
chicken1_DAS_maxbin_202_fasta_contigs-contigs.fa,17_1,0.020000000000000018,average,ANImf,17
chicken1_concoct_20_refined_2_Bin_4_2_1-contigs.fa,17_1,0.020000000000000018,average,ANImf,17
chicken1_DAS_maxbin_023_fasta_contigs-contigs.fa,18_1,0.020000000000000018,average,ANImf,18
chicken1_concoct_20_refined_2_Bin_8_1_1-contigs.fa,18_1,0.020000000000000018,average,ANImf,18
chicken1_DAS_maxbin_062_fasta_contigs-contigs.fa,19_1,0.020000000000000018,average,ANImf,19
chicken1_concoct_20_refined_2_Bin_8_2_1-contigs.fa,19_1,0.020000000000000018,average,ANImf,19
chicken1_DAS_maxbin_263_fasta_contigs-contigs.fa,20_1,0.020000000000000018,average,ANImf,20
chicken1_concoct_20_refined_2_Bin_18_5_1-contigs.fa,20_1,0.020000000000000018,average,ANImf,20
chicken1_DAS_maxbin_127_fasta_contigs-contigs.fa,21_1,0.020000000000000018,average,ANImf,21
chicken1_concoct_20_refined_2_Bin_9_20-contigs.fa,21_1,0.020000000000000018,average,ANImf,21
chicken1_DAS_maxbin_312_fasta_contigs-contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_concoct_20_refined_2_Bin_14_1-contigs.fa,22_1,0.020000000000000018,average,ANImf,22
chicken1_DAS_maxbin_290_fasta_contigs-contigs.fa,23_1,0.020000000000000018,average,ANImf,23
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,23_1,0.020000000000000018,average,ANImf,23
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,24_0,0.020000000000000018,average,ANImf,24
chicken1_DAS_maxbin_219_fasta_contigs-contigs.fa,25_1,0.020000000000000018,average,ANImf,25
chicken1_concoct_20_refined_2_Bin_9_13_1-contigs.fa,25_1,0.020000000000000018,average,ANImf,25
chicken1_DAS_metabat2_116_fa_contigs-contigs.fa,26_1,0.020000000000000018,average,ANImf,26
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,26_1,0.020000000000000018,average,ANImf,26
chicken1_DAS_maxbin_270_fasta_contigs-contigs.fa,27_0,0.020000000000000018,average,ANImf,27
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,28_0,0.020000000000000018,average,ANImf,28
chicken1_DAS_maxbin_317_fasta_contigs-contigs.fa,29_1,0.020000000000000018,average,ANImf,29
chicken1_concoct_20_refined_2_Bin_10_3-contigs.fa,29_1,0.020000000000000018,average,ANImf,29
chicken1_DAS_maxbin_047_fasta_contigs-contigs.fa,30_1,0.020000000000000018,average,ANImf,30
chicken1_concoct_20_refined_2_Bin_13_8-contigs.fa,30_1,0.020000000000000018,average,ANImf,30
chicken1_concoct_20_refined_2_Bin_16_1-contigs.fa,31_0,0.020000000000000018,average,ANImf,31
chicken1_concoct_20_refined_2_Bin_7_4_1-contigs.fa,32_0,0.020000000000000018,average,ANImf,32
chicken1_DAS_maxbin_318_fasta_contigs-contigs.fa,33_1,0.020000000000000018,average,ANImf,33
chicken1_concoct_20_refined_2_Bin_1_1-contigs.fa,33_1,0.020000000000000018,average,ANImf,33
chicken1_DAS_maxbin_099_fasta_contigs-contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,34_1,0.020000000000000018,average,ANImf,34
chicken1_concoct_20_refined_2_Bin_5_6-contigs.fa,35_0,0.020000000000000018,average,ANImf,35
chicken1_DAS_maxbin_165_fasta_contigs-contigs.fa,36_1,0.020000000000000018,average,ANImf,36
chicken1_concoct_20_refined_2_Bin_12_4_1-contigs.fa,36_1,0.020000000000000018,average,ANImf,36
chicken1_DAS_maxbin_073_fasta_contigs-contigs.fa,37_0,0.020000000000000018,average,ANImf,37
chicken1_DAS_maxbin_065_fasta_contigs-contigs.fa,38_1,0.020000000000000018,average,ANImf,38
chicken1_concoct_20_refined_2_Bin_7_9_1-contigs.fa,38_1,0.020000000000000018,average,ANImf,38
chicken1_DAS_maxbin_137_fasta_contigs-contigs.fa,39_1,0.020000000000000018,average,ANImf,39
chicken1_concoct_20_refined_2_Bin_7_12-contigs.fa,39_1,0.020000000000000018,average,ANImf,39
chicken1_DAS_maxbin_010_fasta_contigs-contigs.fa,40_1,0.020000000000000018,average,ANImf,40
chicken1_concoct_20_refined_2_Bin_5_3_1-contigs.fa,40_1,0.020000000000000018,average,ANImf,40
chicken1_concoct_20_refined_2_Bin_9_7-contigs.fa,41_0,0.020000000000000018,average,ANImf,41
chicken1_DAS_maxbin_143_fasta_contigs-contigs.fa,42_1,0.020000000000000018,average,ANImf,42
chicken1_concoct_20_refined_2_Bin_11_15-contigs.fa,42_1,0.020000000000000018,average,ANImf,42
chicken1_DAS_maxbin_125_fasta_contigs-contigs.fa,43_1,0.020000000000000018,average,ANImf,43
chicken1_concoct_20_refined_2_Bin_15_4-contigs.fa,43_1,0.020000000000000018,average,ANImf,43
chicken1_DAS_maxbin_216_fasta_contigs-contigs.fa,44_1,0.020000000000000018,average,ANImf,44
chicken1_concoct_20_refined_2_Bin_7_5_1-contigs.fa,44_1,0.020000000000000018,average,ANImf,44
chicken1_DAS_maxbin_077_fasta_contigs-contigs.fa,45_0,0.020000000000000018,average,ANImf,45
chicken1_DAS_maxbin_256_fasta_contigs-contigs.fa,46_1,0.020000000000000018,average,ANImf,46
chicken1_concoct_20_refined_2_Bin_17_1_1-contigs.fa,46_1,0.020000000000000018,average,ANImf,46
chicken1_DAS_maxbin_142_fasta_contigs-contigs.fa,47_1,0.020000000000000018,average,ANImf,47
chicken1_concoct_20_refined_2_Bin_8_4_1-contigs.fa,47_1,0.020000000000000018,average,ANImf,47
chicken1_DAS_maxbin_074_fasta_sub_contigs-contigs.fa,48_0,0.020000000000000018,average,ANImf,48
chicken1_DAS_maxbin_196_fasta_contigs-contigs.fa,49_0,0.020000000000000018,average,ANImf,49
chicken1_DAS_maxbin_252_fasta_contigs-contigs.fa,50_0,0.020000000000000018,average,ANImf,50
chicken1_concoct_20_refined_2_Bin_0_4-contigs.fa,51_0,0.020000000000000018,average,ANImf,51
chicken1_DAS_maxbin_291_fasta_contigs-contigs.fa,52_0,0.020000000000000018,average,ANImf,52
chicken1_DAS_maxbin_173_fasta_contigs-contigs.fa,53_1,0.020000000000000018,average,ANImf,53
chicken1_concoct_20_refined_2_Bin_6_16_1-contigs.fa,53_1,0.020000000000000018,average,ANImf,53
chicken1_concoct_20_refined_2_Bin_6_22-contigs.fa,54_0,0.020000000000000018,average,ANImf,54
chicken1_DAS_maxbin_124_fasta_contigs-contigs.fa,55_1,0.020000000000000018,average,ANImf,55
chicken1_concoct_20_refined_2_Bin_17_5_1-contigs.fa,55_1,0.020000000000000018,average,ANImf,55
chicken1_concoct_20_refined_2_Bin_0_13_1-contigs.fa,56_0,0.020000000000000018,average,ANImf,56
chicken1_DAS_maxbin_110_fasta_contigs-contigs.fa,57_1,0.020000000000000018,average,ANImf,57
chicken1_concoct_20_refined_2_Bin_11_13-contigs.fa,57_1,0.020000000000000018,average,ANImf,57
chicken1_DAS_maxbin_181_fasta_contigs-contigs.fa,58_1,0.020000000000000018,average,ANImf,58
chicken1_concoct_20_refined_2_Bin_7_11-contigs.fa,58_1,0.020000000000000018,average,ANImf,58
chicken1_DAS_maxbin_043_fasta_contigs-contigs.fa,59_1,0.020000000000000018,average,ANImf,59
chicken1_concoct_20_refined_2_Bin_7_14-contigs.fa,59_1,0.020000000000000018,average,ANImf,59
chicken1_DAS_maxbin_128_fasta_contigs-contigs.fa,60_1,0.020000000000000018,average,ANImf,60
chicken1_concoct_20_refined_2_Bin_6_20_1-contigs.fa,60_1,0.020000000000000018,average,ANImf,60
chicken1_DAS_maxbin_105_fasta_contigs-contigs.fa,61_1,0.020000000000000018,average,ANImf,61
chicken1_concoct_20_refined_2_Bin_6_9_1-contigs.fa,61_1,0.020000000000000018,average,ANImf,61
chicken1_DAS_maxbin_171_fasta_contigs-contigs.fa,62_1,0.020000000000000018,average,ANImf,62
chicken1_concoct_20_refined_2_Bin_15_3-contigs.fa,62_1,0.020000000000000018,average,ANImf,62
chicken1_DAS_maxbin_116_fasta_contigs-contigs.fa,63_1,0.020000000000000018,average,ANImf,63
chicken1_concoct_20_refined_2_Bin_6_12-contigs.fa,63_1,0.020000000000000018,average,ANImf,63
chicken1_DAS_maxbin_241_fasta_contigs-contigs.fa,64_0,0.020000000000000018,average,ANImf,64
chicken1_DAS_maxbin_247_fasta_contigs-contigs.fa,65_0,0.020000000000000018,average,ANImf,65
chicken1_DAS_maxbin_282_fasta_contigs-contigs.fa,66_0,0.020000000000000018,average,ANImf,66
chicken1_concoct_20_refined_2_Bin_16_6-contigs.fa,67_0,0.020000000000000018,average,ANImf,67
chicken1_DAS_maxbin_090_fasta_contigs-contigs.fa,68_1,0.020000000000000018,average,ANImf,68
chicken1_concoct_20_refined_2_Bin_9_19-contigs.fa,68_1,0.020000000000000018,average,ANImf,68
chicken1_DAS_maxbin_024_fasta_contigs-contigs.fa,69_1,0.020000000000000018,average,ANImf,69
chicken1_concoct_20_refined_2_Bin_6_24-contigs.fa,69_1,0.020000000000000018,average,ANImf,69
chicken1_DAS_maxbin_133_fasta_contigs-contigs.fa,70_1,0.020000000000000018,average,ANImf,70
chicken1_concoct_20_refined_2_Bin_16_4-contigs.fa,70_1,0.020000000000000018,average,ANImf,70
chicken1_DAS_maxbin_114_fasta_contigs-contigs.fa,71_1,0.020000000000000018,average,ANImf,71
chicken1_concoct_20_refined_2_Bin_7_1-contigs.fa,71_1,0.020000000000000018,average,ANImf,71
chicken1_DAS_maxbin_144_fasta_contigs-contigs.fa,72_1,0.020000000000000018,average,ANImf,72
chicken1_concoct_20_refined_2_Bin_18_2-contigs.fa,72_1,0.020000000000000018,average,ANImf,72
chicken1_concoct_20_refined_2_Bin_13_1-contigs.fa,73_0,0.020000000000000018,average,ANImf,73
chicken1_concoct_20_refined_2_Bin_6_11-contigs.fa,74_0,0.020000000000000018,average,ANImf,74
chicken1_concoct_20_refined_2_Bin_6_27-contigs.fa,75_0,0.020000000000000018,average,ANImf,75
chicken1_DAS_maxbin_141_fasta_contigs-contigs.fa,76_0,0.020000000000000018,average,ANImf,76
chicken1_concoct_20_refined_2_Bin_6_19_1-contigs.fa,77_0,0.020000000000000018,average,ANImf,77
