user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
chicken1_C-1_maxbin.001.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger stercoravium	GCA_019119835.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger stercoravium	98.22	0.79	GCA_019119835.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger stercoravium	98.22	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119365.1, s__Gemmiger stercoripullorum, 95.0, 83.46, 0.65; GCA_002306375.1, s__Gemmiger sp002306375, 95.0, 83.37, 0.56; GCF_016900095.1, s__Gemmiger formicilis_A, 95.0, 82.62, 0.62; GCA_905214345.1, s__Gemmiger sp905214345, 95.0, 82.42, 0.59; GCA_019119495.1, s__Gemmiger stercorigallinarum, 95.0, 82.41, 0.54; GCA_019120395.1, s__Gemmiger faecigallinarum, 95.0, 81.88, 0.54; GCA_900548355.1, s__Gemmiger avicola, 95.0, 81.52, 0.54; GCA_019116705.1, s__Gemmiger avistercoris, 95.0, 81.41, 0.49; GCA_003343905.1, s__Gemmiger variabilis_C, 95.0, 81.13, 0.5; GCA_019115045.1, s__Gemmiger excrementipullorum, 95.0, 81.08, 0.53; GCA_904390925.1, s__Gemmiger sp904390925, 95.0, 80.76, 0.46; GCF_014982805.1, s__Gemmiger sp014982805, 95.0, 80.74, 0.51; GCA_004561545.1, s__Gemmiger sp004561545, 95.0, 80.63, 0.5; GCA_900545545.1, s__Gemmiger sp900545545, 95.0, 80.58, 0.44; GCA_019116485.1, s__Gemmiger excrementavium, 95.0, 80.54, 0.45; GCF_000157955.1, s__Gemmiger variabilis, 95.0, 80.52, 0.44; GCA_019114415.1, s__Gemmiger faecavium, 95.0, 80.45, 0.46; GCA_019116445.1, s__Gemmiger excrementigallinarum, 95.0, 80.21, 0.38; GCA_904374465.1, s__Gemmiger sp904374465, 95.0, 80.14, 0.44; GCA_900539695.1, s__Gemmiger sp900539695, 95.0, 80.02, 0.43; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 79.8, 0.43; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 79.75, 0.43; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 79.71, 0.42; GCA_900540595.1, s__Gemmiger sp900540595, 95.0, 79.47, 0.44; GCA_900772715.1, s__Gemmiger sp900772715, 95.0, 79.15, 0.36; GCA_004552305.1, s__Gemmiger variabilis_A, 95.0, 79.09, 0.43; GCF_003324125.1, s__Gemmiger qucibialis, 95.0, 79.05, 0.42; GCA_900554145.1, s__Gemmiger sp900554145, 95.0, 78.83, 0.37; GCA_900556255.1, s__Gemmiger sp900556255, 95.0, 78.29, 0.38; GCA_004555405.1, s__Gemmiger sp004555405, 95.0, 77.43, 0.17	75.08	11	N/A	N/A
chicken1_C-1_maxbin.003.fasta.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	GCF_000160755.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	99.07	0.91	GCF_000160755.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	99.07	0.91	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009914335.1, s__Proteus sp003144505, 95.0, 84.34, 0.75; GCF_002777965.1, s__Proteus columbae, 95.0, 84.09, 0.73; GCF_003144375.1, s__Proteus sp003144375, 95.0, 84.08, 0.72; GCF_011045835.1, s__Proteus cibarius, 96.4726, 84.08, 0.74; GCF_003144535.1, s__Proteus penneri, 95.0, 84.06, 0.74; GCF_011045815.1, s__Proteus vulgaris_B, 95.0, 84.05, 0.74; GCF_016239305.1, s__Proteus vulgaris_C, 95.0, 84.04, 0.68; GCF_011046025.1, s__Proteus sp011046025, 95.836, 84.03, 0.74; GCF_002607735.1, s__Proteus alimentorum, 95.0, 83.94, 0.74; GCF_003144395.1, s__Proteus faecis, 95.0, 83.91, 0.74; GCF_001722135.1, s__Proteus sp001722135, 95.0, 83.89, 0.72; GCA_901472505.1, s__Proteus vulgaris, 95.0, 83.89, 0.74; GCF_003144325.1, s__Proteus terrae, 96.4726, 83.81, 0.71; GCF_016647575.1, s__Proteus mirabilis_B, 95.5013, 83.79, 0.72; GCF_003144405.1, s__Proteus cibi, 95.0, 83.78, 0.72; GCF_014897315.1, s__Proteus sp014897315, 95.0, 83.56, 0.7; GCF_001654965.1, s__Proteus hauseri, 95.0, 83.05, 0.71; GCF_001654855.1, s__Proteus myxofaciens, 95.0, 82.37, 0.66	96.01	11	N/A	N/A
chicken1_C-1_maxbin.004.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp904392525	GCA_904392525.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp904392525	97.45	0.64	GCA_904392525.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp904392525	97.45	0.64	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900544445.1, s__Eisenbergiella intestinigallinarum, 95.0, 92.99, 0.71; GCA_019113175.1, s__Eisenbergiella stercoravium, 95.0, 88.24, 0.74; GCA_019119815.1, s__Eisenbergiella intestinipullorum, 95.0, 84.5, 0.66; GCA_019115665.1, s__Eisenbergiella pullistercoris, 95.0, 84.08, 0.62; GCA_019119595.1, s__Eisenbergiella merdavium, 95.0, 84.07, 0.68; GCA_019118445.1, s__Eisenbergiella merdipullorum, 95.0, 83.61, 0.56; GCA_019120525.1, s__Eisenbergiella stercorigallinarum, 95.0, 83.19, 0.55; GCF_009696275.1, s__Eisenbergiella porci, 95.0, 79.02, 0.32; GCA_019119355.1, s__Eisenbergiella merdigallinarum, 95.0, 77.84, 0.18; GCA_900548905.1, s__Eisenbergiella sp900548905, 95.0, 77.75, 0.26; GCF_003478085.1, s__Eisenbergiella sp003478085, 95.0, 77.72, 0.28; GCA_900555195.1, s__Eisenbergiella sp900555195, 95.0, 77.71, 0.27; GCA_003343625.1, s__Eisenbergiella pullicola, 95.0, 77.67, 0.15; GCF_001881565.1, s__Eisenbergiella tayi, 95.0, 77.64, 0.26; GCA_003481005.1, s__Eisenbergiella sp900066775, 95.0, 77.56, 0.13; GCA_900539715.1, s__Eisenbergiella sp900539715, 95.0, 77.11, 0.1; GCA_910585455.1, s__Eisenbergiella sp910585455, 95.0, 77.03, 0.17; GCA_900550285.1, s__Eisenbergiella sp900550285, 95.0, 76.77, 0.14; GCA_017500935.1, s__Eisenbergiella sp017500935, 95.0, 76.73, 0.08; GCA_017482485.1, s__Eisenbergiella sp017482485, 95.0, 76.28, 0.1; GCA_002361095.1, s__Eisenbergiella sp002361095, 95.0, 76.13, 0.06	72.12	11	N/A	N/A
chicken1_C-1_maxbin.005.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter surreyensis	GCA_019118885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter surreyensis	97.23	0.68	GCA_019118885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter surreyensis	97.23	0.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119265.1, s__Mediterraneibacter intestinigallinarum, 95.0, 86.71, 0.63; GCA_019119745.1, s__Mediterraneibacter gallistercoris, 95.0, 86.61, 0.64; GCA_904377845.1, s__Mediterraneibacter sp904377845, 95.0, 84.19, 0.59; GCA_019119675.1, s__Mediterraneibacter faecipullorum, 95.0, 83.91, 0.58; GCA_019119995.1, s__Mediterraneibacter faecavium, 95.0, 83.87, 0.55; GCF_002159505.1, s__Mediterraneibacter ornithocaccae, 95.0, 82.11, 0.51; GCF_002160525.1, s__Mediterraneibacter cottocaccae, 95.0, 80.65, 0.28; GCA_900553885.1, s__Mediterraneibacter sp900553885, 95.0, 80.41, 0.3; GCA_019113645.1, s__Mediterraneibacter vanvlietii, 95.0, 80.22, 0.33; GCA_019112765.1, s__Mediterraneibacter norwichensis, 95.0, 80.18, 0.31; GCA_019116885.1, s__Mediterraneibacter pullistercoris, 95.0, 79.89, 0.44; GCA_019119205.1, s__Mediterraneibacter intestinavium, 95.0, 79.85, 0.32; GCA_019112735.1, s__Mediterraneibacter guildfordensis, 95.0, 79.75, 0.45; GCA_019120275.1, s__Mediterraneibacter excrementavium, 95.0, 79.67, 0.46; GCA_019114745.1, s__Mediterraneibacter colneyensis, 95.0, 79.65, 0.46; GCF_002161355.1, s__Mediterraneibacter caccavium, 95.0, 79.64, 0.31; GCA_904419285.1, s__Mediterraneibacter caccogallinarum, 95.0, 79.56, 0.34; GCF_016902345.1, s__Mediterraneibacter glycyrrhizinilyticus_A, 95.0, 79.52, 0.29; GCA_900555215.1, s__Mediterraneibacter excrementipullorum, 95.0, 79.52, 0.4; GCA_019120575.1, s__Mediterraneibacter quadrami, 95.0, 79.42, 0.5; GCA_019117125.1, s__Mediterraneibacter merdipullorum, 95.0, 79.18, 0.36; GCA_900751785.1, s__Mediterraneibacter faecigallinarum, 95.0, 79.18, 0.31; GCA_019120075.1, s__Mediterraneibacter excrementigallinarum_A, 95.0, 79.15, 0.26; GCF_900120155.1, s__Mediterraneibacter sp900120155, 95.0, 79.11, 0.28; GCA_019120615.1, s__Mediterraneibacter norfolkensis, 95.0, 79.02, 0.25; GCA_019115765.1, s__Mediterraneibacter stercoripullorum, 95.0, 79.0, 0.26; GCA_900761655.1, s__Mediterraneibacter sp900761655, 95.0, 78.98, 0.31; GCA_019118665.1, s__Mediterraneibacter intestinipullorum, 95.0, 78.88, 0.32; GCA_904418845.1, s__Mediterraneibacter sp904418845, 95.0, 78.81, 0.31; GCA_019120595.1, s__Mediterraneibacter tabaqchaliae, 95.0, 78.81, 0.35; GCA_019115385.1, s__Mediterraneibacter avicola, 95.0, 78.78, 0.3; GCA_019117305.1, s__Mediterraneibacter merdigallinarum, 95.0, 78.71, 0.28; GCA_019116185.1, s__Mediterraneibacter stercorigallinarum, 95.0, 78.71, 0.34; GCA_019118545.1, s__Mediterraneibacter merdavium, 95.0, 78.7, 0.3; GCA_019117065.1, s__Mediterraneibacter pullicola, 95.0, 78.64, 0.34; GCA_019116845.1, s__Mediterraneibacter stercoravium, 95.0, 78.27, 0.32; GCA_900541505.1, s__Mediterraneibacter sp900541505, 95.0, 78.24, 0.15; GCA_001312505.1, s__Mediterraneibacter faecis, 95.0, 78.24, 0.14; GCF_000155205.1, s__Mediterraneibacter lactaris, 95.0, 78.17, 0.19; GCF_000153925.1, s__Mediterraneibacter torques, 95.0, 78.14, 0.22; GCA_905209865.1, s__Mediterraneibacter sp900752395, 95.0, 77.94, 0.26; GCF_001487105.1, s__Mediterraneibacter massiliensis, 95.0, 77.81, 0.13; GCF_014287475.1, s__Mediterraneibacter sp014287475, 95.0, 77.07, 0.1	69.76	11	N/A	Genome has more than 17.5% of markers with multiple hits
chicken1_C-1_maxbin.009.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	GCF_900142265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	97.83	0.93	GCF_900142265.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	97.83	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905212195.1, s__Anaerotignum sp905212195, 95.0, 94.85, 0.79; GCA_001304995.1, s__Anaerotignum sp001304995, 95.0, 92.94, 0.87; GCF_016902535.1, s__Anaerotignum lactatifermentans_A, 95.0, 80.89, 0.47; GCA_004557645.1, s__Anaerotignum sp004557645, 95.0, 80.09, 0.32; GCA_017442465.1, s__Anaerotignum sp017442465, 95.0, 79.85, 0.32; GCA_017483025.1, s__Anaerotignum sp017483025, 95.0, 79.79, 0.31; GCA_017560955.1, s__Anaerotignum sp017560955, 95.0, 79.66, 0.31; GCA_019115165.1, s__Anaerotignum merdipullorum, 95.0, 79.17, 0.32; GCF_003865035.1, s__Anaerotignum faecicola, 95.0, 78.85, 0.26; GCA_017523325.1, s__Anaerotignum sp017523325, 95.0, 78.4, 0.26; GCA_905214825.1, s__Anaerotignum sp905214825, 95.0, 78.22, 0.23; GCA_002380805.1, s__Anaerotignum sp002380805, 95.0, 78.2, 0.14; GCF_001561955.1, s__Anaerotignum propionicum, 95.0, 78.05, 0.13; GCA_910576545.1, s__Anaerotignum sp910576545, 95.0, 77.84, 0.18; GCA_002299545.1, s__Anaerotignum sp002299545, 95.0, 77.72, 0.1; GCA_910578425.1, s__Anaerotignum sp910578425, 95.0, 77.59, 0.18; GCF_001571775.1, s__Anaerotignum neopropionicum, 95.0, 77.57, 0.13; GCA_009929735.1, s__Anaerotignum sp009929735, 95.0, 77.3, 0.14; GCA_002316675.1, s__Anaerotignum sp002316675, 95.0, 77.19, 0.11	95.63	11	N/A	N/A
chicken1_C-1_maxbin.013.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp900752335	GCA_900752335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp900752335	98.71	0.9	GCA_900752335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp900752335	98.71	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_904378095.1, s__CAG-273 sp904378095, 95.0, 79.97, 0.57; GCA_904420285.1, s__CAG-273 sp904420285, 95.0, 79.45, 0.56; GCA_902406115.1, s__CAG-273 sp902406115, 95.0, 78.6, 0.4; GCA_905214245.1, s__CAG-273 sp905214245, 95.0, 78.59, 0.43; GCA_000435755.1, s__CAG-273 sp000435755, 95.0, 78.38, 0.35; GCA_000438355.1, s__CAG-273 sp000438355, 95.0, 78.29, 0.38; GCA_900752095.1, s__CAG-273 sp900752095, 95.0, 78.04, 0.26; GCA_000437855.1, s__CAG-273 sp000437855, 95.0, 77.99, 0.33; GCA_003507395.1, s__CAG-273 sp003507395, 95.0, 77.81, 0.34; GCA_003534295.1, s__CAG-273 sp003534295, 95.0, 77.78, 0.28; GCA_905215615.1, s__CAG-273 sp905215615, 95.0, 77.76, 0.38; GCA_017886645.1, s__CAG-273 sp017886645, 95.0, 77.59, 0.29; GCA_017479865.1, s__CAG-273 sp017479865, 95.0, 77.46, 0.2; GCA_910589185.1, s__CAG-273 sp910589185, 95.0, 76.89, 0.21	88.92	11	N/A	N/A
chicken1_C-1_maxbin.014.fasta.contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	96.85	0.9	GCF_003697165.2	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	96.85	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.67, 0.74; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.11, 0.84; GCF_902498915.1, s__Escherichia ruysiae, 95.0, 93.04, 0.84; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.85, 0.86; GCF_011881725.1, s__Escherichia coli_E, 95.0, 92.42, 0.8; GCF_001660175.1, s__Escherichia sp001660175, 95.0, 91.9, 0.85; GCF_002900365.1, s__Escherichia marmotae, 95.0, 91.13, 0.83; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 90.94, 0.74; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.21, 0.75	96.82	11	N/A	N/A
chicken1_C-1_maxbin.015.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900545895	GCF_016899775.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900545895	96.52	0.79	GCF_016899775.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900545895	96.52	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002160305.1, s__Lawsonibacter pullicola, 95.0, 94.72, 0.75; GCA_902363045.1, s__Lawsonibacter sp902363045, 95.0, 83.39, 0.54; GCA_003573975.1, s__Lawsonibacter sp900066825, 95.0, 83.32, 0.56; GCA_900553135.1, s__Lawsonibacter sp900553135, 95.0, 82.96, 0.51; GCA_900764755.1, s__Lawsonibacter sp900764755, 95.0, 82.82, 0.5; GCA_904420465.1, s__Lawsonibacter sp904420465, 95.0, 82.6, 0.48; GCA_905205085.1, s__Lawsonibacter sp900766145, 95.0, 82.35, 0.49; GCF_008727735.1, s__Lawsonibacter sp000177015, 95.0, 82.11, 0.49; GCF_003478995.1, s__Lawsonibacter sp003478995, 95.0, 81.87, 0.44; GCA_003112755.1, s__Lawsonibacter asaccharolyticus, 95.0, 81.71, 0.48; GCA_900550705.1, s__Lawsonibacter sp900550705, 95.0, 81.69, 0.55; GCA_900549405.1, s__Lawsonibacter sp900549405, 95.0, 81.61, 0.46; GCF_014287875.1, s__Lawsonibacter sp014287875, 95.0, 81.57, 0.44; GCF_002161175.1, s__Lawsonibacter sp002161175, 95.0, 81.45, 0.4; GCA_000492175.1, s__Lawsonibacter sp000492175, 95.0, 81.4, 0.44; GCA_910588635.1, s__Lawsonibacter sp910588635, 95.0, 81.34, 0.4; GCA_910578735.1, s__Lawsonibacter sp910578735, 95.0, 81.25, 0.41; GCF_009911595.1, s__Lawsonibacter sp009911595, 95.0, 81.23, 0.45; GCA_910585815.1, s__Lawsonibacter sp910585815, 95.0, 81.23, 0.48; GCA_910589085.1, s__Lawsonibacter sp910589085, 95.0, 81.04, 0.38; GCA_910584605.1, s__Lawsonibacter sp910584605, 95.0, 81.03, 0.39; GCA_003612335.1, s__Lawsonibacter sp003612335, 95.0, 80.97, 0.44; GCF_009911645.1, s__Lawsonibacter sp009911645, 95.0, 80.62, 0.44; GCA_910575265.1, s__Lawsonibacter sp910575265, 95.0, 80.48, 0.41; GCA_900754605.1, s__Lawsonibacter sp900754605, 95.0, 80.4, 0.35; GCA_910588455.1, s__Lawsonibacter sp910588455, 95.0, 80.0, 0.43; GCA_009917615.1, s__Lawsonibacter sp009917615, 95.0, 79.91, 0.39; GCA_017624915.1, s__Lawsonibacter sp017624915, 95.0, 79.91, 0.36; GCA_910577805.1, s__Lawsonibacter sp910577805, 95.0, 79.74, 0.32; GCA_902362775.1, s__Lawsonibacter sp900066645, 95.0, 79.7, 0.36; GCA_015067885.1, s__Lawsonibacter sp015067885, 95.0, 79.64, 0.32; GCA_017397835.1, s__Lawsonibacter sp017397835, 95.0, 79.51, 0.31; GCA_017416685.1, s__Lawsonibacter sp017416685, 95.0, 79.14, 0.31; GCA_017502285.1, s__Lawsonibacter sp017502285, 95.0, 78.96, 0.36; GCA_017631545.1, s__Lawsonibacter sp017631545, 95.0, 78.93, 0.4; GCA_015068065.1, s__Lawsonibacter sp015068065, 95.0, 78.91, 0.3; GCA_900763995.1, s__Lawsonibacter sp900763995, 95.0, 78.87, 0.3; GCA_905215425.1, s__Lawsonibacter sp905215425, 95.0, 78.76, 0.38	80.92	11	N/A	N/A
chicken1_C-1_maxbin.016.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum	GCA_900547455.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum	97.68	0.86	GCA_900547455.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum	97.68	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000435195.1, s__Negativibacillus sp000435195, 95.0, 80.51, 0.58; GCA_900547015.1, s__Negativibacillus sp900547015, 95.0, 79.21, 0.51; GCF_900148495.1, s__Negativibacillus massiliensis, 95.0, 78.86, 0.31; GCA_905197685.1, s__Negativibacillus sp905197685, 95.0, 78.54, 0.25; GCA_910578755.1, s__Negativibacillus sp910578755, 95.0, 76.77, 0.09; GCA_017439985.1, s__Negativibacillus sp017439985, 95.0, 76.38, 0.11; GCA_017848075.1, s__Negativibacillus sp017848075, 95.0, 76.36, 0.1	91.38	11	N/A	N/A
chicken1_C-1_maxbin.017.fasta.contigs	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Gallispira;s__Gallispira edinburgensis	GCF_904395805.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Gallispira;s__Gallispira edinburgensis	98.23	0.81	GCF_904395805.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Gallispira;s__Gallispira edinburgensis	98.23	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Gallispira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905201505.1, s__Gallispira sp905201505, 95.0, 80.2, 0.49; GCA_900551755.1, s__Gallispira sp900551755, 95.0, 79.68, 0.37; GCA_900543365.1, s__Gallispira sp900543365, 95.0, 79.42, 0.39	79.79	11	N/A	N/A
