genome,cluster,score
human1_HC-18_maxbin.036.fasta.contigs.fa,1_1,70.47915146723075
human1_HC-24_maxbin.018.fasta.contigs.fa,2_1,100.3354065890437
human1_D-1_maxbin.003.fasta.contigs.fa,3_1,101.714265039783
human1_HC-19_maxbin.028.fasta.contigs.fa,4_1,73.32145639713316
human1_HV-4_maxbin.020.fasta.contigs.fa,5_1,99.59665214209673
human1_HC-17_maxbin.029.fasta.contigs.fa,6_0,32.278599273740284
human1_HV-23_maxbin.051.fasta.contigs.fa,7_0,56.94249319744086
human1_HC-24_maxbin.032.fasta.contigs.fa,8_1,77.37751467508618
human1_D-1_maxbin.068.fasta.contigs.fa,9_0,35.84845933304452
human1_HC-3_maxbin.028.fasta.contigs.fa,10_1,100.98700267046964
human1_HV-1_maxbin.011.fasta.contigs.fa,11_1,100.65871258156109
human1_HC-23_maxbin.038.fasta.contigs.fa,12_0,27.49929521261373
human1_HV-20_maxbin.005.fasta.contigs.fa,13_1,100.76332654336026
human1_HV-10_maxbin.002.fasta.contigs.fa,14_1,100.79733151028103
human1_HV-10_maxbin.006.fasta.contigs.fa,15_1,101.77977555334975
human1_HC-21_maxbin.017.fasta.contigs.fa,16_1,68.4996413440107
human1_HC-16_maxbin.018.fasta.contigs.fa,17_0,90.18053305853016
human1_HV-23_maxbin.040.fasta.contigs.fa,18_1,81.42907188682464
human1_HC-4_maxbin.029.fasta.contigs.fa,19_1,82.70321817363006
human1_HV-9_maxbin.002.fasta.contigs.fa,20_1,90.83576179920256
human1_HV-15_maxbin.007.fasta.contigs.fa,21_1,101.70738529738955
human1_HC-17_maxbin.023.fasta.contigs.fa,22_1,96.43219449992004
human1_HC-8_maxbin.002.fasta.contigs.fa,23_1,101.9830016429423
human1_HV-21_maxbin.005.fasta.contigs.fa,24_1,101.95443750721513
human1_HC-22_maxbin.008.fasta.contigs.fa,25_1,98.36401594218648
human1_D-1_maxbin.028.fasta.contigs.fa,26_1,88.67514615352849
human1_HV-3_maxbin.036.fasta.contigs.fa,27_1,82.62431280557402
human1_HV-11_maxbin.026.fasta.contigs.fa,28_1,96.14627800660443
human1_D-1_maxbin.044.fasta.contigs.fa,29_0,90.18683082523704
human1_HC-7_maxbin.014.fasta.contigs.fa,30_1,101.16520460318266
human1_HV-17_maxbin.018.fasta.contigs.fa,31_1,98.53878801431489
human1_HC-15_maxbin.026.fasta.contigs.fa,32_1,1.7448665546024804
human1_HV-11_maxbin.007.fasta.contigs.fa,33_1,102.61167274188631
human1_D-1_maxbin.051.fasta.contigs.fa,34_0,59.42319816463698
human1_HC-23_maxbin.004.fasta.contigs.fa,35_1,97.00675685241058
human1_D-1_maxbin.034.fasta.contigs.fa,36_1,93.21185104593069
human1_HC-10_maxbin.006.fasta.contigs.fa,37_1,94.20712426600132
human1_HV-19_maxbin.003.fasta.contigs.fa,38_1,97.59111641723696
human1_HV-10_maxbin.005.fasta.contigs.fa,39_1,95.13103321341899
human1_HC-14_maxbin.012.fasta.contigs.fa,40_1,75.88140561837926
human1_HC-6_maxbin.009.fasta.contigs.fa,41_1,98.97291592822518
human1_D-1_maxbin.002.fasta.contigs.fa,42_0,89.9867382151151
human1_HC-16_metabat2.35.fa.contigs.fa,43_1,85.22925836850595
human1_D-1_maxbin.037.fasta.contigs.fa,44_1,93.10116127015716
human1_HC-16_maxbin.022.fasta_sub.contigs.fa,45_0,-6.0364707679995115
human1_HV-21_maxbin.006.fasta.contigs.fa,46_1,98.80397752747544
human1_HV-13_maxbin.008.fasta.contigs.fa,47_1,95.18315757582081
human1_HV-16_maxbin.007.fasta.contigs.fa,48_1,90.4665459047741
human1_HC-23_maxbin.021.fasta.contigs.fa,49_1,98.51432341522302
human1_HC-24_maxbin.028.fasta.contigs.fa,50_1,96.12220306594877
human1_HC-2_maxbin.027.fasta.contigs.fa,51_1,90.42169476584696
human1_HV-23_maxbin.024.fasta.contigs.fa,52_0,54.57779788922615
human1_D-1_maxbin.056.fasta.contigs.fa,53_0,64.25962393194942
human1_HC-4_maxbin.033.fasta.contigs.fa,54_1,70.80773118102873
human1_D-1_maxbin.017.fasta.contigs.fa,55_0,96.93354777020961
human1_HV-11_maxbin.014.fasta.contigs.fa,56_1,95.74035435691323
human1_HC-18_maxbin.014.fasta.contigs.fa,57_1,98.1621545739528
human1_HC-13_maxbin.018.fasta.contigs.fa,58_1,93.88316746123292
human1_HC-15_maxbin.016.fasta.contigs.fa,59_1,88.8269265027283
human1_HC-16_maxbin.012.fasta.contigs.fa,60_0,80.11562797914765
human1_HV-11_maxbin.015.fasta.contigs.fa,61_1,92.61427327117116
human1_HV-3_maxbin.016.fasta.contigs.fa,62_1,100.05808114628
human1_HV-6_maxbin.031.fasta.contigs.fa,63_1,87.53001732334253
human1_HV-6_maxbin.047.fasta.contigs.fa,64_0,63.333931560914735
human1_HV-12_maxbin.006.fasta.contigs.fa,65_1,87.53157196618109
human1_HC-21_maxbin.005.fasta.contigs.fa,66_1,92.67567533632972
human1_HC-17_maxbin.021.fasta.contigs.fa,67_1,84.01277603557264
human1_HC-3_maxbin.003.fasta.contigs.fa,68_1,90.46619745338893
human1_D-1_maxbin.012.fasta.contigs.fa,69_1,83.76056788164394
human1_HC-13_maxbin.020.fasta.contigs.fa,70_1,60.94041935355923
human1_HC-18_metabat2.32.fa.contigs.fa,71_1,38.27490022402447
human1_HV-5_maxbin.023.fasta_sub.contigs.fa,72_1,60.763700873540486
human1_HC-23_maxbin.034.fasta.contigs.fa,73_1,62.471890204205536
human1_HV-1_maxbin.037.fasta.contigs.fa,74_1,68.73994174559715
human1_HV-17_maxbin.015.fasta.contigs.fa,75_1,64.57457338143492
human1_HC-14_maxbin.023.fasta.contigs.fa,76_0,23.026424052543632
human1_HC-24_maxbin.037.fasta.contigs.fa,77_1,20.26529649129488
human1_HC-21_maxbin.012.fasta.contigs.fa,78_1,93.9212497383791
human1_HV-1_maxbin.033.fasta.contigs.fa,78_2,11.890062915392722
human1_HV-17_maxbin.030.fasta.contigs.fa,79_1,19.814152958395713
human1_HV-2_maxbin.009.fasta.contigs.fa,80_1,82.06798210457319
human1_HC-19_maxbin.016.fasta.contigs.fa,81_1,85.3990592277645
human1_D-1_maxbin.027.fasta.contigs.fa,82_0,18.79176953515986
human1_D-1_metabat2.153.fa.contigs.fa,83_0,74.0896743586568
