 Query_sequence	HMM_Name	Significance_Evalue	Score
#Toxin
0000163716	K01186_172	1.2e-99	333.1
0000167817	K01186_172	7.8e-24	83.6
0000164694	K01186_172	2.3e-18	65.6
0000167705	K01197_243	3.4e-137	457.0
0000163715	K01197_243	2.9e-14	51.6
0000162606	K01197_243	3.7e-12	44.7
0000163551	K03699_483	6.9e-147	488.6
0000160098	K03699_483	9.4e-128	425.5
0000166518	K03699_483	2.7e-112	374.6
0000165231	K03699_483	1.1e-107	359.5
0000165738	K03699_483	1.7e-72	243.5
0000162747	K03699_483	7e-64	215.1
0000163962	K03699_483	1.3e-27	95.5
0000167629	K06972_355	5.4e-294	976.9
0000163117	K06972_355	2e-111	372.6
0000161829	K06972_355	5.4e-26	89.8
0000160125	K06972_355	6.9e-17	59.7
0000165527	K06972_355	2.5e-11	41.3
0000164264	K10815_8	5.2e-22	76.9
0000160819	K10815_8	3.5e-19	67.6
0000164773	K10815_8	4.4e-18	64.0
0000164263	K10816_8	7.5e-23	79.9
0000164774	K10816_8	8.7e-22	76.4
0000160818	K10816_8	3.5e-17	61.2
0000169765	K11021_124	3.5e-13	47.7
0000166562	K11022_5	3.4e-17	61.8
0000163598	K11060_3	1.7e-14	52.4
0000162185	K11060_3	2e-14	52.2
0000163230	K11060_3	1.8e-13	49.0
0000164816	K11062_2	1.5e-14	52.5
0000163004	K11063_6	1.7e-28	97.3
0000168141	K11063_6	1.4e-24	84.3
0000163003	K11063_6	1.5e-17	61.1
0000163002	K11063_6	2.9e-14	50.1
0000163164	K11063_6	2.1e-13	47.2
0000162299	K11063_6	2.2e-13	47.2
0000166584	K11063_6	2.4e-12	43.8
0000166211	K11068_1278_95_625	1.6e-57	193.5
0000162860	K11068_1278_95_625	2.7e-57	192.8
0000169687	K12340_892	3.5e-93	311.8
0000165101	K12340_892	1.8e-67	227.1
0000162600	K12340_892	2.2e-57	193.9
0000164936	K12340_892	8.9e-49	165.5
0000162603	K12340_892	8e-48	162.4
0000164049	K12340_892	4.8e-44	149.9
0000165810	K12340_892	5.1e-23	80.7
0000168378	K12340_892	1.8e-20	72.3
0000162872	K12340_892	1.3e-13	49.6
0000168331	PF00267.16	4.2e-104	347.8
0000165527	PF00675.15	7.3e-40	135.5
0000160125	PF00675.15	5.2e-39	132.8
0000167629	PF00675.15	1.8e-11	43.4
0000160040	PF00717.18	2.4e-18	65.0
0000169351	PF00717.18	5.3e-18	63.8
0000166272	PF00717.18	5.6e-18	63.8
0000169353	PF00717.18	1.4e-17	62.5
0000169725	PF00717.18	2e-17	62.0
0000165422	PF00717.18	5.4e-17	60.6
0000165610	PF00717.18	6.2e-17	60.4
0000166274	PF00717.18	1e-16	59.7
0000168603	PF00717.18	1.8e-16	58.9
0000167166	PF00717.18	5.3e-16	57.4
0000164514	PF00717.18	7.5e-15	53.7
0000167701	PF00717.18	7.1e-14	50.6
0000162095	PF00717.18	5.1e-12	44.7
0000165746	PF00873.14	0	1206.7
0000165747	PF00873.14	0	1193.8
0000164937	PF00873.14	0	1101.3
0000162604	PF00873.14	3.4e-285	947.8
0000162871	PF00873.14	5.1e-270	897.6
0000165099	PF00873.14	9.8e-266	883.4
0000162598	PF00873.14	6.1e-259	860.9
0000169285	PF00873.14	1.2e-140	469.3
0000161209	PF00881.19	2.8e-33	114.5
0000169917	PF00881.19	9.3e-33	112.8
0000165460	PF00881.19	8e-32	109.7
0000162923	PF00881.19	4.7e-31	107.2
0000166999	PF00881.19	1.1e-29	102.8
0000160141	PF00881.19	5.9e-28	97.2
0000169308	PF00881.19	4.9e-25	87.6
0000160174	PF00881.19	7.6e-24	83.8
0000161705	PF00881.19	1.5e-22	79.6
0000160023	PF00881.19	8.7e-22	77.1
0000160215	PF00881.19	2.1e-21	75.8
0000161616	PF00881.19	5.5e-15	55.0
0000166503	PF00881.19	2.9e-13	49.3
0000160847	PF00881.19	9.1e-13	47.7
0000160854	PF00881.19	9.7e-12	44.4
0000169145	PF00882.13	1.6e-15	56.5
0000164297	PF00882.13	2.8e-12	46.0
0000166201	PF00882.13	5e-11	41.9
0000165407	PF00903.20	6.6e-16	57.8
0000162232	PF00903.20	2.2e-13	49.7
0000164372	PF01325.14	1.7e-15	56.1
0000168554	PF01325.14	3.1e-13	48.9
0000163004	PF01473.15	3.5e-54	177.6
0000163003	PF01473.15	1.5e-32	109.3
0000163002	PF01473.15	1.1e-27	94.1
0000168141	PF01473.15	1.8e-19	68.1
0000162299	PF01473.15	5.2e-15	54.1
0000169692	PF01473.15	8.8e-13	47.0
0000162058	PF01636.18	9.3e-20	70.8
0000163103	PF01636.18	1.9e-18	66.5
0000166502	PF01636.18	5.4e-18	65.0
0000160345	PF01636.18	1.5e-14	53.7
0000164668	PF01909.18	1.7e-22	78.9
0000163382	PF01909.18	3e-12	46.1
0000161840	PF02452.12	1.8e-32	111.2
0000160739	PF02452.12	5.6e-30	103.2
0000165481	PF02452.12	3e-23	81.5
0000169898	PF02452.12	3.4e-23	81.3
0000164559	PF02452.12	1.1e-22	79.8
0000168214	PF02452.12	7e-14	51.4
0000167990	PF02742.10	4.2e-15	54.6
0000168554	PF02742.10	2.1e-12	45.9
0000168012	PF02742.10	4e-12	45.0
0000164372	PF02742.10	3.9e-11	41.9
0000167943	PF03372.18	7.6e-21	74.6
0000165093	PF03372.18	1e-20	74.1
0000167951	PF03372.18	1.3e-18	67.2
0000160272	PF03372.18	1.1e-17	64.3
0000160274	PF03372.18	1.4e-15	57.3
0000160111	PF03372.18	2.7e-13	49.9
0000161156	PF03837.9	8.3e-47	158.4
0000162329	PF03837.9	6e-42	142.6
0000169304	PF04221.7	9.1e-17	60.0
0000161967	PF04221.7	3.9e-16	58.0
0000168242	PF04221.7	2.6e-15	55.3
0000164389	PF04221.7	3e-11	42.3
0000164116	PF04488.10	6.1e-14	51.7
0000162385	PF05016.9	1.4e-13	50.5
0000168241	PF05016.9	1.5e-12	47.1
0000160943	PF05105.7	1.1e-24	85.8
0000160125	PF05193.16	8.7e-36	122.7
0000165527	PF05193.16	1.3e-30	105.8
0000167629	PF05193.16	3.4e-16	58.9
0000162867	PF06414.7	7.8e-12	44.1
0000165816	PF07883.6	1.7e-33	113.4
0000169596	PF07883.6	2.9e-19	67.7
0000160462	PF07883.6	3.4e-14	51.5
0000167009	PF07883.6	4.6e-13	47.9
0000160580	PF07883.6	1.5e-12	46.2
0000164257	PF07883.6	2.7e-12	45.4
0000167713	PF07883.6	5.1e-11	41.3
0000161744	PF07883.6	6.1e-11	41.1
0000162022	PF07883.6	7.5e-11	40.8
0000164038	PF07927.7	3.2e-11	42.4
0000167629	PF08367.6	2.2e-59	199.7
0000163117	PF08367.6	3.3e-11	41.9
0000169353	PF10502.4	9e-11	40.9
0000165234	PF13091.1	4e-36	122.9
0000164830	PF13091.1	1.7e-33	114.4
0000162879	PF13091.1	5.8e-31	106.3
0000169311	PF13091.1	2.4e-18	65.5
0000162156	PF13091.1	1e-16	60.2
0000167840	PF13091.1	2.5e-11	42.8
0000162837	PF13944.1	1.1e-26	92.9
0000169221	PF13953.1	6.7e-20	69.9
0000165789	PF13954.1	8.3e-32	109.2
0000164432	PF13954.1	2.3e-16	59.1
0000169221	PF13954.1	1.2e-11	43.8
0000166915	PF13972.1	6.9e-47	157.9
0000161004	PF14003.1	2.2e-11	43.1
0000160159	PF14055.1	5.1e-16	57.5
0000164390	TIGR00053	2.6e-25	88.0
0000168244	TIGR02116	2.2e-28	97.4
0000164390	TIGR02385	3.2e-27	94.0
0000161616	TIGR03605	5.3e-37	126.1
0000160943	TIGR01593	2.9e-11	42.5
0000402244	K01186_172	5.6e-104	347.3
0000405500	K01186_172	4.4e-26	91.0
0000405069	K01197_243	7.5e-148	492.1
0000407060	K01197_243	4.5e-12	44.4
0000402245	K01197_243	2e-11	42.3
0000402376	K03699_483	1.1e-123	412.1
0000400051	K03699_483	2.6e-118	394.4
0000404893	K03699_483	1.8e-107	358.7
0000403562	K03699_483	7.4e-102	340.2
0000402215	K03699_483	1.3e-78	263.6
0000400837	K06972_355	2.2e-13	48.1
0000406474	K06972_355	6.5e-13	46.5
0000402227	K10814_8	4e-11	42.0
0000402228	K10815_8	4e-33	113.6
0000403910	K10815_8	2.6e-18	64.8
0000402229	K10815_8	2.4e-11	41.8
0000403910	K10816_8	1.2e-19	69.4
0000400462	K11021_124	6e-27	93.3
0000405399	K11060_3	1.7e-24	85.5
0000400657	K11060_3	1.6e-22	78.9
0000404381	K11060_3	5.9e-15	53.9
0000400993	K11060_3	1.7e-14	52.4
0000402422	K11060_3	2.1e-13	48.8
0000400994	K11060_3	2e-12	45.6
0000407316	K11060_3	6.9e-12	43.8
0000400147	K11062_2	3.1e-27	94.3
0000400444	K11062_2	4.4e-25	87.2
0000409914	K11062_2	7.1e-17	60.1
0000402175	K11063_6	3.9e-41	139.3
0000400308	K11063_6	3.4e-36	122.9
0000400312	K11063_6	7.1e-34	115.2
0000402125	K11063_6	1.4e-30	104.3
0000402134	K11063_6	2.1e-29	100.3
0000400311	K11063_6	4.9e-29	99.1
0000401991	K11063_6	6.9e-23	78.7
0000401342	K11063_6	4.1e-15	52.9
0000409749	K11063_6	7.2e-14	48.8
0000403256	K11063_6	8.4e-14	48.6
0000406003	K11063_6	1.7e-12	44.2
0000406194	K11063_6	1.8e-11	40.9
0000406347	K11068_1278_95_625	7.1e-75	250.2
0000403289	K11068_1278_95_625	4.3e-66	221.5
0000403342	K11068_1278_95_625	1.7e-61	206.5
0000402675	K12340_892	6.1e-50	169.3
0000403502	K12340_892	7.9e-50	169.0
0000403086	K12340_892	1.9e-48	164.4
0000409022	K12340_892	7.9e-18	63.5
0000404558	K15125_378	2.1e-35	120.7
0000409830	PF00246.19	1e-44	152.6
0000406817	PF00267.16	3.3e-142	473.1
0000400299	PF00652.17	6e-15	54.8
0000400837	PF00675.15	1.3e-15	56.8
0000406893	PF00717.18	2.7e-18	64.8
0000408040	PF00717.18	4.3e-18	64.1
0000400398	PF00717.18	2.9e-17	61.5
0000408038	PF00717.18	6.1e-17	60.4
0000405429	PF00717.18	9.1e-17	59.9
0000404956	PF00717.18	2.2e-16	58.7
0000407324	PF00717.18	3e-16	58.2
0000400392	PF00717.18	1.9e-15	55.7
0000408059	PF00717.18	6.5e-15	53.9
0000401405	PF00717.18	2e-13	49.2
0000403087	PF00873.14	0	1101.8
0000406831	PF00873.14	4.2e-210	699.2
0000402055	PF00873.14	6.6e-208	692.0
0000403501	PF00873.14	1.2e-185	618.2
0000401428	PF00873.14	6.3e-162	539.8
0000402676	PF00873.14	4.8e-155	517.0
0000408587	PF00873.14	2.6e-52	176.9
0000401821	PF00881.19	6.5e-33	113.3
0000404083	PF00881.19	8.2e-32	109.7
0000402799	PF00881.19	8.5e-31	106.4
0000404046	PF00881.19	1.5e-30	105.6
0000400250	PF00881.19	3.6e-30	104.3
0000408163	PF00881.19	5.8e-28	97.2
0000403307	PF00881.19	2.8e-25	88.5
