bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Bin_0_1	1520044	301	6217	46.889126726953826	57.74647887323944	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium	Eubacterium sp000431535
Bin_0_10	1911713	186	20284	40.33012339111545	64.78873239436619	2.816901408450704	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales			
Bin_0_11_1	1460748	352	4881	40.18603332998443	40.84507042253521	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	An172	An172 sp002160515
Bin_0_12	1595220	145	19367	49.02521649805617	69.01408450704226	4.225352112676056	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1409	UBA1409 sp002338885
Bin_0_13_1	1358898	293	5999	51.2929135824418	80.28169014084507	5.633802816901408	Bacteria	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	UBA11940	UBA11940 sp900549005
Bin_0_14	850979	15	83079	46.25622508524644	73.2394366197183	0.0	Bacteria	Firmicutes	Clostridia	Christensenellales	CAG-314	CAG-1435	CAG-1435 sp000433775
Bin_0_3	2041158	34	137150	60.94703320011384	83.09859154929578	0.0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900021155
Bin_0_4	1585675	255	8446	55.111515878167125	80.28169014084507	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	
Bin_0_5	1306069	205	8810	54.71367343516348	59.15492957746479	0.0							
Bin_0_6_1	927271	67	17458	31.540846781699145	73.2394366197183	2.816901408450704	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp900554565
Bin_0_7_1	981370	72	17125	30.04504084937943	80.28169014084507	0.0	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-822	CAG-822 sp900546055
Bin_0_8_1	1074654	74	19222	32.90205700828934	60.563380281690144	1.408450704225352	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508		
Bin_0_9_1	1687130	185	16588	39.37242784835599	88.73239436619718	7.042253521126761	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
