bin name	domain	confidence	% completion	% redundancy	num_splits	total length
c2_Bin_0_1	BACTERIA	0.7	76.06	0.00	134	2639400
c2_Bin_0_6	BACTERIA	0.9	91.55	1.41	311	3014489
c2_Bin_0_7	BACTERIA	0.8	84.51	5.63	344	3117416
c2_Bin_12_1	BACTERIA	0.5	49.30	1.41	607	1639421
c2_Bin_2_1	BACTERIA	0.8	70.42	1.41	106	1586096
c2_Bin_3_1	BACTERIA	1.0	100.00	4.23	235	4783064
c2_Bin_7_1	BACTERIA	0.4	50.70	1.41	177	2547390
c2_Bin_7_2	BACTERIA	0.6	60.56	1.41	358	1473807
c2_Bin_7_3	BACTERIA	1.0	91.55	2.82	392	2059393
c2_Bin_7_4	BACTERIA	0.9	84.51	5.63	405	1596057
c2_Bin_7_5	BACTERIA	1.0	91.55	4.23	254	2004025
c2_Bin_7_6	BACTERIA	0.7	71.83	0.00	48	935562
c2_Bin_7_7	BACTERIA	0.5	46.48	5.63	359	1980544
c2_Bin_7_8	BACTERIA	0.6	59.15	7.04	214	1850863
c2_Bin_7_9	BACTERIA	0.6	67.61	8.45	377	2958446
c2_Bin_7_10	BACTERIA	0.4	49.30	5.63	303	2529519
c2_Bin_11_1	BACTERIA	0.9	90.14	5.63	137	2682745
c2_Bin_11_2	BACTERIA	1.0	100.00	4.23	225	4685587
c2_Bin_11_3	BACTERIA	1.0	97.18	0.00	138	2522280
c2_Bin_11_8	BACTERIA	0.5	56.34	4.23	84	901442
c2_Bin_16_1	BACTERIA	0.8	71.83	2.82	241	2399899
c2_Bin_16_3	BACTERIA	0.7	66.20	1.41	495	2461712
c2_Bin_16_4	BACTERIA	1.0	95.77	2.82	232	3306815
c2_Bin_16_6	BACTERIA	0.9	91.55	1.41	99	2188002
c2_Bin_14_3	BACTERIA	0.7	78.87	2.82	229	3381529
c2_Bin_14_8	BACTERIA	0.9	92.96	0.00	96	2008300
c2_Bin_6_5	BACTERIA	0.6	57.75	4.23	346	3710230
c2_Bin_6_9	BACTERIA	0.5	54.93	5.63	200	2731481
c2_Bin_19_2	BACTERIA	0.8	88.73	1.41	325	2504420
c2_Bin_19_4	BACTERIA	0.8	84.51	0.00	125	2431568
c2_Bin_19_5	BACTERIA	0.9	97.18	0.00	110	2146777
c2_Bin_19_6	BACTERIA	1.0	98.59	4.23	193	3911182
c2_Bin_19_12	BACTERIA	1.0	95.77	1.41	163	3288811
c2_Bin_19_13	BACTERIA	1.0	90.14	0.00	109	2432762
c2_Bin_19_14	BACTERIA	0.6	73.24	2.82	236	3334460
c2_Bin_19_15	BACTERIA	0.6	71.83	4.23	308	3065748
c2_Bin_19_16	BACTERIA	0.7	73.24	7.04	221	3336308
c2_Bin_19_17	BACTERIA	0.7	74.65	1.41	176	3391070
c2_Bin_19_20	BACTERIA	1.0	97.18	2.82	149	3029899
c2_Bin_19_21	BACTERIA	0.4	46.48	0.00	148	1728181
c2_Bin_19_24	BACTERIA	1.0	94.37	2.82	139	2441109
c2_Bin_19_28	BACTERIA	1.0	100.00	1.41	205	3999908
c2_Bin_19_29	BACTERIA	0.8	81.69	0.00	177	2677855
c2_Bin_19_31	BACTERIA	0.8	81.69	4.23	309	2589659
c2_Bin_19_32	BACTERIA	0.8	85.92	0.00	177	2586991
c2_Bin_19_34	BACTERIA	0.9	91.55	0.00	202	2106509
c2_Bin_19_35	BACTERIA	1.0	97.18	0.00	116	2545899
c2_Bin_5_1	BACTERIA	0.5	60.56	2.82	157	2674926
c2_Bin_5_2	BACTERIA	1.0	95.77	0.00	143	1970347
c2_Bin_5_3	BACTERIA	0.9	90.14	0.00	147	1963439
c2_Bin_5_5	BACTERIA	0.6	56.34	1.41	159	995519
c2_Bin_5_7	BACTERIA	0.9	91.55	0.00	119	2443240
c2_Bin_5_14	BACTERIA	0.8	90.14	7.04	132	2065301
c2_Bin_9_3	BACTERIA	0.3	38.03	0.00	801	1429098
c2_Bin_9_6	BACTERIA	0.4	49.30	0.00	340	1193176
c2_Bin_9_8	BACTERIA	0.3	39.44	1.41	525	1261517
c2_Bin_1_3	BACTERIA	0.4	50.70	1.41	211	4351991
c2_Bin_1_5	BACTERIA	0.4	52.11	0.00	116	2392046
c2_Bin_1_6	BACTERIA	0.9	85.92	4.23	87	1458517
c2_Bin_1_7	BACTERIA	0.4	38.03	2.82	138	1076707
c2_Bin_1_11	BACTERIA	0.9	97.18	4.23	181	2571959
c2_Bin_1_12	BACTERIA	0.9	83.10	0.00	113	2086443
c2_Bin_1_15	BACTERIA	0.4	32.39	1.41	150	842422
c2_Bin_8_2	BACTERIA	0.9	84.51	2.82	203	2430866
c2_Bin_8_4	BACTERIA	1.0	94.37	0.00	174	3549821
c2_Bin_8_8	BACTERIA	0.7	73.24	4.23	275	5775400
c2_Bin_8_9	BACTERIA	1.0	97.18	1.41	185	3017532
c2_Bin_17_1	BACTERIA	0.8	74.65	2.82	2141	5678645
c2_Bin_4_3_1	BACTERIA	0.7	61.97	1.41	124	1593457
c2_Bin_4_1_2	BACTERIA	0.8	69.01	1.41	136	1710422
c2_Bin_0_3_1	BACTERIA	0.5	60.56	5.63	255	2324637
c2_Bin_0_8_1	BACTERIA	0.8	87.32	1.41	145	2765107
c2_Bin_0_9_1	BACTERIA	1.0	95.77	0.00	138	2468959
c2_Bin_0_10_1	BACTERIA	0.9	87.32	0.00	163	3118275
c2_Bin_0_11_1	BACTERIA	1.0	94.37	1.41	165	3175098
c2_Bin_3_2_1	BACTERIA	0.9	87.32	4.23	95	1678097
c2_Bin_3_3_1	BACTERIA	0.9	76.06	2.82	115	1618060
c2_Bin_11_4_1	BACTERIA	0.6	66.20	7.04	357	2609292
c2_Bin_11_6_1	BACTERIA	0.9	94.37	9.86	292	2856354
c2_Bin_11_7_1	BACTERIA	0.8	85.92	7.04	662	3351816
c2_Bin_16_2_1	BACTERIA	0.8	83.10	5.63	249	1844853
c2_Bin_16_5_1	BACTERIA	1.0	91.55	0.00	167	2926412
c2_Bin_16_7_1	BACTERIA	1.0	95.77	4.23	122	2628713
c2_Bin_14_1_1	BACTERIA	0.9	95.77	1.41	97	1984617
c2_Bin_14_5_1	BACTERIA	1.0	94.37	1.41	155	1726366
c2_Bin_14_6_1	BACTERIA	1.0	100.00	0.00	171	3669758
c2_Bin_14_7_1	BACTERIA	0.9	97.18	4.23	128	2697129
c2_Bin_14_9_1	BACTERIA	0.8	78.87	0.00	107	1541288
c2_Bin_14_10_1	BACTERIA	0.9	97.18	2.82	87	1971206
c2_Bin_14_11_1	BACTERIA	0.9	95.77	1.41	170	3220005
